pValue,smiles,data
6.17,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,AR_ki
5.8,CCc1ccccc1/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
6.09,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1N(C)C)Oc1ccc(F)cc1-3,AR_ki
5.84,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1c(F)cccc1-3,AR_ki
8.54,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR_ki
6.02,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1c(F)cccc1-3,AR_ki
6.36,COc1ccccc1/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
8.07,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,AR_ki
5.91,C=CCC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
5.59,C=CCC1Oc2cccc(NC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
5.88,C=CCC1Oc2cccc(CO)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
7.02,C=CCC1Oc2cccc(OC(F)F)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
5.61,C=CCC1Oc2cccc(SC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
6.19,C#Cc1cccc2c1-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3,AR_ki
5.69,C=CCC1Oc2cccc(O)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
5.56,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,AR_ki
6.62,C=CCC1Oc2cccc(C=C)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
6.09,C[C@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1cccc(C(F)(F)F)c1)Oc1ccccc1-3,AR_ki
6.16,C[C@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1ccc(Cl)cc1)Oc1ccccc1-3,AR_ki
5.92,CC1C(=O)C(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccccc1-3,AR_ki
6.13,C[C@@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1ccccc1)Oc1ccccc1-3,AR_ki
6.21,C[C@@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1cccc(F)c1)Oc1ccccc1-3,AR_ki
6.3,C[C@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1cccc(F)c1)Oc1ccccc1-3,AR_ki
5.97,C[C@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1ccccc1)Oc1ccccc1-3,AR_ki
6.25,CC1C(=O)C(C)(C)Nc2ccc3c(c21)/C(=C/c1cccc(F)c1)Oc1ccccc1-3,AR_ki
5.93,C[C@@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1ccc(Cl)cc1)Oc1ccccc1-3,AR_ki
5.96,C[C@@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1cccc(C(F)(F)F)c1)Oc1ccccc1-3,AR_ki
6.75,O=C1C=C2CCc3cc(O)ccc3[C@]2(Cc2ccccc2)CC1,AR_ki
7.27,COc1ccc2c(c1)CCC1=CC(=O)CC[C@@]12Cc1ccccc1,AR_ki
6.89,Oc1ccc2c(c1)CC[C@H]1C[C@](O)(C#CCl)CC[C@]21Cc1ccccc1,AR_ki
5.89,O=C1CC[C@]2(Cc3ccccc3)c3ccc(O)cc3CC[C@H]2C1,AR_ki
6.19,CC#C[C@]1(O)CC[C@]2(Cc3ccccc3)c3ccc(O)cc3CC[C@H]2C1,AR_ki
6.16,COc1ccc2c(c1)CCC1=CC(=O)CC[C@]12Cc1ccccc1,AR_ki
7.05,CC#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(Cc4ccc(C)cc4)C3=CC[C@@]21C,AR_ki
5.96,C=C1CCCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,AR_ki
5.72,C=C1CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,AR_ki
5.17,C=C1C[C@H](CO)CC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,AR_ki
5.19,C=C1C=C(C)CC(C)(C)C1(O)Cc1ccc([N+](=O)[O-])cc1,AR_ki
5.94,C=C1C[C@H](C)C[C@@H](C)[C@@H]1Cc1cc(OC)c(Br)cc1O,AR_ki
5.81,C=C1CCCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,AR_ki
5.71,C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1OC(C)=O,AR_ki
5.57,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])c(C)c1,AR_ki
8.96,C=C1CC[C@H](O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)/C=C/C(C)C(C)C,AR_ki
5.82,C=C1C=CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,AR_ki
6.16,C=C1C[C@H](C)CC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,AR_ki
5.78,C=C1CCC[C@H](C)[C@H]1Cc1cc(OC)c(Br)cc1O,AR_ki
5.63,C=C1C=C(C)CC(C)(C)C1C/C=C/c1cc(OC)c(Br)cc1O,AR_ki
