pValue,ligand,data
5,Cc1cccc(S(=O)(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,CYP2d6_ki
5,O=S(=O)(NCC(c1ccc(C(F)(F)F)cc1)N1CCN(CC(O)COc2ccc(F)cc2)CC1)c1ccccc1Cl,CYP2d6_ki
5.52,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki
5.16,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccccc2)CC1)c1ccc(F)cc1,CYP2d6_ki
4.52,COc1ccc(OC)c(S(=O)(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,CYP2d6_ki
6,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,CYP2d6_ki
5.4,COc1ccc(C(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)cc1,CYP2d6_ki
5.4,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,CYP2d6_ki
5.3,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki
5.7,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki
6.16,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki
6,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki
5.52,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CYP2d6_ki
5.1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki
5.16,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,CYP2d6_ki
5.52,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki
5.7,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,CYP2d6_ki
5.7,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1,CYP2d6_ki
5.3,COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CYP2d6_ki
5.1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1,CYP2d6_ki
6,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki
5.4,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,CYP2d6_ki
7,C=CCOCC(O)CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CYP2d6_ki
5.7,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(F)cc2)CC1,CYP2d6_ki
5.52,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(F)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki
5.7,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CYP2d6_ki
6,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1,CYP2d6_ki
6.22,OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,CYP2d6_ki
5.52,COc1ccc(CNC(=O)C(c2ccc(C)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CYP2d6_ki
5.7,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CYP2d6_ki
5.4,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,CYP2d6_ki
5.16,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,CYP2d6_ki
5.96,CCC1(c2ccncc2)CCC(=O)NC1=O,CYP2d6_ki
8,C[C@]12C=CC(=O)C=C1C[C@@H](Sc1ccc(N)cc1)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
8.4,C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
5.95,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(O)CBr)C1CCC2=O,CYP2d6_ki
4.46,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,CYP2d6_ki
7.2,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(O)CCl)C1CCC2=O,CYP2d6_ki
7.16,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5CC[C@]43C5)C1CCC2=O,CYP2d6_ki
6.06,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5C[C@@H](O)[C@]43C5)C1CCC2=O,CYP2d6_ki
7.78,C[C@]12CCC(=O)C=C1C[C@@H](CCc1ccccc1)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
7.96,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(O)CI)C1CCC2=O,CYP2d6_ki
7.88,C[C@]12CCC(=O)C=C1C[C@@H](Cc1ccccc1)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
6.72,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(=O)CBr)C1CCC2=O,CYP2d6_ki
7.99,CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCCC2=O,CYP2d6_ki
6.03,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5C[C@H](O)[C@]43C5)C1CCC2=O,CYP2d6_ki
6.75,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,CYP2d6_ki
8.32,CC(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,CYP2d6_ki
6.92,CN1[C@@H](C[C@H](O)c2ccccc2)CCC[C@H]1CC(=O)c1ccccc1,CYP2d6_ki
5.16,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CYP2d6_ki
4.6,C=CC1C[N+]2(c3ccccc3)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],CYP2d6_ki
0,COc1ccc2[nH]ccc2c1,CYP2d6_ki
7.18,CCC1CN2CCC1CC2[C@H](O)c1ccnc2ccc(OC)cc12,CYP2d6_ki
5.66,COC(=O)C1=CO[C@@H](C)[C@H]2C[n+]3ccc4c([nH]c5ccccc54)c3C[C@H]12,CYP2d6_ki
4,COc1ccc2[nH]cc(CCO)c2c1,CYP2d6_ki
4.68,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,CYP2d6_ki
5.01,c1ccc2c(c1)[n-]c1c3[n+](ccc12)CC1CCCCC1C3,CYP2d6_ki
7.77,COC(=O)C1=CO[C@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,CYP2d6_ki
5.96,CC1OC=C(CO)[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3CC12,CYP2d6_ki
5.2,O=C(O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,CYP2d6_ki
7.1,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,CYP2d6_ki
5.96,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,CYP2d6_ki
4.3,COc1ccc2c(c1)[nH]c1c(C)nccc12,CYP2d6_ki
5.55,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,CYP2d6_ki
7.1,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CYP2d6_ki
5.5,COC(=O)C1=CO[C@@H](C)[C@H]2C=[N+]3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,CYP2d6_ki
6.77,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,CYP2d6_ki
5.02,CCC1CN2CCC1CC2[C@H](O)c1ccnc2ccccc12,CYP2d6_ki
5.54,COC(=O)C1=CNC(C)C2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,CYP2d6_ki
5.46,C=CC1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccccc12,CYP2d6_ki
6.14,C=CC1CN2CCC1CC2C(=O)c1ccnc2ccc(OC)cc12,CYP2d6_ki
8.48,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,CYP2d6_ki
4.19,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12,CYP2d6_ki
7.51,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,CYP2d6_ki
5.46,C=CC1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(Cl)cc12,CYP2d6_ki
4.07,Cc1nccc2c1[nH]c1ccccc12,CYP2d6_ki
8.15,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]43C3CO3)C1CCC2=O,CYP2d6_ki
7.07,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@H]3CO3)[C@@H]1CCC2=O,CYP2d6_ki
9,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]43C3CS3)C1CCC2=O,CYP2d6_ki
6.12,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@@H]3CO3)[C@@H]1CCC2=O,CYP2d6_ki
7.89,Nc1ccc(SC[C@@H]2CO[C@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1,CYP2d6_ki
6.69,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@@H]3CS3)[C@@H]1CCC2=O,CYP2d6_ki
7.12,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C3CS3)C1CCC2=O,CYP2d6_ki
7.66,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@H]3CS3)[C@@H]1CCC2=O,CYP2d6_ki
7.12,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C3CO3)C1CCC2=O,CYP2d6_ki
7.36,CCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CYP2d6_ki
