pValue,ligand,data
7.48,Nc1ccc(SC[C@@H]2CO[C@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1,CYP3a4_ki
4.64,Cc1csc(-c2cccnc2)n1,CYP3a4_ki
4.02,NCc1ccc(-c2ccccc2)s1,CYP3a4_ki
4.2,NCc1ccc(-c2ccccc2)o1,CYP3a4_ki
5.96,c1cncc(-c2ccc(C3SCCS3)o2)c1,CYP3a4_ki
5.13,CSCc1ccc(-c2cccnc2)o1,CYP3a4_ki
5.51,SCc1ccc(-c2cccnc2)o1,CYP3a4_ki
5.82,CC(=O)SCc1ccc(-c2cccnc2)o1,CYP3a4_ki
4.71,Cc1ccsc1-c1ccc(F)nc1,CYP3a4_ki
0,CNCC#Cc1cccnc1,CYP3a4_ki
4.82,NCC#Cc1cccnc1,CYP3a4_ki
0,CN(C)Cc1ccc(-c2cccnc2)o1,CYP3a4_ki
0,CN(C)Cc1ccc(-c2cccnc2)s1,CYP3a4_ki
7.75,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2ccccc2)C1=O)C(C)(C)C)C(C)(C)C,CYP3a4_ki
7.18,COC(=O)N[C@H](C(=O)N[C@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2cccc(C(C)(C)O)n2)C1=O)C(C)(C)C)C(C)(C)C,CYP3a4_ki
6.58,CC(C)(C)[Si](C)(C)O[C@@H]1C=C2CCN3Cc4cc5c(cc4[C@@H]([C@H]1O)[C@H]23)OCO5,CYP3a4_ki
6.68,CC(=O)O[C@@H]1[C@@H]2c3cc4c(cc3CN3CCC(=C[C@H]1O[Si](C)(C)C(C)(C)C)[C@@H]23)OCO4,CYP3a4_ki
5.12,CC(=O)O[C@@H]1[C@@H]2c3cc4c(cc3CN3CCC(=C[C@H]1O)[C@@H]23)OCO4,CYP3a4_ki
4.96,CC(=O)O[C@@H]1[C@@H]2c3cc4c(cc3CN3CCC(=C[C@H]1OC(C)=O)[C@@H]23)OCO4,CYP3a4_ki
6.2,O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3,CYP3a4_ki
6.77,CC1(C)O[C@@H]([C@H](O)[C@@H](CNC(=O)c2ccccc2)c2ccc3c(c2)OCO3)[C@H](CO[Si](C)(C)C(C)(C)C)O1,CYP3a4_ki
