pValue,smiles,data
7.11,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCc1ccc(O)c(C(N)=O)c1,AR_ic50
7.05,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1C[C@H](NCNC(=O)c2cc(COCC#CCN3C(=O)N(c4ccc(C#N)c(C(F)(F)F)c4)C(=O)C3(C)C)ccc2O)[C@H](O)[C@H](C)O1,AR_ic50
6.48,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCCOCc1ccc(O)c(C(N)=O)c1,AR_ic50
6.46,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCN1CCN(CCOCc2ccc(O)c(C(N)=O)c2)CC1,AR_ic50
0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccncc1C)Oc1ccc(F)cc1-3,AR_ic50
6.59,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccco1)Oc1ccc(F)cc1-3,AR_ic50
6.81,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,AR_ic50
6.19,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccc(F)cc1-3,AR_ic50
8.05,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,AR_ic50
7.31,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CC#CCOCc1ccc(O)c(C(N)=O)c1,AR_ic50
6.69,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ncccc1C)Oc1ccc(F)cc1-3,AR_ic50
6.09,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1ccc(F)cc1-3,AR_ic50
8.22,CC1(C)NC(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C1=O,AR_ic50
8,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,AR_ic50
7.27,CC(=O)c1ccc([C@@H]2C[C@]3(C)[C@H](CC[C@]3(O)C(F)(F)C(F)(F)F)[C@H]3CCC4=CC(=O)CCC4=C23)cc1,AR_ic50
7.7,CCC1CCNc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,AR_ic50
6.67,CCC1CCN(C)c2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,AR_ic50
7.14,CCC1(CC)CCNc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR_ic50
6.6,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NCCC3c1cc(C(F)(F)F)cc(C(F)(F)F)c1,AR_ic50
6.68,CC1=CC(C)(C)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,AR_ic50
6.31,CC1=CC(C)(C)Nc2ccc(-c3csc(C#N)c3)cc21,AR_ic50
6.57,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,AR_ic50
6.64,CCn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)N[C@@H]1CCCC[C@H]31,AR_ic50
5.84,CC1=CC(C)(C)Nc2ccc(-c3ccc([N+](=O)[O-])s3)cc21,AR_ic50
7.27,C[C@H]1CC[C@@H]2[C@H](C1)c1cc3c(C(F)(F)F)cc(=O)n(C)c3cc1N2C,AR_ic50
6.8,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,AR_ic50
7.25,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NCC3,AR_ic50
5.96,CC1=CC(C)(C)Nc2ccc(-c3ccc(C#N)s3)cc21,AR_ic50
7.58,CC1(C)CCC[C@@H]2c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@@H]21,AR_ic50
5.96,CC1(C)Nc2ccc(-c3csc(C#N)c3)cc2C(C)(C)C1=O,AR_ic50
6.82,Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2,AR_ic50
7.44,CN1c2cc3c(cc2[C@H]2CCCC[C@H]21)c(C(F)(F)F)cc(=O)n3C,AR_ic50
7.25,C[C@H]1N(C)c2cc3c(cc2C1(C)C)c(C(F)(F)F)cc(=O)n3C,AR_ic50
7.28,CN1c2cc3c(cc2[C@@]2(C)CCCC[C@@H]12)c(C(F)(F)F)cc(=O)n3C,AR_ic50
7.29,CC1(C)CCC[C@]2(C)c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@H]12,AR_ic50
7.57,CN1c2cc3c(cc2[C@H]2CCCC(C)(C)[C@H]21)c(C(F)(F)F)cc(=O)n3C,AR_ic50
7.35,Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)CC(C)(C)N2,AR_ic50
6.7,CC1=CC(C)(C)Nc2ccc(-c3sc(C#N)cc3C)cc21,AR_ic50
6.71,CN1CCc2cc3c(C(F)(F)F)cc(=O)n(C)c3cc21,AR_ic50
7.32,C[C@H]1CC[C@H]2Nc3cc4c(cc3[C@H]2C1)c(C(F)(F)F)cc(=O)n4C,AR_ic50
6.6,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/Br)Oc1ccc(F)cc1-3,AR_ic50
6.75,CC1=CC(C)(C)Nc2ccc3c(c21)C(=C1SCCCS1)Oc1ccc(F)cc1-3,AR_ic50
8.21,CC(=O)C[C@]1(C(C)=O)CC[C@H]2C3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR_ic50
6.6,CC/C(C)=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ic50
6.35,C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,AR_ic50
6.6,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,AR_ic50
6.42,C=C1CCCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,AR_ic50
6.62,C=C1CC[C@@H](Br)C(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,AR_ic50
7.58,CC1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR_ic50
7.44,CC1=CC(C)(C)Nc2cc3nc(O)cc(C)c3cc21,AR_ic50
7.08,CC1(C)Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C,AR_ic50
7.52,CC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C,AR_ic50
7.64,CCC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,AR_ic50
7.46,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NC1(CCCCC1)CC3,AR_ic50
7.62,CCC1(C)CCc2cc3c(C(F)(F)F)cc(=O)n(C)c3cc2N1C,AR_ic50
7.82,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,AR_ic50
7.57,CCC1(CC)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,AR_ic50
6.16,CCn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC(C)(C)C=C3C,AR_ic50
7.44,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC(C)(C)CC3,AR_ic50
7.34,CCC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1(C)C,AR_ic50
7.38,CCCC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,AR_ic50
7.24,CC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)C1(C)C,AR_ic50
7.57,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)N1CCCC1(C)CC3,AR_ic50
7.72,CN1c2cc3c(cc2CCC1(C)C)c(C(F)(F)F)cc(=O)n3C,AR_ic50
5.62,CC1=CC(C)(C)Nc2c1cc1c(C(F)(F)F)cc(=O)n(C)c1c2C,AR_ic50
7.66,Cc1c2c(cc3c(C(F)(F)F)cc(O)nc13)C(C)CC(C)(C)N2,AR_ic50
7.47,CC1=CC(C)(C)Nc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,AR_ic50
7.64,CC1=CC(C)(C)Nc2c1cc1c(C(F)(F)F)cc(O)nc1c2C,AR_ic50
6.81,CC1=CC(C)(C)N(C)c2cc3nc(O)cc(C(F)(F)F)c3cc21,AR_ic50
7.57,CCC1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR_ic50
7.57,CC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,AR_ic50
7.32,CCC1(C)CCc2cc3c(C(F)(F)F)cc(=O)n(C)c3cc2N1,AR_ic50
6.8,CC(C)C1CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR_ic50
7.55,CC1=CC(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR_ic50
7.17,CC1=C(C)C(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR_ic50
5.15,C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C,AR_ic50
7.51,Cc1c2c(cc3c(C(F)(F)F)cc(=O)n(C)c13)C(C)CC(C)(C)N2,AR_ic50
7.34,CC1=CC(C)(C)N(C)c2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,AR_ic50
6.79,C[C@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C,AR_ic50
7.14,CC1CC(C)(C)Nc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,AR_ic50
7.24,CC1(C)C=Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,AR_ic50
7.64,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,AR_ic50
6.49,CC12CCCN1c1cc3nc(O)cc(C(F)(F)F)c3cc1CC2,AR_ic50
5.18,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccc1)O2,AR_ic50
5.06,CS(=O)(=O)Nc1ccc2c(c1)C(c1ccccc1)Oc1cccc(OC(F)F)c1-2,AR_ic50
7.05,CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(Br)cc1-3,AR_ic50
6.4,CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc(Br)cc1-3,AR_ic50
5.9,CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc(F)cc1-3,AR_ic50
6.37,CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(Cl)cc1-3,AR_ic50
6.1,CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc(Cl)cc1-3,AR_ic50
7.2,CC1CC(C)(C)Nc2ccc3c(c21)COc1ccc([N+](=O)[O-])cc1-3,AR_ic50
6.83,CC1CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(F)cc1-3,AR_ic50
