pValue,ligand,data
4.96,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,CYP2d6_ic50
4.5,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,CYP2d6_ic50
0,CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,CYP2d6_ic50
5.19,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
4.53,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccn3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
6.44,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,CYP2d6_ic50
6.28,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
5.22,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,CYP2d6_ic50
4.41,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1,CYP2d6_ic50
4.66,CCCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,CYP2d6_ic50
4.25,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Br)c(=O)nc1SCc1ccc(F)cc1,CYP2d6_ic50
4.08,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cl)c(=O)nc1SCc1ccc(F)cc1,CYP2d6_ic50
4.62,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c(C)c1C,CYP2d6_ic50
4.33,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(C)cc(=O)nc1SCc1ccc(F)cc1,CYP2d6_ic50
4.58,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,CYP2d6_ic50
4.43,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CYP2d6_ic50
4.85,CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(Cl)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,CYP2d6_ic50
4.62,CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,CYP2d6_ic50
4.41,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(SC)c(=O)nc1SCc1ccc(F)cc1,CYP2d6_ic50
4.82,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1,CYP2d6_ic50
4.6,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,CYP2d6_ic50
5.05,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,CYP2d6_ic50
6.96,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,CYP2d6_ic50
4.52,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,CYP2d6_ic50
6.34,CCCCOc1ccc(-n2ccnc2)cc1,CYP2d6_ic50
4.9,CCCCOc1ccc(-c2cccnc2)cc1,CYP2d6_ic50
4.67,CCCCOc1ccc(-c2[nH]ncc2C)cc1,CYP2d6_ic50
4.06,CCCCOc1ccc(-c2ccno2)cc1,CYP2d6_ic50
5.02,CCCCOc1ccc(-n2cncn2)cc1,CYP2d6_ic50
6.1,Cl.N#Cc1ccc2c(c1)CN(CC[C@H]1CC[C@H](NC(=O)c3cc4ccccc4[nH]3)CC1)CC2,CYP2d6_ic50
4.27,CCCCOc1ccc(-c2cc[nH]c2)cc1,CYP2d6_ic50
6.4,CCCCOc1ccc(-c2ccncc2)cc1,CYP2d6_ic50
4.4,CCCCOc1ccc(-n2ccnc2C)cc1,CYP2d6_ic50
4.01,CCCCOc1ccc(-c2ccnn2C)cc1,CYP2d6_ic50
5.18,CCCCOc1ccc(-c2cnccn2)cc1,CYP2d6_ic50
4.97,CCCCOc1ccc(-c2ccns2)cc1,CYP2d6_ic50
4.92,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
6,CCCCOc1ccc(-c2cnco2)cc1,CYP2d6_ic50
4.07,CCCCOc1ccc(-c2ccon2)cc1,CYP2d6_ic50
6.3,CCCCOc1ccc(-c2ccncn2)cc1,CYP2d6_ic50
4.03,CCCCOc1ccc(-c2cc[nH]n2)cc1,CYP2d6_ic50
6.92,CCCCOc1ccc(-n2cncc2C)cc1,CYP2d6_ic50
