pValue,smiles,data
7.54,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccccc1,ERalpha_ki
8.77,Oc1ccc2c(c1)CCC(c1ccccc1)N2Cc1ccc(OCCN2CCCCC2)cc1,ERalpha_ki
6.77,Oc1ccc(C2CCc3cc(O)ccc3N2)cc1,ERalpha_ki
8.96,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ki
9.22,Oc1cccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ki
7.06,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccc(O)cc1,ERalpha_ki
9.05,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ki
6.51,Oc1ccc(-c2ccc3cc(O)ccc3n2)cc1,ERalpha_ki
9.3,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,ERalpha_ki
7.43,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1cccc(O)c1,ERalpha_ki
9.22,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
8.6,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki
7.89,C[C@@]12CCc3c(sc4cc(O)ccc34)[C@H]1CC[C@H]2O,ERalpha_ki
8.1,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC[C@H]2O,ERalpha_ki
8,C[C@]12CCc3c(sc4cc(O)ccc34)[C@H]1CC[C@@H]2O,ERalpha_ki
7.62,C[C@@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@H]2O,ERalpha_ki
7.64,C[C@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@H]2O,ERalpha_ki
8.4,C[C@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,ERalpha_ki
6.8,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CCc3ccccc3)n2)ccc1O,ERalpha_ki
6.42,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)Cc3ccccc3)n2)ccc1O,ERalpha_ki
5.7,CCOCCN(CCOCC)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,ERalpha_ki
6.18,CCCCN(C)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,ERalpha_ki
6.35,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)Cc3cccc4ccccc34)n2)ccc1O,ERalpha_ki
6.21,CC(C)CN(C)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,ERalpha_ki
6.89,Cc1cc(-c2cc(-c3ccccc3)cc(N(CCc3ccccc3)Cc3ccccc3)n2)ccc1O,ERalpha_ki
6.31,CN(CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,ERalpha_ki
7.16,CCCN(Cc1ccccn1)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,ERalpha_ki
9.4,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,ERalpha_ki
7.7,Cc1cc(-c2cc(-c3ccccc3)cc(N3CCC(Cc4ccccc4)CC3)n2)ccc1O,ERalpha_ki
5.9,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CCc3ccccn3)n2)ccc1O,ERalpha_ki
