ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
1,8.187,0.1411,8.092,0.2332
2,4.578,0.3696,4.515,0.3953
3,4.535,0.4424,4.471,0.4671
4,4.556,0.3507,4.54,0.3878
5,4.496,0.3885,4.404,0.4258
6,4.609,0.3988,4.514,0.4191
7,4.546,0.4883,4.502,0.4889
8,4.494,0.4581,4.475,0.4659
9,4.092,0.5592,4.084,0.5636
10,6.538,0.2273,6.521,0.3296
11,7.963,0.253,7.963,0.253
12,6.725,0.3106,6.725,0.3106
13,7.628,0.2449,7.628,0.2449
14,7.908,0.1591,7.888,0.2007
15,8.286,0.1548,8.032,0.1835
16,8.29,0.1817,8.157,0.3751
17,8.097,0.2727,8.031,0.3365
18,7.98,0.2374,7.323,0.2587
19,6.494,0.2082,6.452,0.26
20,4.645,0.4224,4.645,0.4224
21,4.483,0.4111,4.483,0.4111
22,4.603,0.4065,4.569,0.4617
23,4.501,0.4136,4.422,0.4423
24,4.288,0.4884,4.279,0.4894
25,4.387,0.4986,4.381,0.5094
26,4.144,0.4215,4.043,0.4425
27,4.514,0.4442,4.514,0.4442
28,4.404,0.4606,4.393,0.4711
29,4.313,0.4921,4.282,0.4993
30,4.436,0.4701,4.399,0.4761
31,4.305,0.5129,4.305,0.5129
32,4.37,0.4405,4.37,0.4405
33,4.34,0.4928,4.336,0.4949
34,3.914,0.6375,3.908,0.6405
36,4.143,0.4743,4.135,0.4792
37,4.585,0.5431,4.546,0.5564
38,4.485,0.5428,4.47,0.5502
39,4.526,0.4748,4.526,0.4748
44,4.578,0.4258,4.563,0.4311
45,4.444,0.4683,4.415,0.4865
46,4.635,0.3835,4.578,0.4091
47,4.613,0.3571,4.582,0.4061
51,4.483,0.4435,4.422,0.455
52,4.501,0.4319,4.479,0.4469
53,4.382,0.4677,4.366,0.4692
54,3.907,0.5692,3.905,0.5745
55,4.265,0.4112,4.209,0.4296
56,4.104,0.523,4.094,0.5243
57,4.264,0.4804,4.264,0.4804
58,4.016,0.5526,4.009,0.5561
59,4.19,0.4948,4.167,0.4952
60,4.063,0.5044,4.053,0.5082
61,4.541,0.4789,4.497,0.4904
62,4.627,0.4535,4.536,0.4749
63,4.255,0.4579,4.213,0.4852
64,3.585,0.5534,3.507,0.5623
65,3.805,0.7001,3.802,0.7063
66,3.515,0.6488,3.507,0.6543
67,3.548,0.6933,3.539,0.696
68,4.464,0.3771,4.464,0.3771
69,3.918,0.487,3.896,0.4895
70,4.064,0.5452,4.06,0.5466
71,4.205,0.4789,4.205,0.4789
73,4.12,0.4875,4.117,0.5028
74,4.385,0.4589,4.385,0.4589
75,4.138,0.4887,4.138,0.4887
76,4.393,0.4079,4.32,0.4091
77,4.012,0.4957,4.004,0.5017
78,3.939,0.5367,3.932,0.5401
79,4.204,0.3928,4.196,0.408
80,3.885,0.5324,3.884,0.5354
81,3.965,0.5204,3.964,0.5253
82,4.466,0.4616,4.433,0.4691
83,4.168,0.4296,4.168,0.4296
84,3.977,0.4949,3.958,0.4996
85,4.476,0.3616,4.347,0.3808
86,3.985,0.5,3.985,0.5
88,3.938,0.4716,3.929,0.4763
90,3.945,0.5554,3.931,0.5571
91,4.06,0.4524,4.06,0.4524
92,4.232,0.4458,4.211,0.4746
93,3.768,0.5674,3.756,0.5746
94,4.347,0.4109,4.255,0.4335
95,4.337,0.3934,4.33,0.4069
96,4.043,0.44,3.997,0.4443
97,4.701,0.3893,4.699,0.4294
98,4.511,0.4612,4.504,0.4846
99,3.749,0.6793,3.73,0.6834
100,8.031,0.1077,7.881,0.1748
101,8.674,0.2217,8.674,0.2217
102,7.215,0.193,7.215,0.193
103,6.467,0.8458,6.467,0.8458
104,7.921,0.2199,7.921,0.2199
105,6.202,0.7953,6.202,0.7953
106,8.541,0.0738,8.335,0.1179
107,7.995,0.152,7.995,0.152
108,6.4,0.7995,6.4,0.7995
109,8.123,0.157,7.714,0.1912
110,7.915,0.1488,7.046,0.1951
111,7.939,0.1206,7.616,0.182
112,7.097,0.8741,7.097,0.8741
113,6.378,0.8264,6.378,0.8264
114,8.279,0.1343,7.736,0.1769
115,8.107,0.0902,7.86,0.1273
116,7.949,0.1848,7.63,0.1971
117,8.178,0.0807,7.609,0.1524
118,8.102,0.154,6.486,0.1614
119,7.925,0.1769,6.856,0.1928
120,6.717,0.9037,6.717,0.9037
121,8.149,0.1352,7.937,0.1674
122,7.594,0.1266,7.593,0.1807
123,7.879,0.1181,7.707,0.1499
124,8.604,0.2084,8.56,0.2945
125,8.205,0.1468,7.462,0.1691
126,8.21,0.1718,8.21,0.1718
127,8.401,0.126,8.164,0.1445
128,8.034,0.1793,6.499,0.2248
129,7.863,0.1416,7.779,0.1443
130,8.091,0.2088,7.884,0.2132
131,8.191,0.1769,8.191,0.1769
132,6.947,0.788,6.947,0.788
133,8.124,0.1559,6.33,0.1942
134,8.503,0.2506,8.503,0.2506
135,8.184,0.1352,7.905,0.1451
136,6.368,0.8096,6.368,0.8096
137,8.217,0.2662,8.217,0.2662
138,8.11,0.1094,7.685,0.1415
139,7.975,0.1803,7.975,0.1803
140,8.191,0.1249,8.179,0.1776
141,6.018,0.8065,6.018,0.8065
142,6.725,0.7119,6.725,0.7119
143,6.718,0.7806,6.718,0.7806
144,6.527,0.1589,6.473,0.2401
145,8.381,0.1088,8.381,0.1088
146,8.115,0.1274,8.096,0.1388
147,8.36,0.0971,7.561,0.2208
148,7.76,0.1855,7.76,0.1855
149,7.929,0.1193,6.913,0.2758
150,8.129,0.0816,8.033,0.1382
151,8.179,0.1006,8.026,0.2107
152,8.25,0.1228,8.236,0.1776
153,8.382,0.1342,8.313,0.2573
154,8.118,0.1529,7.967,0.2087
155,7.92,0.1315,7.822,0.1616
156,6.765,0.8949,6.765,0.8949
157,7.858,0.0943,6.585,0.1284
158,8.363,0.1547,7.907,0.1552
159,8.151,0.136,8.13,0.2661
160,8.433,0.2745,8.433,0.2745
161,7.376,0.1231,7.376,0.1231
162,8.293,0.1877,7.496,0.2033
163,6.223,0.7952,6.218,0.8099
164,7.876,0.1372,6.723,0.1661
165,8.293,0.1553,6.898,0.184
166,8.242,0.1346,8.084,0.186
167,7.741,0.1474,6.657,0.1815
168,6.257,0.7949,6.257,0.7949
169,5.953,0.4327,5.953,0.4327
170,6.161,0.365,6.161,0.365
171,6.189,0.5555,6.189,0.5555
172,6.929,0.2626,6.929,0.2626
173,5.961,0.618,5.961,0.618
174,6.165,0.7749,6.136,0.8488
175,6.665,0.2956,6.665,0.2956
176,6.192,0.6941,6.192,0.6941
177,6.571,0.2693,6.571,0.2693
178,6.236,0.7878,6.236,0.7878
179,6.394,0.4973,6.394,0.4973
180,6.109,0.6422,6.109,0.6422
181,6.269,0.91,6.224,0.9189
182,6.781,0.304,6.781,0.304
183,6.184,0.6748,6.184,0.6748
184,6.267,0.8196,6.267,0.8196
185,7.353,0.505,7.353,0.505
186,6.811,0.2175,6.664,0.2397
187,6.896,0.2722,6.607,0.2797
188,7.253,0.3923,7.253,0.3923
189,7.392,0.2036,7.344,0.2596
190,7.986,0.0959,6.843,0.1265
191,7.459,0.2061,5.274,0.2697
192,7.519,0.1793,7.519,0.1793
193,8.085,0.1997,6.759,0.2135
194,7.05,0.2086,6.627,0.2914
195,6.411,0.4051,6.411,0.4051
196,7.976,0.0927,7.031,0.1375
198,4.364,0.4558,4.364,0.4558
199,4.297,0.4847,4.297,0.4847
200,4.523,0.418,4.523,0.418
201,4.376,0.4511,4.357,0.4792
202,4.124,0.4984,4.124,0.4984
203,4.285,0.4388,4.242,0.4448
204,3.767,0.6774,3.754,0.6806
205,4.135,0.4845,4.078,0.4938
206,3.961,0.5679,3.946,0.5796
207,4.46,0.4702,4.46,0.4702
209,4.552,0.3753,4.422,0.4259
210,4.329,0.5268,4.329,0.5268
211,4.618,0.4189,4.589,0.4567
212,4.456,0.4513,4.425,0.465
213,4.657,0.4439,4.607,0.4726
214,4.489,0.4593,4.436,0.4803
216,4.672,0.4723,4.627,0.4835
217,4.622,0.425,4.579,0.4455
218,4.488,0.4844,4.484,0.4875
219,4.521,0.4531,4.422,0.494
220,4.502,0.4701,4.47,0.4721
221,4.53,0.4286,4.487,0.4473
222,4.473,0.4683,4.442,0.4778
