ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
1,8.562,0.2203,8.524,0.2872
2,8.994,0.2813,8.994,0.2813
3,6.259,0.7794,6.259,0.7794
4,8.528,0.2182,8.528,0.2182
5,8.885,0.2072,8.885,0.2072
6,8.532,0.2141,8.532,0.2141
7,8.024,0.1197,7.783,0.1731
8,6.201,0.8036,6.201,0.8036
9,7.721,0.1351,7.339,0.2094
10,8.476,0.167,8.476,0.167
11,8.387,0.1192,8.282,0.1327
12,8.653,0.2346,8.653,0.2346
13,7.12,0.9546,7.12,0.9546
14,6.863,0.9377,6.863,0.9377
15,7.133,0.9574,7.133,0.9574
16,7.059,0.9526,7.059,0.9526
17,7.042,0.9338,7.042,0.9338
18,7.099,0.9547,7.099,0.9547
19,8.247,0.5046,8.247,0.5046
20,7.959,0.2609,7.892,0.3156
21,8.088,0.2323,8.054,0.3153
22,7.582,0.3595,7.582,0.3595
23,8.686,0.3261,8.523,0.4048
24,7.364,0.2862,7.364,0.2862
25,9.257,0.2731,8.98,0.4082
26,8.15,0.3034,7.951,0.4581
27,8.313,0.238,8.313,0.238
28,6.255,0.2008,6.199,0.2906
29,8.804,0.2404,8.56,0.2796
30,8.369,0.3248,8.305,0.5083
31,8.273,0.2047,8.122,0.3083
32,8.353,0.2786,8.327,0.3709
33,7.553,0.2969,7.455,0.3628
34,8.156,0.1782,8.014,0.1919
35,8.882,0.1591,8.765,0.2048
38,8.354,0.1665,8.189,0.1684
41,8.524,0.1437,8.314,0.1645
42,8.949,0.23,8.949,0.23
43,9.076,0.2094,9.076,0.2094
45,8.752,0.0769,8.126,0.0966
46,9.239,0.267,8.228,0.2774
49,8.989,0.1461,8.808,0.1622
52,8.881,0.1904,7.642,0.224
54,8.635,0.2171,8.635,0.2171
55,9.019,0.1666,8.804,0.2558
56,9.181,0.1733,9.096,0.1834
57,8.72,0.0902,8.014,0.1135
58,9.235,0.1872,9.224,0.2524
62,8.8,0.1519,8.8,0.1519
64,8.932,0.2049,8.932,0.2049
65,8.912,0.1621,8.6,0.2293
66,8.848,0.2016,8.848,0.2016
71,8.678,0.1433,8.678,0.1433
72,9.006,0.2167,9.006,0.2167
75,8.821,0.2781,8.821,0.2781
76,8.961,0.2776,8.961,0.2776
78,8.282,0.1337,8.282,0.1337
79,8.961,0.1997,8.961,0.1997
80,8.532,0.1796,8.468,0.2156
83,7.309,0.8478,7.309,0.8478
84,6.598,0.7517,6.598,0.7517
85,7.459,0.7595,7.459,0.7595
86,6.981,0.8246,6.981,0.8246
87,6.668,0.8426,6.668,0.8426
88,8.612,0.0987,8.499,0.1103
89,8.735,0.129,8.423,0.1593
90,7.599,0.2361,7.143,0.2682
91,8.238,0.1125,7.286,0.1728
92,8.456,0.1343,8.057,0.1773
93,8.329,0.107,7.7,0.1621
94,8.62,0.1301,6.762,0.1523
95,8.49,0.1507,8.156,0.2017
96,8.499,0.1384,7.952,0.1447
