ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
2,5.291,0.6438,4.523,0.6581
5,6.116,0.5596,6.116,0.5596
6,5.57,0.3648,4.696,0.4815
7,5.354,0.7012,5.328,0.7339
35,5.537,0.4834,5.163,0.5456
36,6.309,0.5415,5.955,0.7014
38,6.371,0.3784,5.33,0.4142
40,4.893,0.6467,4.893,0.6467
41,5.344,0.3833,5.251,0.4041
42,5.153,0.6365,4.375,0.6563
43,6.557,0.5236,6.246,0.5307
45,5.904,0.4289,4.988,0.5873
46,6.509,0.782,6.509,0.782
49,6.647,0.391,5.705,0.4658
50,6.494,0.3945,6.494,0.3945
53,5.262,0.5295,4.893,0.6969
54,5.052,0.3733,5.052,0.3733
56,5.021,0.4089,4.915,0.4504
57,6.358,0.2714,5.371,0.3541
58,5.985,0.6184,5.985,0.6184
61,5.719,0.3897,5.219,0.4079
62,6.352,0.3877,6.142,0.5985
63,5.279,0.3814,5.279,0.3814
64,6.198,0.3234,5.028,0.447
66,5.038,0.8752,5.038,0.8752
67,4.457,0.6295,4.153,0.7699
68,5.177,0.893,5.177,0.893
69,3.819,0.6402,3.648,0.6505
70,4.652,0.598,3.922,0.6313
71,4.83,0.6133,4.83,0.6133
72,4.93,0.6003,4.519,0.6943
73,4.834,0.6584,4.834,0.6584
77,5.05,0.6477,4.99,0.6562
79,4.373,0.6219,4.244,0.6479
80,4.93,0.5259,4.522,0.6381
81,4.58,0.659,4.153,0.7256
83,4.695,0.6419,4.695,0.6419
84,4.497,0.6425,4.092,0.6654
85,4.186,0.5417,4.036,0.5837
109,4.483,0.7206,3.99,0.7427
111,4.491,0.6685,4.348,0.7542
112,4.187,0.6954,4.129,0.8052
114,4.338,0.648,3.473,0.6548
115,4.747,0.7049,4.747,0.7049
118,4.997,0.6733,4.895,0.6751
119,4.84,0.5371,4.148,0.5972
120,5.188,0.6053,5.188,0.6053
121,4.691,0.7374,4.691,0.7374
122,5.52,0.6411,4.363,0.6604
123,4.736,0.5744,4.668,0.6107
124,4.805,0.6347,4.805,0.6347
125,4.957,0.4116,4.765,0.5859
126,6.165,0.7671,6.165,0.7671
127,4.605,0.3928,4.605,0.3928
128,4.679,0.6003,4.679,0.6003
135,6.338,0.4247,5.062,0.6217
136,5.112,0.4878,5.112,0.4878
137,4.853,0.3739,4.853,0.3739
138,5.844,0.3213,5.156,0.3314
139,4.325,0.2968,4.316,0.3011
140,5.417,0.3735,5.084,0.376
141,5.143,0.3733,4.699,0.4152
142,5.414,0.4452,5.414,0.4452
143,5.236,0.3279,5.236,0.3279
144,5.737,0.3794,5.211,0.4076
146,5.966,0.365,5.966,0.365
147,6.334,0.4419,5.763,0.5264
149,5.591,0.3444,5.542,0.4778
151,6.19,0.4049,5.706,0.535
153,5.765,0.4954,5.765,0.4954
154,5.212,0.4415,5.033,0.6361
155,3.668,0.4835,3.612,0.4985
157,3.607,0.4256,3.542,0.4318
158,5.225,0.6173,5.225,0.6173
160,6.22,0.4279,6.22,0.4279
161,5.342,0.4549,4.53,0.4882
162,6.275,0.6146,4.716,0.6778
164,5.444,0.6225,5.444,0.6225
166,6.178,0.338,5.821,0.466
167,6.435,0.5241,6.428,0.5662
173,4.323,0.6913,4.323,0.6913
174,4.474,0.5915,3.626,0.6112
175,4.779,0.5704,4.299,0.6372
176,4.525,0.5317,4.525,0.5317
177,4.584,0.6179,4.584,0.6179
178,4.441,0.6893,4.441,0.6893
179,3.727,0.676,3.727,0.676
180,4.287,0.6662,3.948,0.6755
181,3.696,0.6159,3.68,0.622
182,4.21,0.7196,4.21,0.7196
183,4.256,0.6764,4.256,0.6764
184,3.749,0.6272,3.748,0.6436
185,4.142,0.6633,4.142,0.6633
186,3.623,0.6441,3.622,0.6457
187,3.552,0.6242,3.552,0.6242
188,4.375,0.7015,4.235,0.7046
189,4.242,0.6547,3.607,0.695
190,3.988,0.7301,3.988,0.7301
191,3.577,0.6319,3.577,0.6319
192,3.604,0.6661,3.604,0.6661
194,3.789,0.5529,3.789,0.5529
195,5.7,0.4677,5.252,0.5038
196,5.326,0.5489,4.711,0.5521
197,5.146,0.4885,5.011,0.568
198,5.281,0.5763,5.281,0.5763
199,6.485,0.6106,6.485,0.6106
200,5.549,0.4429,5.549,0.4429
201,6.263,0.6004,6.263,0.6004
202,6.27,0.4928,5.345,0.5833
203,6.538,0.6465,6.538,0.6465
204,4.978,0.4841,4.362,0.5162
205,5.973,0.553,4.664,0.5862
206,6.265,0.5119,4.666,0.5433
207,5.426,0.606,4.731,0.6079
208,5.73,0.5606,4.956,0.6767
209,5.038,0.5922,4.524,0.5984
210,6.114,0.5503,4.897,0.6184
211,6.356,0.5956,6.336,0.6182
212,5.215,0.4875,4.99,0.6304
213,6.026,0.7419,6.026,0.7419
214,6.385,0.7545,6.385,0.7545
215,6.018,0.6492,6.018,0.6492
217,3.748,0.4831,3.748,0.4831
218,3.668,0.536,3.668,0.536
219,5.166,0.4713,4.679,0.5491
220,5.738,0.6089,5.738,0.6089
221,6.819,0.43,6.819,0.43
222,6.286,0.6429,6.286,0.6429
229,6.473,0.332,6.473,0.332
230,5.442,0.6601,5.442,0.6601
231,5.529,0.4261,5.263,0.4371
232,5.92,0.4568,5.363,0.7013
233,6.036,0.6732,5.447,0.6787
234,5.115,0.3324,4.967,0.4263
235,5.365,0.8166,5.365,0.8166
236,4.215,0.5803,4.215,0.5803
237,5.309,0.6921,4.576,0.7273
238,4.74,0.57,4.721,0.5924
239,4.619,0.6286,4.526,0.7319
240,4.764,0.7204,4.572,0.759
241,4.855,0.6787,4.855,0.6787
242,6.017,0.6401,4.878,0.7462
244,5.06,0.5344,5.06,0.5344
245,6.812,0.2554,6.113,0.4772
246,6.744,0.6337,6.744,0.6337
247,5.905,0.4632,5.878,0.4977
248,6.014,0.5367,6.014,0.5367
249,5.884,0.4286,5.884,0.4286
250,6.272,0.5986,5.751,0.6716
251,5.03,0.394,5.03,0.394
252,5.442,0.2785,4.844,0.3227
253,6.494,0.3969,6.494,0.3969
254,5.811,0.5004,5.657,0.5862
255,6.172,0.7816,6.172,0.7816
256,6.163,0.5789,6.163,0.5789
257,6.076,0.304,5.991,0.7143
270,5.064,0.7939,5.064,0.7939
271,4.624,0.6632,4.147,0.799
272,5.346,0.4137,4.641,0.4538
273,6.027,0.7451,5.598,0.7675
274,6.154,0.7228,6.098,0.7915
275,5.115,0.5041,4.474,0.5641
276,6.188,0.5056,4.601,0.6141
277,6.213,0.5844,5.972,0.6494
278,6.488,0.5072,5.433,0.6781
279,5.165,0.5606,5.165,0.5606
280,6.344,0.4261,6.111,0.5199
281,6.478,0.6524,6.478,0.6524
282,5.543,0.5731,5.543,0.5731
283,5.724,0.5929,5.724,0.5929
284,5.86,0.5547,5.439,0.6949
285,6.241,0.59,6.187,0.6661
286,6.163,0.721,5.165,0.7621
287,5.813,0.6955,5.813,0.6955
288,5.659,0.7419,5.659,0.7419
289,5.656,0.4495,4.579,0.5713
290,5.741,0.4188,4.826,0.5318
291,6.142,0.4373,5.553,0.5572
293,5.916,0.7353,5.916,0.7353
294,5.408,0.7866,5.408,0.7866
295,4.44,0.508,4.265,0.5708
296,5.132,0.3813,4.737,0.5081
297,4.23,0.5113,4.23,0.5113
298,4.314,0.5249,4.27,0.672
299,5.44,0.4681,4.461,0.5725
300,4.716,0.5035,3.554,0.5991
301,4.894,0.5639,4.427,0.6739
302,4.38,0.5202,4.037,0.5445
303,5.917,0.6678,5.917,0.6678
305,5.095,0.2703,5.095,0.2703
307,6.068,0.2877,5.978,0.4466
308,6.38,0.3087,6.168,0.5048
309,5.784,0.5112,5.69,0.5283
310,5.71,0.4355,5.71,0.4355
311,5.559,0.6099,5.559,0.6099
312,4.925,0.4295,3.924,0.5172
313,4.826,0.4628,4.663,0.5321
314,4.472,0.5213,4.418,0.5902
315,4.469,0.5107,4.46,0.5913
316,5.532,0.3673,4.731,0.5935
317,5.591,0.407,5.551,0.4586
318,5.276,0.5185,5.155,0.5932
319,6.168,0.362,5.997,0.5925
320,5.389,0.5462,5.361,0.6803
321,6.148,0.3328,5.298,0.4925
322,6.28,0.6218,6.242,0.6635
323,5.724,0.6373,5.724,0.6373
324,6.216,0.3827,5.21,0.452
325,6.166,0.3655,5.198,0.475
326,6.125,0.4725,6.08,0.6543
327,5.503,0.3413,5.084,0.4795
328,6.171,0.4919,4.822,0.5393
329,5.957,0.5038,5.912,0.5875
330,5.715,0.7009,5.715,0.7009
331,5.921,0.4196,5.501,0.5826
332,5.868,0.4287,5.859,0.4723
333,5.454,0.5327,5.448,0.5705
334,6.215,0.3236,5.847,0.4983
335,5.692,0.5304,5.692,0.5304
336,5.701,0.3048,5.377,0.427
337,6.074,0.4532,6.074,0.4532
338,5.688,0.4395,4.642,0.478
339,4.558,0.528,4.558,0.528
340,5.283,0.4985,4.624,0.6065
341,6.543,0.3897,6.054,0.5152
342,5.19,0.424,5.19,0.424
343,5.48,0.3647,5.48,0.3647
344,5.979,0.431,5.965,0.4962
351,4.442,0.3474,4.349,0.3629
352,5.688,0.3879,5.581,0.4293
353,6.075,0.345,6.075,0.345
354,6.363,0.5266,6.363,0.5266
355,6.048,0.4611,5.309,0.5362
356,6.238,0.5978,6.238,0.5978
357,6.228,0.5579,5.998,0.5718
360,4.819,0.3371,4.617,0.4081
361,5.586,0.6509,5.586,0.6509
362,4.591,0.325,4.574,0.3684
363,5.595,0.3583,5.353,0.5498
364,6.282,0.6044,6.282,0.6044
365,6.034,0.3585,5.037,0.4094
366,6.171,0.4472,5.772,0.5113
367,5.587,0.504,5.587,0.504
368,5.343,0.3422,4.89,0.3717
369,5.25,0.2814,5.116,0.5941
370,5.36,0.2641,5.026,0.6308
371,5.551,0.4001,4.97,0.4933
372,5.758,0.5094,5.758,0.5094
373,5.833,0.556,5.833,0.556
374,5.341,0.4296,4.927,0.5058
375,6.113,0.4881,5.781,0.5592
376,5.771,0.5127,5.745,0.5792
377,,,,
378,,,,
379,,,,
380,,,,
384,,,,
385,,,,
388,,,,
392,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,5.905,0.2501,5.505,0.3206
400,6.295,0.2161,5.503,0.2969
402,6.068,0.387,6.068,0.387
403,6.597,0.588,6.597,0.588
404,4.807,0.2111,4.55,0.3131
454,4.801,0.3585,4.728,0.4873
455,5.603,0.3404,4.764,0.4211
462,6.633,0.5612,6.633,0.5612
463,5.579,0.388,5.223,0.592
464,4.593,0.4713,4.322,0.5007
466,5.874,0.5328,5.874,0.5328
467,5.448,0.4342,4.613,0.4732
468,6.329,0.4234,5.432,0.5672
469,5.286,0.3276,5.162,0.4599
470,5.463,0.4266,5.429,0.6316
471,5.573,0.5257,4.762,0.5791
472,5.112,0.4949,4.123,0.5132
