ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
5,7.064,0.1998,7.027,0.2953
6,7.497,0.2125,7.497,0.2125
7,7.541,0.2109,7.308,0.2859
8,7.281,0.7741,7.281,0.7741
9,7.036,0.1768,6.96,0.2838
11,7.693,0.3402,7.693,0.3402
12,7.504,0.1901,7.27,0.2936
13,7.162,0.1934,6.966,0.2633
14,7.351,0.3748,7.351,0.3748
16,7.005,0.4409,7.005,0.4409
17,7.137,0.2235,6.771,0.2414
18,7.7,0.442,7.7,0.442
19,7.152,0.2124,7.095,0.3361
20,7.108,0.2321,7.015,0.299
21,7.064,0.4027,7.064,0.4027
22,6.971,0.2196,5.721,0.2463
23,7.124,0.3213,7.124,0.3213
24,6.892,0.316,6.892,0.316
25,7.196,0.1932,7.159,0.2783
26,7.001,0.325,7.001,0.325
27,7.69,0.4704,7.69,0.4704
28,6.518,0.4138,6.518,0.4138
29,6.718,0.3815,6.718,0.3815
30,6.693,0.1152,6.232,0.206
31,6.558,0.4584,6.558,0.4584
32,6.747,0.1851,6.614,0.2712
33,6.73,0.3903,6.73,0.3903
34,7.405,0.134,7.169,0.1757
35,6.589,0.6312,6.589,0.6312
36,6.514,0.7903,6.514,0.7903
37,6.738,0.3347,6.637,0.336
38,6.43,0.6777,6.43,0.6777
39,6.723,0.7668,6.723,0.7668
40,6.764,0.8483,6.764,0.8483
41,7.088,0.4315,7.088,0.4315
42,6.835,0.8168,6.814,0.8663
43,7.652,0.0781,7.456,0.2072
44,6.604,0.6407,6.604,0.6407
45,6.789,0.5357,6.789,0.5357
46,6.449,0.6488,6.449,0.6488
47,6.81,0.2293,6.81,0.2293
48,6.8,0.3795,6.8,0.3795
49,7.184,0.2839,7.184,0.2839
50,6.853,0.666,6.853,0.666
51,6.489,0.7329,6.489,0.7329
52,6.755,0.5256,6.751,0.6203
53,7.041,0.4132,7.041,0.4132
54,6.763,0.5755,6.763,0.5755
55,7.133,0.2274,6.946,0.2611
56,7.174,0.1481,6.952,0.225
57,7.181,0.3258,7.181,0.3258
58,6.821,0.3348,6.821,0.3348
59,7.07,0.2182,6.951,0.2415
60,6.816,0.405,6.816,0.405
61,7.267,0.3011,7.267,0.3011
62,6.999,0.1874,5.706,0.2271
63,6.978,0.2299,5.813,0.2906
64,7.642,0.3494,7.642,0.3494
65,7.063,0.1592,7.018,0.2325
66,6.078,0.8018,6.078,0.8018
67,5.855,0.8095,5.855,0.8095
68,7.155,0.2621,7.155,0.2621
69,7.201,0.2053,7.04,0.264
70,6.172,0.897,6.172,0.897
71,7.29,0.283,7.29,0.283
72,7.24,0.2304,7.24,0.2304
73,7.906,0.2059,7.666,0.2387
74,7.934,0.2258,7.605,0.312
75,8.22,0.2878,8.033,0.3609
76,6.203,0.5635,6.203,0.5635
77,6.795,0.5957,6.795,0.5957
78,6.778,0.5648,6.778,0.5648
79,6.469,0.4232,6.469,0.4232
80,6.237,0.51,6.237,0.51
81,6.351,0.6554,6.351,0.6554
82,6.027,0.4811,4.877,0.4993
83,6.98,0.5709,6.98,0.5709
84,6.393,0.2711,6.385,0.4753
85,6.5,0.6705,6.5,0.6705
86,6.311,0.3389,6.311,0.3389
87,6.108,0.2762,4.961,0.3721
