ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
1,,,,
2,7.624,0.1862,7.452,0.286
3,7.831,0.1552,7.612,0.2835
4,7.647,0.3457,7.647,0.3457
5,7.29,0.3476,7.29,0.3476
6,7.696,0.3099,7.461,0.319
7,7.604,0.2046,7.396,0.3062
8,7.282,0.7772,7.282,0.7772
9,7.264,0.3784,7.264,0.3784
10,7.236,0.2403,7.236,0.2403
11,7.215,0.3046,7.215,0.3046
12,7.367,0.2502,7.367,0.2502
13,7.405,0.2217,7.254,0.3085
14,7.44,0.4175,7.44,0.4175
15,7.027,0.2185,6.713,0.2813
16,7.091,0.559,7.091,0.559
17,7.223,0.254,7.223,0.254
18,7.772,0.4387,7.772,0.4387
19,7.293,0.195,7.107,0.2694
20,7.29,0.1849,7.071,0.2821
21,7.102,0.3939,7.102,0.3939
22,7.116,0.3236,7.116,0.3236
23,7.266,0.2094,7.143,0.3291
24,7.019,0.212,6.991,0.3323
25,7.476,0.2208,7.305,0.2992
26,7.245,0.2145,7.216,0.3946
27,7.75,0.4637,7.75,0.4637
28,6.417,0.2868,6.307,0.2976
29,6.78,0.4268,6.78,0.4268
30,6.8,0.1248,6.584,0.2173
31,6.75,0.6486,6.75,0.6486
32,6.967,0.2835,6.798,0.3293
33,6.756,0.4157,6.756,0.4157
34,7.638,0.1198,7.484,0.184
35,6.787,0.8429,6.787,0.8429
36,6.552,0.7741,6.525,0.791
37,6.792,0.4263,6.788,0.4601
38,6.437,0.7119,6.437,0.7119
39,6.57,0.6231,6.57,0.6231
40,6.64,0.6794,6.606,0.6907
41,7.101,0.509,6.913,0.5097
42,6.878,0.8913,6.878,0.8913
43,7.891,0.1251,7.688,0.1715
44,6.837,0.8438,6.837,0.8438
45,6.974,0.8265,6.974,0.8265
46,6.53,0.7963,6.53,0.7963
47,6.868,0.1997,6.796,0.2575
48,7.04,0.6226,7.04,0.6226
49,7.134,0.3352,7.102,0.4707
50,6.704,0.3433,6.459,0.3721
51,6.445,0.6618,6.414,0.6909
52,6.954,0.7799,6.954,0.7799
53,6.976,0.3596,6.958,0.4535
54,6.807,0.5373,6.807,0.5373
55,7.196,0.2671,7.176,0.279
56,7.317,0.2499,7.283,0.2934
57,7.298,0.2321,7.298,0.2321
58,7.211,0.5018,7.211,0.5018
59,7.362,0.2496,7.362,0.2496
60,7.117,0.4909,7.117,0.4909
61,7.132,0.1879,6.899,0.2503
62,6.939,0.1961,6.847,0.2617
63,6.999,0.2123,6.932,0.3406
64,7.459,0.2724,7.459,0.2724
65,7.38,0.3496,7.38,0.3496
66,6.207,0.8543,6.207,0.8543
67,5.845,0.8033,5.845,0.8033
68,7.367,0.3377,7.367,0.3377
69,7.354,0.2306,7.354,0.2306
70,6.25,0.8703,6.25,0.8703
71,7.34,0.2201,7.049,0.2257
72,7.317,0.2863,7.317,0.2863
73,7.775,0.2715,7.775,0.2715
74,7.993,0.2364,7.993,0.2364
75,8.135,0.1764,8.065,0.2233
76,6.293,0.5859,6.196,0.5926
77,6.783,0.5233,6.755,0.5517
78,6.781,0.6057,6.781,0.6057
79,6.569,0.4141,6.569,0.4141
80,6.357,0.5026,6.357,0.5026
81,6.435,0.7617,6.435,0.7617
82,6.102,0.6104,6.102,0.6104
83,7.069,0.6228,7.069,0.6228
84,6.445,0.2856,6.425,0.2885
85,6.543,0.6989,6.543,0.6989
86,6.368,0.3997,6.368,0.3997
87,6.141,0.3447,6.134,0.3562
88,7.033,0.8852,7.033,0.8852
89,6.119,0.3232,6.11,0.3326
90,6.301,0.6089,6.301,0.6089
91,6.287,0.6445,6.287,0.6445
92,6.675,0.5166,6.585,0.6119
93,6.56,0.5584,6.534,0.6253
94,7.134,0.5272,7.134,0.5272
95,6.483,0.5974,6.483,0.5974
96,7.227,0.4392,7.008,0.4584
97,6.573,0.4603,6.573,0.4603
98,7.212,0.4254,7.212,0.4254
99,6.511,0.4227,6.511,0.4227
100,6.459,0.4577,6.459,0.4577
103,7.644,0.3921,7.513,0.4628
104,7.139,0.3624,6.546,0.4861
105,7.75,0.4087,7.75,0.4087
106,7.461,0.267,6.959,0.3675
107,7.11,0.4334,7.11,0.4334
108,6.875,0.2663,6.832,0.3187
109,7.121,0.2646,6.45,0.3673
110,7.862,0.4014,7.862,0.4014
111,7.173,0.7267,7.173,0.7267
112,6.785,0.5613,6.754,0.6012
113,7.958,0.2799,7.892,0.4324
114,8.227,0.3356,7.978,0.3622
115,8.183,0.2761,7.691,0.3608
116,7.516,0.2506,7.282,0.403
117,8.474,0.4018,8.474,0.4018
118,8.112,0.326,7.409,0.4562
119,7.795,0.2792,7.795,0.2792
120,8.088,0.3738,8.088,0.3738
134,7.159,0.7444,7.159,0.7444
135,7.253,0.736,7.253,0.736
136,8.635,0.2383,8.514,0.2687
137,8.679,0.3078,8.515,0.3894
138,7.701,0.1396,6.584,0.1729
139,7.817,0.2171,6.889,0.2878
140,7.027,0.5328,6.984,0.8878
141,7.133,0.8826,7.133,0.8826
142,6.868,0.9611,6.868,0.9611
143,7.192,0.8441,7.192,0.8441
144,6.738,0.9461,6.738,0.9461
145,6.965,0.6818,6.899,0.908
146,6.432,0.9088,6.398,0.9301
147,6.773,0.761,6.773,0.761
148,6.645,0.5774,6.645,0.5774
149,6.76,0.6513,6.701,0.6881
150,7.053,0.8682,7.053,0.8682
151,6.943,0.6897,6.943,0.6897
152,6.856,0.703,6.856,0.703
153,7.041,0.8729,7.041,0.8729
154,7.167,0.6458,7.167,0.6458
155,7.224,0.6667,7.224,0.6667
156,6.797,0.6284,6.797,0.6284
157,5.78,0.4955,5.78,0.4955
158,6.539,0.6664,6.518,0.6921
159,7.056,0.9007,7.056,0.9007
160,7.398,0.8112,7.398,0.8112
161,7.354,0.855,7.354,0.855
162,7.297,0.8974,7.297,0.8974
163,6.863,0.4229,6.862,0.5628
164,6.766,0.5326,6.643,0.5695
165,6.944,0.8031,6.944,0.8031
166,7.581,0.932,7.581,0.932
167,6.981,0.478,6.713,0.6602
168,7.093,0.8816,7.093,0.8816
169,7.022,0.7163,7.022,0.7163
170,7.033,0.5473,6.87,0.6779
171,6.81,0.5301,6.782,0.8248
172,6.662,0.8219,6.62,0.8271
173,6.767,0.7022,6.614,0.8195
174,7.769,0.2965,7.769,0.2965
175,8.438,0.3109,8.438,0.3109
176,8.385,0.3616,8.047,0.3727
177,7.941,0.3317,7.941,0.3317
178,8.243,0.3741,8.243,0.3741
180,7.782,0.1457,7.532,0.249
181,7.195,0.8863,7.195,0.8863
182,7.8,0.2002,7.3,0.2179
183,7.796,0.1624,7.524,0.2756
185,7.678,0.138,7.167,0.1971
186,7.371,0.5904,7.371,0.5904
187,6.911,0.8112,6.911,0.8112
188,6.843,0.5927,6.84,0.8437
189,7.071,0.8617,7.071,0.8617
190,6.997,0.8298,6.997,0.8298
191,6.953,0.7097,6.904,0.8327
192,7.067,0.7395,7.067,0.7395
193,6.988,0.7821,6.988,0.7821
194,6.882,0.7409,6.675,0.7484
195,7.518,0.3315,7.498,0.394
196,8.101,0.5237,8.101,0.5237
197,7.279,0.322,7.279,0.322
198,7.367,0.4103,7.367,0.4103
199,7.275,0.3195,7.186,0.4205
200,6.718,0.4552,6.611,0.5111
201,6.712,0.493,6.645,0.5933
202,7.442,0.5676,7.442,0.5676
203,7.077,0.5867,6.947,0.6106
204,7.19,0.495,7.19,0.495
205,6.888,0.5244,6.861,0.6374
206,7.154,0.5787,7.081,0.6765
