ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
1,6.641,0.4477,6.252,0.5207
2,6.962,0.6652,6.962,0.6652
3,6.882,0.6513,6.882,0.6513
23,6.297,0.6499,6.297,0.6499
24,6.005,0.4366,5.99,0.5873
25,5.504,0.7561,5.504,0.7561
26,5.332,0.7971,5.332,0.7971
27,5.467,0.6949,5.46,0.7347
28,5.295,0.5583,5.022,0.5846
29,5.185,0.4861,5.047,0.5671
30,7.468,0.4028,7.425,0.546
31,5.256,0.7504,5.256,0.7504
32,5.327,0.5412,5.278,0.7667
33,5.737,0.7234,5.737,0.7234
34,5.413,0.7278,5.413,0.7278
35,5.655,0.6336,5.576,0.7583
36,5.219,0.5176,5.18,0.5425
38,5.243,0.6279,5.225,0.6344
39,5.057,0.6269,5.057,0.6269
40,5.427,0.6642,5.427,0.6642
41,5.354,0.7289,5.265,0.7796
42,5.692,0.6523,5.61,0.7443
43,5.285,0.9161,5.285,0.9161
44,5.533,0.7712,5.521,0.789
46,5.425,0.719,5.425,0.719
47,5.306,0.5785,4.974,0.6133
48,5.475,0.7349,5.475,0.7349
49,5.68,0.7177,5.68,0.7177
50,7.365,0.3387,7.345,0.4473
52,5.335,0.6184,5.335,0.6184
55,5.09,0.889,5.09,0.889
56,5.571,0.6492,5.54,0.7049
58,5.644,0.6198,5.644,0.6198
59,5.671,0.4883,5.366,0.5949
60,6.147,0.6328,5.818,0.6611
61,4.761,0.6343,4.623,0.8733
62,5.578,0.6001,5.363,0.662
64,6.123,0.4572,5.949,0.6707
65,5.589,0.8905,5.226,0.8919
66,5.38,0.7396,5.247,0.8247
67,4.793,0.8357,4.342,0.8381
68,4.816,0.7595,4.744,0.8547
69,4.97,0.8587,4.97,0.8587
70,5.182,0.7978,5.153,0.8125
71,6.393,0.6614,6.393,0.6614
72,6.567,0.4277,6.531,0.4369
73,5.995,0.5738,5.995,0.5738
74,5.679,0.7041,5.679,0.7041
75,6.303,0.5729,6.138,0.6449
76,5.83,0.6215,5.51,0.6529
77,6.299,0.5642,6.021,0.5735
78,6.687,0.7256,6.687,0.7256
79,5.798,0.7096,5.798,0.7096
80,5.982,0.6644,5.846,0.7454
81,6.911,0.2886,6.885,0.4192
88,7.817,0.5193,7.733,0.522
89,7.821,0.3855,7.737,0.5257
90,5.229,0.7797,5.229,0.7797
91,5.046,0.585,4.924,0.6668
92,5.454,0.7863,5.454,0.7863
93,5.638,0.538,5.499,0.6113
94,5.275,0.5909,5.163,0.6647
95,5.075,0.6511,4.904,0.7045
96,5.171,0.5155,5.022,0.657
97,4.861,0.597,4.789,0.7266
98,4.997,0.5814,4.969,0.7784
99,5.052,0.6963,4.885,0.7375
100,5.232,0.6677,5.114,0.7229
101,4.915,0.5602,4.77,0.6838
102,5.172,0.7333,5.172,0.7333
103,5.245,0.7248,5.245,0.7248
104,6.995,0.6068,6.995,0.6068
105,4.789,0.4665,4.647,0.5499
106,5.039,0.57,4.961,0.673
108,5.232,0.732,5.232,0.732
109,5.555,0.6538,5.549,0.7169
110,5.341,0.777,5.341,0.777
111,7.022,0.6069,6.714,0.6497
112,6.014,0.8416,6.014,0.8416
113,5.066,0.6728,5.044,0.7374
114,6.369,0.6294,6.281,0.7769
115,5.785,0.5319,5.578,0.6571
116,7.218,0.5341,7.218,0.5341
117,7.075,0.4156,6.983,0.4306
118,7.552,0.7422,7.096,0.7611
119,6.177,0.7038,6.119,0.7357
120,6.932,0.4891,6.574,0.6009
121,7.45,0.4558,7.45,0.4558
122,6.46,0.4599,6.354,0.7301
123,5.713,0.7901,5.624,0.7919
124,5.928,0.6756,5.789,0.8349
125,7.032,0.4544,6.543,0.6238
126,7.192,0.4003,7.172,0.4404
127,7.623,0.6198,7.623,0.6198
128,7.399,0.7888,7.399,0.7888
129,7.892,0.4384,7.819,0.8391
130,7.438,0.6363,7.438,0.6363
131,7.1,0.6854,7.1,0.6854
132,6.792,0.5575,6.338,0.5839
133,7.036,0.5015,7.008,0.717
134,6.221,0.6106,6.103,0.8308
135,7.098,0.61,7.098,0.61
136,5.727,0.7979,5.727,0.7979
137,6.29,0.7791,6.29,0.7791
138,7.57,0.7046,7.57,0.7046
139,7.412,0.7482,7.412,0.7482
140,8.031,0.6973,8.031,0.6973
141,7.38,0.7218,7.38,0.7218
142,6.852,0.7402,6.852,0.7402
143,7.096,0.6629,7.096,0.6629
