ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
4,4.202,0.351,4.111,0.3784
8,4.325,0.307,4.005,0.3609
11,4.314,0.395,4.262,0.4003
12,4.414,0.3695,4.352,0.3987
18,4.224,0.3955,4.077,0.4326
21,4.323,0.3923,4.323,0.3923
23,4.024,0.3569,3.94,0.3832
28,4.697,0.3016,4.393,0.3417
33,3.441,0.535,3.432,0.5384
34,4.397,0.4875,4.382,0.493
35,4.121,0.5284,4.102,0.5367
36,4.079,0.5556,4.06,0.5567
37,3.892,0.563,3.882,0.5673
38,4.092,0.5521,4.092,0.5521
39,4.016,0.5772,4.01,0.5831
40,3.933,0.6131,3.919,0.6158
41,4.459,0.4847,4.447,0.4911
42,4.127,0.5402,4.127,0.5402
43,4.37,0.5159,4.367,0.5161
44,4.034,0.5061,4.019,0.5152
45,3.971,0.5826,3.967,0.5858
46,3.902,0.606,3.897,0.6076
47,3.781,0.594,3.755,0.5981
48,3.746,0.4882,3.74,0.4944
49,3.789,0.4583,3.658,0.4719
50,4.293,0.5032,4.223,0.5111
51,4.488,0.4972,4.487,0.5001
52,3.441,0.7373,3.435,0.7388
53,3.978,0.5023,3.904,0.5036
54,4.024,0.5533,4.021,0.5571
55,3.524,0.7329,3.497,0.7353
56,3.974,0.4916,3.924,0.505
57,4.203,0.5952,4.16,0.6005
58,3.775,0.5151,3.764,0.5215
59,3.783,0.619,3.783,0.619
60,3.77,0.6305,3.769,0.6449
61,3.812,0.5931,3.803,0.5977
62,3.772,0.5316,3.74,0.5318
63,3.896,0.6613,3.879,0.6659
64,3.884,0.5209,3.878,0.5336
65,4.04,0.5188,4.022,0.5212
66,3.769,0.5418,3.759,0.5512
67,4.38,0.3797,4.058,0.3977
68,3.942,0.5513,3.942,0.5513
69,3.68,0.5488,3.652,0.5521
70,3.874,0.5249,3.857,0.5254
71,4.03,0.4736,4.03,0.4736
72,3.777,0.538,3.752,0.5406
73,3.8,0.7111,3.793,0.7135
74,3.826,0.5971,3.815,0.6018
75,4.084,0.4707,4.067,0.4751
76,3.784,0.6824,3.774,0.6834
77,3.869,0.5482,3.862,0.5532
78,3.996,0.5339,3.981,0.5402
79,4.06,0.493,4.057,0.5017
80,3.995,0.534,3.976,0.5416
81,4.583,0.2494,4.467,0.2606
82,4.157,0.4783,4.157,0.4783
