Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_10,7.2714844,0.4408314,0.75796,7.2714844,0.4408314,0.75796
ligand_source_row_100,6.9472656,0.911554,0.9977061,6.9472656,0.911554,0.9977061
ligand_source_row_1000,6.133789,0.122928806,1.3005409,6.133789,0.122928806,1.3005409
ligand_source_row_1001,6.741211,0.302773,0.044335682,6.741211,0.302773,0.044335682
ligand_source_row_1002,7.696289,0.27661145,0.11283747,7.696289,0.27661145,0.11283747
ligand_source_row_1003,7.451172,0.78967017,0.32902527,7.451172,0.78967017,0.32902527
ligand_source_row_1004,7.3466797,0.4461428,0.5902036,7.3466797,0.4461428,0.5902036
ligand_source_row_1005,7.5371094,0.82377917,0.24663799,7.5371094,0.82377917,0.24663799
ligand_source_row_1006,7.317383,0.8263971,0.7002907,7.317383,0.8263971,0.7002907
ligand_source_row_1007,7.4970703,0.8044627,0.1903928,7.4970703,0.8044627,0.1903928
ligand_source_row_1008,7.942383,0.6427125,0.073988594,7.942383,0.6427125,0.073988594
ligand_source_row_1009,7.4833984,0.70284307,0.2416013,7.4833984,0.70284307,0.2416013
ligand_source_row_101,6.2304688,0.027731389,0.07715861,6.2304688,0.027731389,0.07715861
ligand_source_row_1010,5.8164062,0.025601448,0.61240643,5.8164062,0.025601448,0.61240643
ligand_source_row_1011,6.333008,0.032356877,0.7049802,6.333008,0.032356877,0.7049802
ligand_source_row_1013,6.6484375,0.07265408,0.344635,6.6484375,0.07265408,0.344635
ligand_source_row_1014,6.046875,0.012416868,0.16052246,6.046875,0.012416868,0.16052246
ligand_source_row_1016,6.098633,0.07332418,0.17403539,6.098633,0.07332418,0.17403539
ligand_source_row_1018,6.2285156,0.06876141,0.22482808,6.2285156,0.06876141,0.22482808
ligand_source_row_1019,6.154297,0.020491146,0.12591045,6.154297,0.020491146,0.12591045
ligand_source_row_102,6.435547,0.037616886,0.5163727,6.435547,0.037616886,0.5163727
ligand_source_row_1020,6.0546875,0.048669618,1.3089294,6.0546875,0.048669618,1.3089294
ligand_source_row_1021,5.529297,0.012374484,0.10903422,5.529297,0.012374484,0.10903422
ligand_source_row_1022,6.2841797,0.107859835,0.26320776,6.2841797,0.107859835,0.26320776
ligand_source_row_1023,5.6777344,0.010961747,0.5285797,5.6777344,0.010961747,0.5285797
ligand_source_row_1024,5.948242,0.020030838,0.38960138,5.948242,0.020030838,0.38960138
ligand_source_row_1026,5.904297,0.0108467555,0.29907736,5.904297,0.0108467555,0.29907736
ligand_source_row_1027,5.444336,0.014327014,0.08122126,5.444336,0.014327014,0.08122126
ligand_source_row_1029,5.4521484,0.009703977,0.0682106,5.4521484,0.009703977,0.0682106
ligand_source_row_103,7.0341797,0.18145567,0.12691624,7.0341797,0.18145567,0.12691624
ligand_source_row_1030,6.477539,0.13295278,0.11029434,6.477539,0.13295278,0.11029434
ligand_source_row_1031,5.9091797,0.0140487095,0.080794014,5.9091797,0.0140487095,0.080794014
ligand_source_row_1033,5.736328,0.013495113,0.13926697,5.736328,0.013495113,0.13926697
ligand_source_row_1034,6.477539,0.14289849,0.30223975,6.477539,0.14289849,0.30223975
ligand_source_row_1035,6.4414062,0.036679573,0.36135864,6.4414062,0.036679573,0.36135864
ligand_source_row_1036,6.25,0.06590846,0.23295085,6.25,0.06590846,0.23295085
ligand_source_row_1037,6.017578,0.048552014,0.24952698,6.017578,0.048552014,0.24952698
ligand_source_row_1038,6.3554688,0.01650676,0.1501363,6.3554688,0.01650676,0.1501363
ligand_source_row_1039,5.8554688,0.015843587,0.12945557,5.8554688,0.015843587,0.12945557
ligand_source_row_104,7.8027344,0.89101255,0.26397195,7.8027344,0.89101255,0.26397195
ligand_source_row_1040,6.78125,0.16934007,0.6046855,6.78125,0.16934007,0.6046855
ligand_source_row_1043,5.6435547,0.008139625,0.0365537,5.6435547,0.008139625,0.0365537
ligand_source_row_1044,7.1064453,0.891994,0.50092953,7.1064453,0.891994,0.50092953
ligand_source_row_1045,6.8828125,0.7789778,0.40416464,6.8828125,0.7789778,0.40416464
ligand_source_row_1046,7.1816406,0.49366522,0.6610158,7.1816406,0.49366522,0.6610158
ligand_source_row_1047,7.6367188,0.29686496,0.29852295,7.6367188,0.29686496,0.29852295
ligand_source_row_1048,6.8876953,0.8818964,0.6310666,6.8876953,0.8818964,0.6310666
ligand_source_row_1049,7.0322266,0.8577804,0.57402927,7.0322266,0.8577804,0.57402927
ligand_source_row_105,6.663086,0.68119,0.37162653,6.663086,0.68119,0.37162653
ligand_source_row_1050,6.6728516,0.38793454,0.5961444,6.6728516,0.38793454,0.5961444
ligand_source_row_1051,7.0117188,0.82087016,0.42658487,7.0117188,0.82087016,0.42658487
ligand_source_row_1052,7.205078,0.22122452,0.3867035,7.205078,0.22122452,0.3867035
ligand_source_row_1053,7.3554688,0.4341595,0.21560669,7.3554688,0.4341595,0.21560669
ligand_source_row_1054,7.0410156,0.84982014,0.30445862,7.0410156,0.84982014,0.30445862
ligand_source_row_1055,6.885742,0.1401865,0.42077002,6.885742,0.1401865,0.42077002
ligand_source_row_1057,6.4658203,0.022339376,0.24228287,6.4658203,0.022339376,0.24228287
ligand_source_row_1058,7.498047,0.17408925,0.02784729,7.498047,0.17408925,0.02784729
ligand_source_row_106,7.673828,0.96932185,0.44782004,7.673828,0.96932185,0.44782004
ligand_source_row_1060,7.7753906,0.25902015,0.7486725,7.7753906,0.25902015,0.7486725
ligand_source_row_1061,6.725586,0.23058425,0.24396133,6.725586,0.23058425,0.24396133
ligand_source_row_1062,5.7041016,0.095659785,0.17002742,5.7041016,0.095659785,0.17002742
ligand_source_row_1063,6.3427734,0.22886482,0.8576495,6.3427734,0.22886482,0.8576495
ligand_source_row_1064,7.1484375,0.54484195,0.21766154,7.1484375,0.54484195,0.21766154
ligand_source_row_1065,6.0654297,0.096390486,0.12743504,6.0654297,0.096390486,0.12743504
ligand_source_row_1066,5.866211,0.036069423,0.14945857,5.866211,0.036069423,0.14945857
ligand_source_row_1067,5.8466797,0.13083236,0.7377154,5.8466797,0.13083236,0.7377154
ligand_source_row_1068,4.7124023,0.01642973,0.53716373,4.7124023,0.01642973,0.53716373
ligand_source_row_1069,5.913086,0.022218829,0.20347469,5.913086,0.022218829,0.20347469
ligand_source_row_107,6.198242,0.11157751,0.16743343,6.198242,0.11157751,0.16743343
ligand_source_row_1070,5.9570312,0.56444055,0.32418823,5.9570312,0.56444055,0.32418823
ligand_source_row_1071,6.495117,0.7495842,0.4995359,6.495117,0.7495842,0.4995359
ligand_source_row_1072,5.4853516,0.01896396,0.355615,5.4853516,0.01896396,0.355615
ligand_source_row_1073,6.2148438,0.52452266,1.5683187,6.2148438,0.52452266,1.5683187
ligand_source_row_1074,6.6123047,0.28883892,0.32508722,6.6123047,0.28883892,0.32508722
ligand_source_row_1075,5.6347656,0.028991103,0.4274343,5.6347656,0.028991103,0.4274343
ligand_source_row_1076,5.9873047,0.67036307,0.4969724,5.9873047,0.67036307,0.4969724
ligand_source_row_1077,5.3242188,0.11006976,0.7319234,5.3242188,0.11006976,0.7319234
ligand_source_row_1078,6.4365234,0.7526741,0.5119362,6.4365234,0.7526741,0.5119362
ligand_source_row_1079,6.330078,0.32302457,0.41762796,6.330078,0.32302457,0.41762796
ligand_source_row_108,6.126953,0.037245423,0.21525574,6.126953,0.037245423,0.21525574
ligand_source_row_1080,5.661133,0.0560871,0.13128026,5.661133,0.0560871,0.13128026
ligand_source_row_1081,5.6191406,0.024274135,0.9033254,5.6191406,0.024274135,0.9033254
ligand_source_row_1082,6.341797,0.07841095,1.4347178,6.341797,0.07841095,1.4347178
ligand_source_row_1083,6.7509766,0.36555326,0.88202286,6.7509766,0.36555326,0.88202286
ligand_source_row_1084,6.147461,0.29531613,0.16622289,6.147461,0.29531613,0.16622289
ligand_source_row_1085,6.3603516,0.5516623,0.8294818,6.3603516,0.5516623,0.8294818
ligand_source_row_1087,6.1220703,0.7347345,0.43977228,6.1220703,0.7347345,0.43977228
ligand_source_row_1088,6.720703,0.32833904,0.061976116,6.720703,0.32833904,0.061976116
ligand_source_row_1089,6.588867,0.24778153,0.39135107,6.588867,0.24778153,0.39135107
ligand_source_row_109,7.9785156,0.92576617,0.28484598,7.9785156,0.92576617,0.28484598
ligand_source_row_1090,6.40625,0.036684867,0.25906372,6.40625,0.036684867,0.25906372
ligand_source_row_1091,7.423828,0.5267661,0.9042206,7.423828,0.5267661,0.9042206
ligand_source_row_1092,6.381836,0.6364615,0.47828546,6.381836,0.6364615,0.47828546
ligand_source_row_1093,5.567383,0.13225846,0.2343483,5.567383,0.13225846,0.2343483
ligand_source_row_1094,6.138672,0.06564186,0.24025981,6.138672,0.06564186,0.24025981
ligand_source_row_1095,6.220703,0.031260822,0.6878306,6.220703,0.031260822,0.6878306
ligand_source_row_1096,5.678711,0.6786317,0.15406673,5.678711,0.6786317,0.15406673
ligand_source_row_1097,5.4501953,0.045329973,0.06613541,5.4501953,0.045329973,0.06613541
ligand_source_row_1098,6.2783203,0.30573523,0.8029213,6.2783203,0.30573523,0.8029213
ligand_source_row_1099,7.088867,0.40600497,0.57075375,7.088867,0.40600497,0.57075375
ligand_source_row_11,7.1240234,0.25446242,0.070916496,7.1240234,0.25446242,0.070916496
ligand_source_row_110,6.461914,0.30851918,0.06795629,6.461914,0.30851918,0.06795629
ligand_source_row_1100,6.067383,0.17158997,0.17597835,6.067383,0.17158997,0.17597835
ligand_source_row_1101,5.7509766,0.14118828,0.24725723,5.7509766,0.14118828,0.24725723
ligand_source_row_1102,7.2285156,0.54035676,0.7310028,7.2285156,0.54035676,0.7310028
ligand_source_row_1103,5.5410156,0.15762816,1.203425,5.5410156,0.15762816,1.203425
ligand_source_row_1104,6.260742,0.22524863,0.7893715,6.260742,0.22524863,0.7893715
ligand_source_row_1105,4.944336,0.016100312,0.18589656,4.944336,0.016100312,0.18589656
ligand_source_row_1106,5.083008,0.013013283,0.6913592,5.083008,0.013013283,0.6913592
ligand_source_row_1107,6.385742,0.23801306,0.47277197,6.385742,0.23801306,0.47277197
ligand_source_row_1108,5.6259766,0.68465054,0.43134943,5.6259766,0.68465054,0.43134943
ligand_source_row_1109,6.7089844,0.12884125,0.77395123,6.7089844,0.12884125,0.77395123
ligand_source_row_111,6.4257812,0.05666633,0.1347758,6.4257812,0.05666633,0.1347758
ligand_source_row_1110,6.696289,0.18860017,0.15034358,6.696289,0.18860017,0.15034358
ligand_source_row_1111,6.1171875,0.12930006,0.9411011,6.1171875,0.12930006,0.9411011
ligand_source_row_1112,7.4746094,0.120470956,0.52519226,7.4746094,0.120470956,0.52519226
ligand_source_row_1113,6.770508,0.41076353,0.28452936,6.770508,0.41076353,0.28452936
ligand_source_row_1114,5.758789,0.02413834,0.15127945,5.758789,0.02413834,0.15127945
ligand_source_row_1115,6.7373047,0.19438961,0.44397354,6.7373047,0.19438961,0.44397354
ligand_source_row_1116,6.0117188,0.30964604,0.1648051,6.0117188,0.30964604,0.1648051
ligand_source_row_1117,5.180664,0.49922508,0.21741104,5.180664,0.49922508,0.21741104
ligand_source_row_1118,6.385742,0.37655354,0.8121274,6.385742,0.37655354,0.8121274
ligand_source_row_1119,5.548828,0.18687356,0.33287048,5.548828,0.18687356,0.33287048
ligand_source_row_112,6.8828125,0.07404764,0.3022054,6.8828125,0.07404764,0.3022054
ligand_source_row_1120,4.3808594,0.033123534,0.06429545,4.3808594,0.033123534,0.06429545
ligand_source_row_1121,6.088867,0.041340563,0.69907,6.088867,0.041340563,0.69907
ligand_source_row_1122,7.1835938,0.46409878,0.8042908,7.1835938,0.46409878,0.8042908
ligand_source_row_1123,6.2158203,0.17022696,0.45992407,6.2158203,0.17022696,0.45992407
ligand_source_row_1124,5.698242,0.036120374,1.0277239,5.698242,0.036120374,1.0277239
ligand_source_row_1125,6.529297,0.16217887,0.4898529,6.529297,0.16217887,0.4898529
ligand_source_row_1126,6.546875,0.29255143,0.54681396,6.546875,0.29255143,0.54681396
ligand_source_row_1127,5.75,0.102761425,0.70976764,5.75,0.102761425,0.70976764
ligand_source_row_1128,5.1572266,0.0077312486,0.14491145,5.1572266,0.0077312486,0.14491145
ligand_source_row_1129,5.6591797,0.13751288,0.12329483,5.6591797,0.13751288,0.12329483
ligand_source_row_113,8.464844,0.9110331,0.14748128,8.464844,0.9110331,0.14748128
ligand_source_row_1130,4.984375,0.057555385,0.5666606,4.984375,0.057555385,0.5666606
ligand_source_row_1132,5.661133,0.075751305,0.6463153,5.661133,0.075751305,0.6463153
ligand_source_row_1133,6.5859375,0.1969431,0.30366006,6.5859375,0.1969431,0.30366006
ligand_source_row_1134,6.0410156,0.02507125,0.007878621,6.0410156,0.02507125,0.007878621
ligand_source_row_1135,6.5097656,0.24365121,0.34139505,6.5097656,0.24365121,0.34139505
ligand_source_row_1136,5.5166016,0.085550815,0.28586197,5.5166016,0.085550815,0.28586197
ligand_source_row_1137,5.7402344,0.6120735,0.5062917,5.7402344,0.6120735,0.5062917
ligand_source_row_1138,7.3408203,0.44870126,0.37060928,7.3408203,0.44870126,0.37060928
ligand_source_row_1139,5.366211,0.042037003,0.32530084,5.366211,0.042037003,0.32530084
ligand_source_row_114,7.5478516,0.8781855,0.65938693,7.5478516,0.8781855,0.65938693
ligand_source_row_1140,4.6567383,0.01345824,0.75597733,4.6567383,0.01345824,0.75597733
ligand_source_row_1141,6.7910156,0.26772696,0.36125183,6.7910156,0.26772696,0.36125183
ligand_source_row_1142,6.3984375,0.1686545,0.28134155,6.3984375,0.1686545,0.28134155
ligand_source_row_1143,6.0039062,0.011501279,0.66329956,6.0039062,0.011501279,0.66329956
ligand_source_row_1144,6.044922,0.13666834,0.29836527,6.044922,0.13666834,0.29836527
ligand_source_row_1145,6.4101562,0.24786572,0.43036905,6.4101562,0.24786572,0.43036905
ligand_source_row_1146,6.1914062,0.118351474,0.38560995,6.1914062,0.118351474,0.38560995
ligand_source_row_1147,5.7783203,0.3582757,0.36225763,5.7783203,0.3582757,0.36225763
ligand_source_row_1148,6.1904297,0.076913916,0.20415623,6.1904297,0.076913916,0.20415623
ligand_source_row_1149,6.301758,0.062288716,0.39265314,6.301758,0.062288716,0.39265314
ligand_source_row_115,7.3876953,0.64944375,0.054091137,7.3876953,0.64944375,0.054091137
ligand_source_row_1150,7.171875,0.24039958,0.37008667,7.171875,0.24039958,0.37008667
ligand_source_row_1151,5.3554688,0.008530411,0.1538086,5.3554688,0.008530411,0.1538086
ligand_source_row_1152,5.899414,0.29413846,0.21192805,5.899414,0.29413846,0.21192805
ligand_source_row_1153,5.9121094,0.027618587,0.40358987,5.9121094,0.027618587,0.40358987
ligand_source_row_1154,4.4833984,0.033193603,0.123874664,4.4833984,0.033193603,0.123874664
ligand_source_row_1155,4.4296875,0.0112519525,0.015675863,4.4296875,0.0112519525,0.015675863
ligand_source_row_1156,6.317383,0.64898664,0.5429115,6.317383,0.64898664,0.5429115
ligand_source_row_1157,6.4990234,0.12664893,0.0759519,6.4990234,0.12664893,0.0759519
ligand_source_row_1158,5.5146484,0.01560436,0.21350479,5.5146484,0.01560436,0.21350479
ligand_source_row_1159,6.3691406,0.15234822,1.3290863,6.3691406,0.15234822,1.3290863
ligand_source_row_116,6.696289,0.051371306,0.017714182,6.696289,0.051371306,0.017714182
ligand_source_row_1160,6.158203,0.3830752,0.5612132,6.158203,0.3830752,0.5612132
ligand_source_row_1161,5.1220703,0.030770445,1.2123045,5.1220703,0.030770445,1.2123045
ligand_source_row_1162,7.118164,0.6474128,0.31907526,7.118164,0.6474128,0.31907526
ligand_source_row_1163,6.0664062,0.6897062,0.42145792,6.0664062,0.6897062,0.42145792
ligand_source_row_1164,5.013672,0.023560243,0.5069224,5.013672,0.023560243,0.5069224
ligand_source_row_1165,6.020508,0.69112396,0.3337542,6.020508,0.69112396,0.3337542
ligand_source_row_1166,6.578125,0.44010708,0.21966553,6.578125,0.44010708,0.21966553
ligand_source_row_1167,5.9052734,0.23612325,0.56082535,5.9052734,0.23612325,0.56082535
ligand_source_row_117,6.2578125,0.03282767,0.32673135,6.2578125,0.03282767,0.32673135
ligand_source_row_118,6.147461,0.030976309,0.7873065,6.147461,0.030976309,0.7873065
ligand_source_row_119,5.9101562,0.018217243,0.55545044,5.9101562,0.018217243,0.55545044
ligand_source_row_12,6.9648438,0.052819677,0.047383625,6.9648438,0.052819677,0.047383625
ligand_source_row_120,7.9960938,0.6563188,0.09352621,7.9960938,0.6563188,0.09352621
ligand_source_row_121,7.9873047,0.9257581,0.22096126,7.9873047,0.9257581,0.22096126
ligand_source_row_122,6.786133,0.073140495,0.2194659,6.786133,0.073140495,0.2194659
ligand_source_row_123,7.0566406,0.0837962,0.24320984,7.0566406,0.0837962,0.24320984
ligand_source_row_124,6.883789,0.042101454,0.14745457,6.883789,0.042101454,0.14745457
ligand_source_row_125,6.2421875,0.0260109,0.29447427,6.2421875,0.0260109,0.29447427
ligand_source_row_126,6.458008,0.022811774,0.39445367,6.458008,0.022811774,0.39445367
ligand_source_row_127,7.1533203,0.22228642,0.41453424,7.1533203,0.22228642,0.41453424
ligand_source_row_128,7.260742,0.06594251,0.018527985,7.260742,0.06594251,0.018527985
ligand_source_row_129,7.1210938,0.2651614,0.09777832,7.1210938,0.2651614,0.09777832
ligand_source_row_13,7.3310547,0.48740903,0.050347645,7.3310547,0.48740903,0.050347645
ligand_source_row_130,6.776367,0.068927646,0.055494945,6.776367,0.068927646,0.055494945
