Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_100,5.984375,0.3493149,0.42615762,5.984375,0.3493149,0.42615762
ligand_source_row_1000,5.2695312,0.026733167,0.28305054,5.2695312,0.026733167,0.28305054
ligand_source_row_1004,6.208008,0.12374425,0.43819556,6.208008,0.12374425,0.43819556
ligand_source_row_1006,5.913086,0.11952467,0.41023126,5.913086,0.11952467,0.41023126
ligand_source_row_101,5.6816406,0.28299972,0.0930837,5.6816406,0.28299972,0.0930837
ligand_source_row_1017,5.364258,0.1570864,0.7926267,5.364258,0.1570864,0.7926267
ligand_source_row_1018,5.783203,0.34981975,0.19118755,5.783203,0.34981975,0.19118755
ligand_source_row_102,5.3242188,0.047867533,0.20840454,5.3242188,0.047867533,0.20840454
ligand_source_row_1023,5.966797,0.26871043,1.0737559,5.966797,0.26871043,1.0737559
ligand_source_row_1024,5.9414062,0.6099206,0.025543213,5.9414062,0.6099206,0.025543213
ligand_source_row_1025,5.446289,0.045721322,0.3980039,5.446289,0.045721322,0.3980039
ligand_source_row_1026,5.8935547,0.50394666,0.37725195,5.8935547,0.50394666,0.37725195
ligand_source_row_1029,5.879883,0.3334579,0.08028539,5.879883,0.3334579,0.08028539
ligand_source_row_103,6.4179688,0.4922591,0.17868042,6.4179688,0.4922591,0.17868042
ligand_source_row_1031,6.2216797,0.40252277,0.109378815,6.2216797,0.40252277,0.109378815
ligand_source_row_1032,5.584961,0.46623406,0.13932674,5.584961,0.46623406,0.13932674
ligand_source_row_1033,5.96875,0.4343173,0.03760783,5.96875,0.4343173,0.03760783
ligand_source_row_1034,5.260742,0.36886892,0.24509048,5.260742,0.36886892,0.24509048
ligand_source_row_1035,5.463867,0.33364877,0.27372614,5.463867,0.33364877,0.27372614
ligand_source_row_1036,5.7197266,0.5187671,0.11537043,5.7197266,0.5187671,0.11537043
ligand_source_row_1037,5.5654297,0.4588336,0.2738584,5.5654297,0.4588336,0.2738584
ligand_source_row_1038,5.71875,0.25829104,0.39761353,5.71875,0.25829104,0.39761353
ligand_source_row_1039,6.046875,0.30362624,0.6474101,6.046875,0.30362624,0.6474101
ligand_source_row_104,6.4902344,0.4017746,0.16167705,6.4902344,0.4017746,0.16167705
ligand_source_row_1040,5.104492,0.17772639,0.35798517,5.104492,0.17772639,0.35798517
ligand_source_row_1041,5.4726562,0.34929824,0.55966187,5.4726562,0.34929824,0.55966187
ligand_source_row_1042,5.135742,0.17920032,0.27842584,5.135742,0.17920032,0.27842584
ligand_source_row_1043,5.8095703,0.47455615,0.5504494,5.8095703,0.47455615,0.5504494
ligand_source_row_1044,4.995117,0.13240096,0.35481134,4.995117,0.13240096,0.35481134
ligand_source_row_1045,5.102539,0.2530759,0.4611651,5.102539,0.2530759,0.4611651
ligand_source_row_1046,4.757324,0.15364581,0.8189809,4.757324,0.15364581,0.8189809
ligand_source_row_105,6.0458984,0.17050156,0.18329239,6.0458984,0.17050156,0.18329239
ligand_source_row_1052,4.6064453,0.39223087,0.16828792,4.6064453,0.39223087,0.16828792
ligand_source_row_1053,6.4765625,0.21586446,0.15913899,6.4765625,0.21586446,0.15913899
ligand_source_row_1054,6.4414062,0.58337814,0.46196494,6.4414062,0.58337814,0.46196494
ligand_source_row_1055,5.4296875,0.1727725,0.34376016,5.4296875,0.1727725,0.34376016
ligand_source_row_1056,5.5117188,0.34194037,0.038533527,5.5117188,0.34194037,0.038533527
ligand_source_row_1057,5.506836,0.17326358,0.084171295,5.506836,0.17326358,0.084171295
ligand_source_row_1058,6.241211,0.54619396,0.51881284,6.241211,0.54619396,0.51881284
ligand_source_row_1059,5.133789,0.10116337,0.44828668,5.133789,0.10116337,0.44828668
ligand_source_row_106,6.3466797,0.35146564,0.4052976,6.3466797,0.35146564,0.4052976
ligand_source_row_1060,5.5966797,0.45807782,0.2156512,5.5966797,0.45807782,0.2156512
ligand_source_row_1062,5.2402344,0.38575733,0.28408304,5.2402344,0.38575733,0.28408304
ligand_source_row_1063,4.9682617,0.2861473,0.46235242,4.9682617,0.2861473,0.46235242
ligand_source_row_1064,5.689453,0.1432881,0.7611542,5.689453,0.1432881,0.7611542
ligand_source_row_1065,5.2490234,0.33325076,0.5004616,5.2490234,0.33325076,0.5004616
ligand_source_row_1066,5.40625,0.1170707,0.7598572,5.40625,0.1170707,0.7598572
ligand_source_row_1067,5.7382812,0.39307728,0.46903482,5.7382812,0.39307728,0.46903482
ligand_source_row_1068,5.2089844,0.27833953,0.34197488,5.2089844,0.27833953,0.34197488
ligand_source_row_1069,4.032715,0.011449364,0.26535383,4.032715,0.011449364,0.26535383
ligand_source_row_107,5.3515625,0.20901072,0.5305481,5.3515625,0.20901072,0.5305481
ligand_source_row_1070,5.9814453,0.3845743,1.29046,5.9814453,0.3845743,1.29046
ligand_source_row_1071,5.4072266,0.086583205,0.16959,5.4072266,0.086583205,0.16959
ligand_source_row_1072,5.591797,0.29292756,0.71828717,5.591797,0.29292756,0.71828717
ligand_source_row_108,5.823242,0.110309705,0.7228737,5.823242,0.110309705,0.7228737
ligand_source_row_1082,5.6289062,0.17853093,0.30854288,5.6289062,0.17853093,0.30854288
ligand_source_row_1085,5.5859375,0.019552745,0.12714641,5.5859375,0.019552745,0.12714641
ligand_source_row_109,7.506836,0.55182326,0.08544286,7.506836,0.55182326,0.08544286
ligand_source_row_1091,5.6992188,0.12987384,0.28866577,5.6992188,0.12987384,0.28866577
ligand_source_row_1092,6.328125,0.20237838,0.45406088,6.328125,0.20237838,0.45406088
ligand_source_row_1093,4.7617188,0.24388608,0.226003,4.7617188,0.24388608,0.226003
ligand_source_row_1094,5.9433594,0.23118162,0.26687112,5.9433594,0.23118162,0.26687112
ligand_source_row_1095,5.6572266,0.29640153,0.94052505,5.6572266,0.29640153,0.94052505
ligand_source_row_1096,4.9208984,0.14949587,0.1914304,4.9208984,0.14949587,0.1914304
ligand_source_row_1097,5.7265625,0.1460714,0.51917523,5.7265625,0.1460714,0.51917523
ligand_source_row_1099,4.9902344,0.12379359,0.0660553,4.9902344,0.12379359,0.0660553
ligand_source_row_11,5.3867188,0.122553565,0.16134644,5.3867188,0.122553565,0.16134644
ligand_source_row_110,6.1308594,0.29708442,0.07170105,6.1308594,0.29708442,0.07170105
ligand_source_row_1100,5.8945312,0.22500674,0.21998088,5.8945312,0.22500674,0.21998088
ligand_source_row_1101,7.1367188,0.38779294,0.13879395,7.1367188,0.38779294,0.13879395
ligand_source_row_1102,4.830078,0.06995386,0.47618103,4.830078,0.06995386,0.47618103
ligand_source_row_1103,5.4018555,0.21800236,1.1294514,5.4018555,0.21800236,1.1294514
ligand_source_row_1104,6.4716797,0.6154844,0.103570305,6.4716797,0.6154844,0.103570305
ligand_source_row_1105,5.408203,0.058562428,2.4353588,5.408203,0.058562428,2.4353588
ligand_source_row_1106,5.7910156,0.09708476,0.29891458,5.7910156,0.09708476,0.29891458
ligand_source_row_1107,5.2333984,0.08001937,0.36762872,5.2333984,0.08001937,0.36762872
ligand_source_row_1108,6.069336,0.12395482,0.051222485,6.069336,0.12395482,0.051222485
ligand_source_row_1109,5.836914,0.143625,0.27215958,5.836914,0.143625,0.27215958
ligand_source_row_111,6.2695312,0.24729249,0.43974814,6.2695312,0.24729249,0.43974814
ligand_source_row_1110,4.395508,0.060328886,0.068312325,4.395508,0.060328886,0.068312325
ligand_source_row_1111,6.001953,0.29986465,0.033554077,6.001953,0.29986465,0.033554077
ligand_source_row_1112,5.629883,0.10844134,0.22257869,5.629883,0.10844134,0.22257869
ligand_source_row_1114,5.2373047,0.21276762,0.40768814,5.2373047,0.21276762,0.40768814
ligand_source_row_1115,5.5097656,0.090891734,0.2692515,5.5097656,0.090891734,0.2692515
ligand_source_row_1116,4.897461,0.013612281,0.8076617,4.897461,0.013612281,0.8076617
ligand_source_row_1117,5.8095703,0.17461021,0.7630043,5.8095703,0.17461021,0.7630043
ligand_source_row_1118,4.5927734,0.058976825,0.9044736,4.5927734,0.058976825,0.9044736
ligand_source_row_1119,5.4121094,0.077208176,0.27764383,5.4121094,0.077208176,0.27764383
ligand_source_row_112,5.3740234,0.07794389,0.6260211,5.3740234,0.07794389,0.6260211
ligand_source_row_1120,5.9648438,0.0911081,0.2916158,5.9648438,0.0911081,0.2916158
ligand_source_row_1121,6.0185547,0.31652844,0.03964615,6.0185547,0.31652844,0.03964615
ligand_source_row_1122,5.5273438,0.06990359,1.1298319,5.5273438,0.06990359,1.1298319
ligand_source_row_1123,5.557617,0.0786804,0.31573868,5.557617,0.0786804,0.31573868
ligand_source_row_1124,3.961914,0.05611661,0.16196315,3.961914,0.05611661,0.16196315
ligand_source_row_1125,5.6152344,0.1815789,0.90316266,5.6152344,0.1815789,0.90316266
ligand_source_row_1126,5.897461,0.32725114,0.3236122,5.897461,0.32725114,0.3236122
ligand_source_row_1127,6.223633,0.29378068,0.172774,6.223633,0.29378068,0.172774
ligand_source_row_1128,5.126953,0.099771455,0.15101624,5.126953,0.099771455,0.15101624
ligand_source_row_1129,6.319336,0.18768862,0.16765721,6.319336,0.18768862,0.16765721
ligand_source_row_113,5.758789,0.29789343,1.0611407,5.758789,0.29789343,1.0611407
ligand_source_row_1130,6.4023438,0.30509716,0.1610616,6.4023438,0.30509716,0.1610616
ligand_source_row_1131,5.942383,0.22255105,0.19683202,5.942383,0.22255105,0.19683202
ligand_source_row_1132,6.6123047,0.27315202,0.32307306,6.6123047,0.27315202,0.32307306
ligand_source_row_1134,6.3183594,0.35107148,0.045578003,6.3183594,0.35107148,0.045578003
ligand_source_row_1135,4.9589844,0.1858374,0.27614847,4.9589844,0.1858374,0.27614847
ligand_source_row_1136,4.7192383,0.13168855,0.2918304,4.7192383,0.13168855,0.2918304
ligand_source_row_1137,5.810547,0.22718792,0.73646545,5.810547,0.22718792,0.73646545
ligand_source_row_1138,5.5341797,0.21481387,0.2937355,5.5341797,0.21481387,0.2937355
ligand_source_row_1139,5.4814453,0.24582237,0.9447365,5.4814453,0.24582237,0.9447365
ligand_source_row_114,5.977539,0.15001193,0.20071793,5.977539,0.15001193,0.20071793
ligand_source_row_1140,5.6904297,0.086918846,0.07874934,5.6904297,0.086918846,0.07874934
