Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_10,7.171875,0.8942238,0.03937785,7.171875,0.8942238,0.03937785
ligand_source_row_100,7.989258,0.70719653,0.20284398,7.989258,0.70719653,0.20284398
ligand_source_row_1000,7.017578,0.4764392,0.17152405,7.017578,0.4764392,0.17152405
ligand_source_row_1001,7.428711,0.1824085,0.6482887,7.428711,0.1824085,0.6482887
ligand_source_row_1002,7.6992188,0.4624883,0.18610637,7.6992188,0.4624883,0.18610637
ligand_source_row_1003,7.663086,0.5406149,0.3591957,7.663086,0.5406149,0.3591957
ligand_source_row_1004,7.348633,0.48984256,0.18592708,7.348633,0.48984256,0.18592708
ligand_source_row_1005,7.3154297,0.35621208,0.5503578,7.3154297,0.35621208,0.5503578
ligand_source_row_1006,7.6171875,0.4425779,0.35742188,7.6171875,0.4425779,0.35742188
ligand_source_row_1007,7.4697266,0.36430782,0.539046,7.4697266,0.36430782,0.539046
ligand_source_row_1008,7.203125,0.43331337,0.30138144,7.203125,0.43331337,0.30138144
ligand_source_row_1009,7.107422,0.4443801,0.113367714,7.107422,0.4443801,0.113367714
ligand_source_row_101,8.063477,0.48648244,0.014286041,8.063477,0.48648244,0.014286041
ligand_source_row_1010,7.048828,0.33335763,0.16679382,7.048828,0.33335763,0.16679382
ligand_source_row_1011,6.6123047,0.15871808,0.21845882,6.6123047,0.15871808,0.21845882
ligand_source_row_1012,7.416992,0.7123401,0.012556712,7.416992,0.7123401,0.012556712
ligand_source_row_1013,7.4023438,0.27016217,0.0132751465,7.4023438,0.27016217,0.0132751465
ligand_source_row_1014,7.8291016,0.73054904,0.08085505,7.8291016,0.73054904,0.08085505
ligand_source_row_1015,8.018555,0.7279296,0.061618805,8.018555,0.7279296,0.061618805
ligand_source_row_1016,8.033203,0.71265703,0.019587198,8.033203,0.71265703,0.019587198
