Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_100,4.455078,0.5418257,0.3683726,4.1381836,0.84277165,0.46573225
ligand_source_row_1000,6.623047,0.4434146,0.47660828,6.623047,0.4434146,0.47660828
ligand_source_row_1001,5.879883,0.14861876,0.20133846,5.288086,0.23399225,0.046115875
ligand_source_row_1002,5.9228516,0.28840446,0.048689526,5.142578,0.56515664,0.036402386
ligand_source_row_1003,5.4960938,0.32927972,0.28903198,5.4960938,0.32927972,0.28903198
ligand_source_row_1004,6.4882812,0.44862536,0.026133219,5.96875,0.60253364,0.50756836
ligand_source_row_1005,5.5341797,0.31789315,0.30649185,5.484375,0.64073074,0.38649496
ligand_source_row_1006,6.2060547,0.7670423,0.43536758,6.051758,0.78400177,0.54775363
ligand_source_row_1007,6.1416016,0.5731973,0.15142186,6.0908203,0.57435393,0.31953302
ligand_source_row_1008,6.7021484,0.74109733,0.11009089,6.7021484,0.74109733,0.11009089
ligand_source_row_1009,5.7402344,0.6464048,0.5752004,5.7402344,0.6464048,0.5752004
ligand_source_row_101,4.569824,0.56968105,0.8158986,4.1694336,0.64473695,0.3298222
ligand_source_row_1010,6.9179688,0.8293072,0.2894694,6.9179688,0.8293072,0.2894694
ligand_source_row_1011,6.2998047,0.43886673,0.18083064,6.069336,0.5252131,0.19238663
ligand_source_row_1012,6.5966797,0.6668836,0.14136124,6.491211,0.73842585,0.27416357
ligand_source_row_1013,6.5810547,0.4310183,0.49132666,5.8945312,0.7653936,0.33810425
ligand_source_row_1014,6.5029297,0.62486756,0.14905167,6.2978516,0.83967316,0.33608374
ligand_source_row_1015,6.4658203,0.79856366,0.17896907,6.4658203,0.79856366,0.17896907
ligand_source_row_1016,6.3310547,0.5900658,0.26626968,6.3310547,0.5900658,0.26626968
ligand_source_row_1017,6.3427734,0.8063182,0.027469635,6.3427734,0.8063182,0.027469635
ligand_source_row_1018,5.8896484,0.5138867,0.1595192,5.8896484,0.5138867,0.1595192
ligand_source_row_1019,6.239258,0.5279095,0.75458145,5.5117188,0.791236,0.04957072
ligand_source_row_102,3.7988281,0.4093329,0.061080933,3.5019531,0.59233665,0.12031809
ligand_source_row_1023,4.798828,0.6028663,0.01701355,4.4941406,0.6379007,0.09654236
ligand_source_row_1024,6.1660156,0.56695306,0.098108925,6.1660156,0.56695306,0.098108925
ligand_source_row_1025,6.078125,0.854887,0.76412964,6.078125,0.854887,0.76412964
ligand_source_row_1026,6.088867,0.6975849,2.052077,6.088867,0.6975849,2.052077
ligand_source_row_1027,6.314453,0.33230042,0.4537913,6.0029297,0.77517706,1.0482317
ligand_source_row_1028,6.4121094,0.6534066,1.3039194,6.4121094,0.6534066,1.3039194
ligand_source_row_1029,5.416992,0.4957249,0.5447731,4.9785156,0.6205358,0.5382538
ligand_source_row_103,4.5424805,0.54107654,0.21745396,4.5424805,0.54107654,0.21745396
ligand_source_row_1030,5.4804688,0.54635257,0.11803182,5.0839844,0.80373573,0.7937673
ligand_source_row_1031,6.9501953,0.7515767,0.3559405,6.9501953,0.7515767,0.3559405
ligand_source_row_1032,6.5585938,0.5640135,0.79230756,6.5585938,0.5640135,0.79230756
ligand_source_row_1033,6.4921875,0.2958706,0.79282635,6.4921875,0.2958706,0.79282635
ligand_source_row_1034,7.0322266,0.6233117,0.18571346,7.0322266,0.6233117,0.18571346
ligand_source_row_1035,6.5195312,0.31931823,0.26600137,5.6816406,0.42795825,0.14699809
ligand_source_row_1036,5.583008,0.48427236,0.13602066,5.3896484,0.5425082,0.4488462
