Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_10,6.9101562,0.16278441,0.031707764,6.9101562,0.16278441,0.031707764
ligand_source_row_100,5.463867,0.021567933,0.5813637,5.463867,0.021567933,0.5813637
ligand_source_row_101,6.2304688,0.027731389,0.07715861,6.2304688,0.027731389,0.07715861
ligand_source_row_102,5.411133,0.018885419,0.2251625,5.411133,0.018885419,0.2251625
ligand_source_row_103,5.296875,0.2893325,0.062795006,5.296875,0.2893325,0.062795006
ligand_source_row_104,5.4121094,0.2411101,0.37407938,5.4121094,0.2411101,0.37407938
ligand_source_row_105,6.663086,0.68119,0.37162653,6.663086,0.68119,0.37162653
ligand_source_row_106,5.7685547,0.63390183,0.09359106,5.7685547,0.63390183,0.09359106
ligand_source_row_107,5.9570312,0.6014838,0.04352824,5.9570312,0.6014838,0.04352824
ligand_source_row_109,5.3291016,0.004011687,0.44557062,5.3291016,0.004011687,0.44557062
ligand_source_row_11,6.658203,0.08787991,0.3388926,6.658203,0.08787991,0.3388926
ligand_source_row_12,6.9648438,0.052819677,0.047383625,6.9648438,0.052819677,0.047383625
ligand_source_row_120,6.319336,0.052559588,0.28800836,6.319336,0.052559588,0.28800836
ligand_source_row_121,6.958008,0.09084792,0.36419043,6.958008,0.09084792,0.36419043
ligand_source_row_122,6.786133,0.073140495,0.2194659,6.786133,0.073140495,0.2194659
ligand_source_row_123,5.7304688,0.014686605,1.0312601,5.7304688,0.014686605,1.0312601
ligand_source_row_124,4.9433594,0.014172894,1.7983423,4.9433594,0.014172894,1.7983423
ligand_source_row_125,5.6123047,0.015921095,0.35499445,5.6123047,0.015921095,0.35499445
ligand_source_row_126,6.458008,0.022811774,0.39445367,6.458008,0.022811774,0.39445367
ligand_source_row_127,7.1533203,0.22228642,0.41453424,7.1533203,0.22228642,0.41453424
ligand_source_row_128,5.9189453,0.013593998,0.44099298,5.9189453,0.013593998,0.44099298
ligand_source_row_129,7.1210938,0.2651614,0.09777832,7.1210938,0.2651614,0.09777832
ligand_source_row_13,5.2998047,0.0063740397,0.032779694,5.2998047,0.0063740397,0.032779694
ligand_source_row_130,6.776367,0.068927646,0.055494945,6.776367,0.068927646,0.055494945
