Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_10,4.213867,0.6272939,1.0005455,4.213867,0.6272939,1.0005455
ligand_source_row_100,3.265625,0.14203687,0.0454127,3.265625,0.14203687,0.0454127
ligand_source_row_101,3.9667969,0.6702325,0.20680237,3.9667969,0.6702325,0.20680237
ligand_source_row_102,4.142578,0.7488769,0.35246277,4.142578,0.7488769,0.35246277
ligand_source_row_11,4.5410156,0.8365998,0.11239115,4.5410156,0.8365998,0.11239115
ligand_source_row_12,4.409668,0.7802292,0.6380879,4.409668,0.7802292,0.6380879
ligand_source_row_13,4.1591797,0.7141972,0.44240952,4.1591797,0.7141972,0.44240952
ligand_source_row_14,3.869629,0.26500052,0.7419011,3.869629,0.26500052,0.7419011
ligand_source_row_17,5.348633,0.080052495,0.16685359,5.348633,0.080052495,0.16685359
ligand_source_row_18,5.2265625,0.31625408,0.05842082,5.2265625,0.31625408,0.05842082
ligand_source_row_19,5.4404297,0.31224823,0.35155615,5.4404297,0.31224823,0.35155615
ligand_source_row_2,5.2978516,0.45642388,0.23338191,5.2978516,0.45642388,0.23338191
ligand_source_row_20,4.8466797,0.14992753,0.42152277,4.8466797,0.14992753,0.42152277
ligand_source_row_21,4.269043,0.36693615,0.09127903,4.269043,0.36693615,0.09127903
ligand_source_row_24,5.798828,0.43118292,0.32333884,5.798828,0.43118292,0.32333884
ligand_source_row_3,4.091797,0.6186203,0.49847922,4.091797,0.6186203,0.49847922
ligand_source_row_31,4.8203125,0.068102956,0.4292501,4.8203125,0.068102956,0.4292501
ligand_source_row_33,5.3027344,0.32117182,0.31380716,5.3027344,0.32117182,0.31380716
ligand_source_row_34,5.0317383,0.05401117,0.554485,5.0317383,0.05401117,0.554485
ligand_source_row_35,4.580078,0.08934513,0.2566986,4.580078,0.08934513,0.2566986
ligand_source_row_36,4.399414,0.2780467,0.45770645,4.399414,0.2780467,0.45770645
ligand_source_row_38,5.0273438,0.3912023,0.42922974,5.0273438,0.3912023,0.42922974
ligand_source_row_4,5.4716797,0.77770245,0.3577919,5.4716797,0.77770245,0.3577919
ligand_source_row_43,5.8242188,0.7091429,0.02279663,5.8242188,0.7091429,0.02279663
ligand_source_row_45,6.272461,0.84004,0.2246844,6.272461,0.84004,0.2246844
ligand_source_row_46,5.3427734,0.6579391,0.13799413,5.3427734,0.6579391,0.13799413
ligand_source_row_47,6.1123047,0.18409482,0.14987564,6.1123047,0.18409482,0.14987564
ligand_source_row_48,6.354492,0.36074647,0.7527911,6.354492,0.36074647,0.7527911
ligand_source_row_49,4.626465,0.12035375,0.33262983,4.626465,0.12035375,0.33262983
ligand_source_row_5,4.842285,0.7947626,0.47183576,4.842285,0.7947626,0.47183576
ligand_source_row_52,6.5029297,0.1352134,0.16631444,6.5029297,0.1352134,0.16631444
ligand_source_row_53,6.234375,0.13044453,0.04699707,6.234375,0.13044453,0.04699707
ligand_source_row_54,5.7998047,0.26945302,0.102949776,5.7998047,0.26945302,0.102949776
ligand_source_row_55,5.963867,0.3195812,0.4195188,5.963867,0.3195812,0.4195188
ligand_source_row_56,5.4902344,0.17874987,0.23638408,5.4902344,0.17874987,0.23638408
ligand_source_row_57,5.506836,0.21576533,0.5961444,5.506836,0.21576533,0.5961444
ligand_source_row_58,4.578125,0.12404791,0.12531535,4.578125,0.12404791,0.12531535
ligand_source_row_59,5.2070312,0.2654288,0.04220581,5.2070312,0.2654288,0.04220581
ligand_source_row_6,4.7333984,0.81986874,0.26023737,4.7333984,0.81986874,0.26023737
ligand_source_row_60,5.4570312,0.12983793,0.4179789,5.4570312,0.12983793,0.4179789
ligand_source_row_61,5.6992188,0.09748733,0.2246399,5.6992188,0.09748733,0.2246399
ligand_source_row_62,5.578125,0.22850917,0.26769003,5.578125,0.22850917,0.26769003
ligand_source_row_63,4.6328125,0.06998011,0.22301228,4.6328125,0.06998011,0.22301228
ligand_source_row_64,4.7460938,0.058857948,0.5735881,4.7460938,0.058857948,0.5735881
ligand_source_row_65,5.2871094,0.08383319,0.32403055,5.2871094,0.08383319,0.32403055
ligand_source_row_66,4.826172,0.12283306,0.13389587,4.826172,0.12283306,0.13389587
ligand_source_row_67,4.770508,0.065763704,0.06679662,4.770508,0.065763704,0.06679662
ligand_source_row_68,4.8496094,0.110914424,0.33790588,4.8496094,0.110914424,0.33790588
ligand_source_row_69,5.7441406,0.16934578,0.27578226,5.7441406,0.16934578,0.27578226
ligand_source_row_7,4.0625,0.75092894,0.24592082,4.0625,0.75092894,0.24592082
ligand_source_row_70,5.2402344,0.3022376,0.17914326,5.2402344,0.3022376,0.17914326
ligand_source_row_71,5.4189453,0.20671126,0.14293797,5.4189453,0.20671126,0.14293797
ligand_source_row_72,5.2060547,0.18771495,0.5775592,5.2060547,0.18771495,0.5775592
ligand_source_row_73,5.5820312,0.1668219,0.16877238,5.5820312,0.1668219,0.16877238
ligand_source_row_74,4.774414,0.1488283,0.27457047,4.774414,0.1488283,0.27457047
ligand_source_row_75,5.5527344,0.24406636,0.22938538,5.5527344,0.24406636,0.22938538
ligand_source_row_79,5.076172,0.06470278,1.2470144,5.076172,0.06470278,1.2470144
ligand_source_row_8,4.305176,0.85993946,0.28042188,4.305176,0.85993946,0.28042188
ligand_source_row_81,5.198242,0.064677626,0.1311887,5.198242,0.064677626,0.1311887
ligand_source_row_82,5.0898438,0.0102335885,0.35757446,5.0898438,0.0102335885,0.35757446
ligand_source_row_83,5.8632812,0.223207,0.3149821,5.8632812,0.223207,0.3149821
ligand_source_row_89,5.4433594,0.033296417,0.118504845,5.4433594,0.033296417,0.118504845
ligand_source_row_9,4.9384766,0.9185665,0.25792822,4.9384766,0.9185665,0.25792822
ligand_source_row_90,6.536133,0.3851198,0.033471424,6.536133,0.3851198,0.033471424
ligand_source_row_91,4.8759766,0.27474314,0.039544422,4.8759766,0.27474314,0.039544422
ligand_source_row_92,5.8222656,0.78370756,0.0871226,5.8222656,0.78370756,0.0871226
ligand_source_row_93,6.8183594,0.37822604,0.41608176,6.8183594,0.37822604,0.41608176
ligand_source_row_95,5.4101562,0.6242506,0.15305583,5.4101562,0.6242506,0.15305583
ligand_source_row_96,5.9921875,0.37319177,0.35720825,5.9921875,0.37319177,0.35720825
ligand_source_row_97,4.551758,0.37482113,0.13468806,4.551758,0.37482113,0.13468806
ligand_source_row_98,5.819336,0.19324425,0.3771197,5.819336,0.19324425,0.3771197
ligand_source_row_99,4.0112305,0.6713157,0.3079691,4.0112305,0.6713157,0.3079691
