Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_10,6.9091797,0.30114037,0.07193375,6.9091797,0.30114037,0.07193375
ligand_source_row_100,6.0566406,0.12184962,0.026545206,6.0566406,0.12184962,0.026545206
ligand_source_row_101,6.208008,0.34096417,0.109246574,6.208008,0.34096417,0.109246574
ligand_source_row_104,6.995117,0.28792936,0.31403986,6.995117,0.28792936,0.31403986
ligand_source_row_105,5.26709,0.056136865,1.207996,5.26709,0.056136865,1.207996
ligand_source_row_106,6.166992,0.17668211,0.585982,6.166992,0.17668211,0.585982
ligand_source_row_107,4.9882812,0.061637517,2.237091,4.9882812,0.061637517,2.237091
ligand_source_row_108,5.7509766,0.107998915,0.2389056,5.7509766,0.107998915,0.2389056
ligand_source_row_109,6.2929688,0.3449602,0.19906616,6.2929688,0.3449602,0.19906616
ligand_source_row_11,6.6728516,0.2507947,0.5533282,6.6728516,0.2507947,0.5533282
ligand_source_row_110,6.640625,0.20295158,0.026540121,6.640625,0.20295158,0.026540121
ligand_source_row_111,7.6845703,0.5495662,0.0578448,7.6845703,0.5495662,0.0578448
ligand_source_row_112,6.848633,0.6909268,0.44311905,6.848633,0.6909268,0.44311905
ligand_source_row_113,6.794922,0.63436884,0.08468119,6.794922,0.63436884,0.08468119
ligand_source_row_114,6.6132812,0.10319468,0.6251933,6.6132812,0.10319468,0.6251933
ligand_source_row_115,5.923828,0.12393859,1.0920664,5.923828,0.12393859,1.0920664
ligand_source_row_116,6.0166016,0.0809852,0.6593259,6.0166016,0.0809852,0.6593259
ligand_source_row_117,6.5302734,0.1124774,0.15434138,6.5302734,0.1124774,0.15434138
ligand_source_row_118,5.109375,0.005613047,0.39157104,5.109375,0.005613047,0.39157104
ligand_source_row_119,5.5810547,0.043495484,0.767704,5.5810547,0.043495484,0.767704
ligand_source_row_12,7.4335938,0.44924733,0.3097941,7.4335938,0.44924733,0.3097941
ligand_source_row_120,5.0180664,0.053218365,2.6321852,5.0180664,0.053218365,2.6321852
ligand_source_row_121,6.801758,0.10138433,0.12568538,6.801758,0.10138433,0.12568538
