pValue,smiles,data,neg_log10_affinity_M_1,affinity_uM_1,neg_log10_affinity_M_2,affinity_uM_2,neg_log10_affinity_M_3,affinity_uM_3
4.43,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,CYP3a4_ic50,6.4943318367004395,0.3203820406765207,6.4943318367004395,0.3203820406765207,6.4943318367004395,0.3203820406765207
5.22,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,CYP3a4_ic50,4.9413580894470215,11.445688193129097,4.9413580894470215,11.445688193129097,4.9413580894470215,11.445688193129097
5.1,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1,CYP3a4_ic50,6.179378986358643,0.6616388736397932,6.179378986358643,0.6616388736397932,6.179378986358643,0.6616388736397932
4.41,CCn1c2ccccc2c2cc(NC(=O)CN3CCN(C[C@@H](O)COc4ccc5sc(C)nc5c4)CC3)ccc21,CYP3a4_ic50,7.030783176422119,0.09315728515475658,7.030783176422119,0.09315728515475658,7.030783176422119,0.09315728515475658
4.4,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,CYP3a4_ic50,7.883409023284912,0.013079495016150446,7.883409023284912,0.013079495016150446,7.883409023284912,0.013079495016150446
4.64,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,CYP3a4_ic50,6.576405048370361,0.26521308761575524,6.576405048370361,0.26521308761575524,6.576405048370361,0.26521308761575524
4.09,CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,CYP3a4_ic50,7.257533073425293,0.05526713180024032,7.257533073425293,0.05526713180024032,7.257533073425293,0.05526713180024032
6.36,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP3a4_ic50,8.00111198425293,0.009974428367620195,8.00111198425293,0.009974428367620195,8.00111198425293,0.009974428367620195
6.82,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CYP3a4_ic50,7.068451404571533,0.08541784204589793,7.068451404571533,0.08541784204589793,7.068451404571533,0.08541784204589793
5.28,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccn3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP3a4_ic50,7.932430267333984,0.01168341309988059,7.932430267333984,0.01168341309988059,7.932430267333984,0.01168341309988059
