pValue,smiles,data,neg_log10_affinity_M_1,affinity_uM_1,neg_log10_affinity_M_2,affinity_uM_2,neg_log10_affinity_M_3,affinity_uM_3
8.6,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50,6.629673480987549,0.23459919578956673,6.629673480987549,0.23459919578956673,6.629673480987549,0.23459919578956673
8.12,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50,6.500471115112305,0.31588491362144366,6.500471115112305,0.31588491362144366,6.500471115112305,0.31588491362144366
8.51,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50,8.056220054626465,0.008785772337747603,8.056220054626465,0.008785772337747603,8.056220054626465,0.008785772337747603
8.41,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50,6.474795341491699,0.3351233266862483,6.474795341491699,0.3351233266862483,6.474795341491699,0.3351233266862483
8.13,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50,6.595698833465576,0.2536887254483543,6.595698833465576,0.2536887254483543,6.595698833465576,0.2536887254483543
6.31,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50,6.2742838859558105,0.5317605488821483,6.2742838859558105,0.5317605488821483,6.2742838859558105,0.5317605488821483
9.0,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,ERalpha_ic50,5.677297592163086,2.1023373587697596,5.677297592163086,2.1023373587697596,5.677297592163086,2.1023373587697596
7.46,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50,6.343391418457031,0.4535326750474328,6.343391418457031,0.4535326750474328,6.343391418457031,0.4535326750474328
8.37,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,ERalpha_ic50,5.7740478515625,1.682488670395114,5.7740478515625,1.682488670395114,5.7740478515625,1.682488670395114
7.04,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,ERalpha_ic50,5.482815265655518,3.2899154311382026,5.482815265655518,3.2899154311382026,5.482815265655518,3.2899154311382026
