LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
1,1,-6.729,-10.073,70.757,3.344,70.757
4,1,85.232,122.602,-0.263,-37.37,-0.263
5,1,79.181,113.898,0.772,-34.717,0.772
6,1,43.99,61.991,32.051,-18.001,32.051
6,2,-2.082,-2.873,-1.266,0.791,-1.266
7,1,201.165,359.926,18.627,-158.761,18.627
7,2,158.233,213.735,-0.927,-55.502,-0.927
9,1,-7.176,-8.015,-0.563,0.839,-0.563
10,1,-8.234,-10.16,8.817,1.926,8.817
10,2,-5.752,-7.602,4.502,1.85,4.502
10,3,-0.696,-0.778,-0.535,0.081,-0.535
11,1,266.747,360.311,-0.35,-93.564,-0.35
12,1,-5.861,-6.546,7.959,0.685,7.959
12,2,-6.879,-7.683,-0.527,0.804,-0.527
14,1,-10.472,-11.696,1.028,1.224,1.028
15,1,-12.587,-14.058,147.648,1.472,147.648
15,2,1.975,2.783,6.043,-0.808,6.043
15,3,-4.715,-6.506,-0.162,1.792,-0.162
15,4,13.789,18.625,6.188,-4.837,6.188
16,1,206.41,284.843,21.332,-78.434,21.332
17,1,38.654,127.914,1773.226,-89.259,1773.226
17,2,31.961,46.908,-1.094,-14.947,-1.094
21,1,64.113,92.223,5.41,-28.11,5.41
21,2,4.782,5.9,8.72,-1.118,8.72
25,1,4.868,9.421,-0.881,-4.553,-0.881
28,1,-9.322,-10.957,1.217,1.635,1.217
29,1,-11.937,-13.333,88.695,1.396,88.695
29,2,57.794,71.308,-1.215,-13.514,-1.215
33,1,80.179,122.364,8.259,-42.185,8.259
33,2,-2.609,-4.134,0.371,1.525,0.371
33,3,56.482,82.897,-1.09,-26.415,-1.09
34,1,-10.607,-11.227,0.0,0.62,0.0
36,1,7.283,10.05,-1.356,-2.767,-1.356
38,1,3.388,5.468,72.662,-2.08,72.662
38,2,31.574,41.726,-0.264,-10.152,-0.264
39,1,13.611,17.191,11.596,-3.581,11.596
39,2,-3.648,-4.714,-0.063,1.066,-0.063
40,1,136.611,200.501,54.387,-63.89,54.387
42,1,-1.806,-3.601,-0.716,1.795,-0.716
43,1,-0.61,-0.61,0.0,0.0,0.0
43,2,46.142,58.281,59.521,-12.139,59.521
43,3,221.81,273.678,31.438,-51.868,31.438
44,1,175.855,247.819,0.012,-71.963,0.012
45,1,141.083,190.569,7.966,-49.486,7.966
48,1,52.983,74.664,0.968,-21.682,0.968
52,1,-10.077,-10.961,10.04,0.884,10.04
52,2,53.317,65.784,0.658,-12.468,0.658
