LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
1,1,-3.516,-5.673,-2.398,2.158,-2.398
1,2,43.907,63.158,3.732,-19.251,3.732
3,1,-7.704,-8.605,-0.317,0.901,-0.317
4,1,-3.919,-7.355,-0.491,3.436,-0.491
4,2,-6.588,-11.016,-1.782,4.429,-1.782
4,3,-4.164,-6.112,2.125,1.948,2.125
6,1,71.437,142.432,6.994,-70.995,6.994
6,2,-0.183,-0.296,1.011,0.112,1.011
6,3,-5.605,-8.227,-1.315,2.622,-1.315
7,1,35.724,50.342,-0.748,-14.619,-0.748
9,1,82.746,143.213,0.555,-60.467,0.555
9,2,22.152,33.159,0.25,-11.007,0.25
10,1,40.935,60.08,0.124,-19.145,0.124
11,1,-2.487,-3.142,-1.272,0.654,-1.272
11,2,-5.948,-8.382,0.868,2.434,0.868
11,3,-1.28,-1.878,-1.524,0.598,-1.524
11,4,19.616,27.07,0.347,-7.454,0.347
13,1,-8.483,-9.227,-0.497,0.744,-0.497
13,2,-9.407,-9.957,0.0,0.55,0.0
14,1,0.132,0.148,-0.576,-0.015,-0.576
15,1,2.916,4.024,1.843,-1.108,1.843
15,2,-9.624,-10.187,0.0,0.563,0.0
15,3,40.979,60.144,-1.112,-19.165,-1.112
17,1,-9.36,-9.907,0.0,0.547,0.0
18,1,96.453,175.393,-0.39,-78.941,-0.39
18,2,17.574,32.471,-0.788,-14.897,-0.788
18,3,-9.364,-9.911,0.0,0.547,0.0
19,1,83.481,151.806,-2.057,-68.325,-2.057
19,2,9.138,15.013,-0.479,-5.876,-0.479
19,3,99.049,136.687,-0.674,-37.638,-0.674
20,1,32.341,46.52,-0.664,-14.18,-0.664
20,2,-1.688,-2.231,-0.033,0.543,-0.033
22,1,88.142,160.281,-0.522,-72.139,-0.522
26,1,-3.261,-4.5,2.915,1.239,2.915
30,1,20.285,30.365,-0.577,-10.08,-0.577
31,1,125.547,202.612,-0.93,-77.065,-0.93
31,2,17.374,28.039,-0.256,-10.665,-0.256
31,3,9.697,13.382,0.027,-3.685,0.027
34,1,1.56,2.244,0.147,-0.684,0.147
35,1,104.503,168.65,-0.967,-64.147,-0.967
36,1,63.925,119.981,3.135,-56.056,3.135
