LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
2,1,301.055,406.653,6.979,-105.598,6.979
2,2,96.019,152.151,1.736,-56.133,1.736
4,1,42.735,50.229,0.196,-7.495,0.196
5,1,328.671,424.741,1.819,-96.07,1.819
5,2,15.705,24.428,0.923,-8.722,0.923
5,3,124.761,161.229,7.191,-36.468,7.191
5,4,-5.272,-7.43,0.351,2.158,0.351
6,1,55.492,73.334,0.444,-17.842,0.444
8,1,-6.957,-7.974,-0.876,1.017,-0.876
9,1,-2.463,-2.463,0.0,0.0,0.0
10,1,-5.132,-5.733,-0.237,0.6,-0.237
10,2,153.053,260.422,3.307,-107.37,3.307
14,1,152.848,269.01,3.313,-116.162,3.313
16,1,5.527,8.112,4.725,-2.585,4.725
17,1,89.595,110.546,-0.67,-20.951,-0.67
19,1,132.592,163.598,0.414,-31.005,0.414
19,2,-7.026,-10.723,1.089,3.697,1.089
21,1,56.068,79.013,0.975,-22.944,0.975
21,2,-8.157,-10.065,-0.773,1.907,-0.773
21,3,370.726,663.307,3.866,-292.581,3.866
21,4,-8.24,-10.889,0.411,2.649,0.411
22,1,-6.522,-8.809,0.272,2.288,0.272
22,2,149.541,210.736,-0.591,-61.195,-0.591
22,3,58.674,72.395,1.137,-13.72,1.137
23,1,11.209,15.14,-0.149,-3.932,-0.149
26,1,-3.356,-4.827,0.459,1.471,0.459
27,1,0.0,0.0,99.701,0.0,99.701
27,2,69.649,100.187,-0.007,-30.538,-0.007
29,1,67.878,117.48,4.648,-49.602,4.648
30,1,62.501,80.77,0.246,-18.269,0.246
31,1,127.71,165.04,1.025,-37.33,1.025
31,2,308.607,470.978,0.957,-162.371,0.957
33,1,48.856,74.56,-0.782,-25.705,-0.782
35,1,70.986,87.586,-0.552,-16.599,-0.552
35,2,-10.502,-14.186,-0.487,3.684,-0.487
36,1,55.841,95.014,22.061,-39.173,22.061
37,1,10.669,13.788,-0.868,-3.119,-0.868
37,2,17.822,23.031,-0.747,-5.209,-0.747
38,1,95.833,129.448,0.137,-33.615,0.137
39,1,-5.509,-9.052,-0.945,3.543,-0.945
39,2,264.819,357.707,2.979,-92.888,2.979
41,1,57.898,68.052,-0.389,-10.154,-0.389
42,1,55.25,66.555,1.292,-11.305,1.292
42,2,23.008,28.388,1.635,-5.38,1.635
42,3,63.653,78.538,3.519,-14.885,3.519
45,1,-6.063,-7.304,-0.386,1.241,-0.386
46,1,16.615,23.414,5.054,-6.799,5.054
51,1,244.088,286.896,-0.329,-42.808,-0.329
51,2,99.567,154.864,2.115,-55.297,2.115
53,1,-0.852,-1.026,0.872,0.174,0.872
53,2,71.517,96.603,3.909,-25.085,3.909
55,1,16.766,25.097,0.262,-8.331,0.262
55,2,1.621,1.621,0.0,0.0,0.0
55,3,-1.708,-3.006,6.216,1.298,6.216
56,1,71.583,107.153,7.646,-35.57,7.646
56,2,5.529,7.145,1.364,-1.616,1.364
61,1,84.649,129.186,-0.159,-44.537,-0.159
64,1,-5.191,-8.075,-0.758,2.883,-0.758
64,2,-3.605,-4.026,-0.308,0.421,-0.308
65,1,5.249,6.477,1.452,-1.228,1.452
65,2,-8.657,-10.682,0.183,2.024,0.183
65,3,79.817,93.816,2.029,-13.998,2.029
66,1,52.1,61.237,0.079,-9.137,0.079
66,2,9.0,11.631,1.114,-2.631,1.114
67,1,238.853,322.634,-0.371,-83.78,-0.371
67,2,-5.044,-6.519,0.045,1.474,0.045
68,1,-5.109,-6.602,-1.075,1.493,-1.075
70,1,-6.467,-8.357,1.692,1.89,1.692
71,1,-8.285,-10.706,0.18,2.422,0.18
73,1,47.64,61.565,3.366,-13.925,3.366
75,1,-7.054,-9.115,-0.795,2.062,-0.795
76,1,-6.01,-7.767,-0.708,1.757,-0.708
80,1,202.23,379.566,0.649,-177.336,0.649
81,1,75.472,97.532,-0.666,-22.06,-0.666
82,1,-4.7,-6.074,0.238,1.374,0.238
82,2,-5.352,-8.167,5.626,2.816,5.626
83,1,-4.265,-5.761,4.57,1.496,4.57
84,1,-5.789,-8.157,5.275,2.369,5.275
85,1,40.448,52.271,-0.679,-11.823,-0.679
86,1,4.068,5.495,5.617,-1.427,5.617
87,1,-8.483,-11.458,-0.372,2.975,-0.372
88,1,-7.333,-9.048,1.262,1.715,1.262
89,1,-3.458,-4.266,0.178,0.809,0.178
90,1,0.82,1.204,0.718,-0.384,0.718
91,1,321.098,602.668,7.707,-281.571,7.707
92,1,-4.095,-5.172,2.791,1.077,2.791
93,1,1.129,1.459,0.241,-0.33,0.241
94,1,109.214,141.137,2.769,-31.923,2.769
95,1,72.629,104.473,1.048,-31.844,1.048
96,1,49.618,61.22,-0.406,-11.603,-0.406
97,1,1.242,1.605,1.54,-0.363,1.54
98,1,74.887,101.154,0.652,-26.267,0.652
99,1,103.232,148.495,-0.877,-45.262,-0.877
102,1,177.896,261.095,1.369,-83.198,1.369
102,2,44.165,55.783,-0.362,-11.618,-0.362
102,3,73.788,99.67,1.032,-25.882,1.032
103,1,91.931,148.361,-1.146,-56.43,-1.146
103,2,9.049,20.159,20.054,-11.109,20.054
103,3,-3.298,-4.84,5.584,1.542,5.584
106,1,60.557,67.637,0.312,-7.08,0.312
106,2,97.068,139.628,4.356,-42.56,4.356
107,1,150.374,194.328,-0.163,-43.954,-0.163
108,1,35.74,48.276,1.446,-12.536,1.446
108,2,-4.137,-6.435,8.626,2.298,8.626
111,1,38.002,57.997,-1.082,-19.995,-1.082
112,1,6.665,11.731,7.835,-5.065,7.835
113,1,103.729,182.561,3.912,-78.832,3.912
114,1,154.613,263.077,2.455,-108.464,2.455
114,2,45.078,78.019,4.421,-32.941,4.421
115,1,-2.605,-3.215,-0.728,0.609,-0.728
115,2,55.81,99.857,4.893,-44.046,4.893
118,1,11.531,16.587,0.006,-5.056,0.006
118,2,121.635,174.966,15.698,-53.331,15.698
119,1,-0.384,-0.553,5.193,0.168,5.193
120,1,78.22,112.515,11.558,-34.295,11.558
121,1,2.122,4.478,3.659,-2.357,3.659
121,2,0.154,0.222,1.374,-0.068,1.374
123,1,20.842,32.417,-0.653,-11.575,-0.653
126,1,90.336,119.382,2.411,-29.046,2.411
126,2,95.749,134.932,3.376,-39.183,3.376
130,1,36.075,44.511,-0.467,-8.436,-0.467
130,2,118.676,184.585,10.244,-65.909,10.244
130,3,7.41,11.959,4.85,-4.549,4.85
134,1,113.537,140.086,2.989,-26.549,2.989
134,2,179.3,231.71,0.863,-52.409,0.863
136,1,-4.466,-4.597,0.0,0.131,0.0
137,1,199.608,269.623,-1.184,-70.015,-1.184
138,1,159.262,326.851,-1.001,-167.589,-1.001
138,2,-3.374,-5.149,0.35,1.775,0.35
139,1,40.454,61.738,10.418,-21.284,10.418
140,1,86.218,131.581,-0.983,-45.363,-0.983
143,1,4.452,7.445,-0.053,-2.993,-0.053
145,1,90.971,128.199,-0.727,-37.227,-0.727
145,2,-3.121,-4.489,6.351,1.368,6.351
145,3,263.333,409.58,3.965,-146.247,3.965
146,1,95.322,142.688,5.118,-47.366,5.118
147,1,24.929,47.518,10.984,-22.589,10.984
149,1,93.764,132.134,0.55,-38.37,0.55
151,1,2.853,4.02,4.459,-1.168,4.459
152,1,83.32,107.674,-0.114,-24.354,-0.114
155,1,77.113,101.908,0.271,-24.794,0.271
155,2,248.084,342.354,2.427,-94.269,2.427
156,1,-2.748,-3.953,0.585,1.205,0.585
156,2,-7.984,-9.851,-0.688,1.867,-0.688
158,1,-5.126,-6.474,-0.32,1.348,-0.32
161,1,4.48,5.79,0.196,-1.31,0.196
161,2,26.341,30.191,-0.351,-3.85,-0.351
161,3,196.656,231.145,-0.553,-34.489,-0.553
162,1,110.532,155.764,1.492,-45.232,1.492
162,2,91.361,112.725,-0.367,-21.364,-0.367
163,1,139.359,188.24,3.468,-48.881,3.468
164,1,-2.014,-2.779,-0.613,0.765,-0.613
167,1,-1.535,-1.804,1.281,0.269,1.281
167,2,-1.261,-1.556,-0.336,0.295,-0.336
170,1,-4.73,-5.56,0.123,0.83,0.123
171,1,-5.341,-6.278,1.248,0.937,1.248
172,1,1.367,2.046,2.064,-0.679,2.064
172,2,-7.016,-8.246,1.127,1.23,1.127
174,1,86.272,126.62,1.623,-40.348,1.623
175,1,-5.848,-7.557,0.789,1.709,0.789
177,1,117.338,165.355,5.837,-48.017,5.837
177,2,90.43,164.441,2.012,-74.011,2.012
178,1,0.0,0.0,-3.394,0.0,-3.394
178,2,37.145,50.174,4.064,-13.029,4.064
178,3,96.888,147.865,2.512,-50.977,2.512
178,4,368.629,659.555,19.024,-290.926,19.024
180,1,2.167,3.054,2.855,-0.887,2.855
181,1,106.056,106.056,35.53,0.0,35.53
181,2,-2.949,-4.674,1.868,1.724,1.868
181,3,66.42,89.717,6.3,-23.297,6.3
181,4,3.278,6.727,-0.807,-3.449,-0.807
182,1,41.407,51.09,-0.366,-9.683,-0.366
183,1,-3.634,-5.122,-1.272,1.487,-1.272
183,2,1.615,3.221,1.814,-1.605,1.814
184,1,32.271,38.874,0.107,-6.603,0.107
185,1,61.974,76.466,-0.612,-14.492,-0.612
185,2,26.42,29.509,0.53,-3.089,0.53
185,3,2.86,5.869,5.332,-3.009,5.332
189,1,46.82,102.93,17.733,-56.11,17.733
189,2,6.466,11.568,5.963,-5.103,5.963
190,1,99.836,213.647,0.821,-113.811,0.821
197,1,0.0,0.0,-0.895,0.0,-0.895
197,2,-7.441,-10.703,2.404,3.262,2.404
198,1,133.359,172.34,0.149,-38.981,0.149
