LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
2,1,0.0,0.0,-0.084,0.0,-0.084
2,2,96.944,150.784,7.922,-53.84,7.922
3,1,0.0,0.0,-0.273,0.0,-0.273
3,2,-1.509,-1.73,-0.067,0.221,-0.067
4,1,-6.973,-8.196,-0.742,1.223,-0.742
4,2,-3.134,-3.683,-0.195,0.55,-0.195
4,3,-0.889,-1.045,0.257,0.156,0.257
6,1,158.143,227.481,-0.501,-69.338,-0.501
6,2,8.208,9.647,0.002,-1.439,0.002
8,1,152.289,339.249,4.353,-186.96,4.353
11,1,90.362,111.493,4.374,-21.13,4.374
14,1,-4.985,-5.277,-0.095,0.291,-0.095
14,2,116.767,205.508,2.037,-88.741,2.037
15,1,78.531,87.713,0.0,-9.182,0.0
15,2,9.328,13.69,0.359,-4.362,0.359
16,1,69.078,81.193,0.024,-12.115,0.024
16,2,-6.906,-7.915,1.334,1.009,1.334
18,1,129.085,159.27,-0.44,-30.185,-0.44
18,2,-4.334,-6.994,3.775,2.66,3.775
20,1,-1.252,-1.581,9.271,0.329,9.271
20,2,18.853,35.385,6.742,-16.532,6.742
21,1,-4.142,-4.384,-0.059,0.242,-0.059
21,2,101.211,178.13,4.536,-76.919,4.536
22,1,167.368,284.781,2.059,-117.412,2.059
23,1,-7.686,-8.809,-0.44,1.123,-0.44
23,2,2.815,3.556,0.555,-0.741,0.555
23,3,5.925,10.081,3.608,-4.156,3.608
25,1,23.509,26.945,-0.192,-3.436,-0.192
25,2,-0.302,-0.434,1.306,0.132,1.306
25,3,124.915,219.848,2.603,-94.933,2.603
30,1,26.146,27.675,0.474,-1.529,0.474
37,1,-1.361,-2.594,4.653,1.233,4.653
37,2,-3.778,-6.869,6.147,3.092,6.147
39,1,31.372,38.708,0.389,-7.336,0.389
39,2,18.965,22.291,-0.8,-3.326,-0.8
39,3,59.366,66.307,-0.411,-6.941,-0.411
40,1,165.173,324.497,0.08,-159.324,0.08
40,2,91.939,148.373,4.595,-56.435,4.595
40,3,256.839,437.016,97.005,-180.178,97.005
40,4,8.945,13.39,29.176,-4.445,29.176
41,1,5.275,8.05,0.411,-2.775,0.411
42,1,3.653,6.429,2.051,-2.776,2.051
44,1,-6.407,-7.905,-0.719,1.498,-0.719
45,1,19.622,38.55,2.537,-18.927,2.537
46,1,-5.262,-6.954,1.514,1.692,1.514
47,1,89.579,178.604,-0.186,-89.025,-0.186
47,2,-5.046,-5.636,-0.279,0.59,-0.279
49,1,0.996,0.996,0.0,0.0,0.0
50,1,53.355,65.832,0.235,-12.477,0.235
51,1,-6.923,-7.732,0.133,0.809,0.133
52,1,0.0,0.0,-2.089,0.0,-2.089
53,1,-5.371,-6.156,-0.23,0.785,-0.23
53,2,-1.697,-3.087,0.781,1.389,0.781
53,3,83.667,103.232,-0.902,-19.565,-0.902
58,1,0.0,0.0,-0.186,0.0,-0.186
58,2,137.517,242.027,1.1,-104.51,1.1
58,3,1.453,2.557,-0.196,-1.104,-0.196
61,1,31.918,37.516,2.426,-5.598,2.426
64,1,0.737,0.909,-0.863,-0.172,-0.863
64,2,-6.791,-7.982,-0.695,1.191,-0.695
68,1,-8.165,-9.598,-0.939,1.432,-0.939
68,2,-8.491,-9.98,-1.097,1.489,-1.097
69,1,0.0,0.0,-0.165,0.0,-0.165
69,2,114.86,141.719,-0.645,-26.859,-0.645
70,1,-5.089,-5.981,-0.729,0.892,-0.729
71,1,170.06,229.71,0.404,-59.65,0.404
71,2,-4.55,-5.613,0.531,1.064,0.531
73,1,-1.144,-1.345,0.169,0.201,0.169
73,2,-5.223,-6.139,-1.031,0.916,-1.031
73,3,-5.768,-7.117,0.018,1.349,0.018
76,1,-2.302,-3.244,3.08,0.942,3.08
76,2,-5.079,-5.97,-0.557,0.891,-0.557
80,1,-7.976,-9.841,-0.821,1.865,-0.821
80,2,-3.12,-3.849,1.637,0.73,1.637
83,1,-4.592,-5.666,-1.012,1.074,-1.012
84,1,15.428,15.428,0.0,0.0,0.0
85,1,-0.708,-0.708,0.0,0.0,0.0
86,1,0.534,0.534,0.0,0.0,0.0
86,2,181.302,223.698,-0.861,-42.396,-0.861
87,1,-0.459,-0.459,0.0,0.0,0.0
87,2,87.422,128.308,-0.025,-40.886,-0.025
88,1,-0.882,-0.882,0.0,0.0,0.0
89,1,-2.087,-2.82,-0.255,0.732,-0.255
90,1,-4.622,-6.513,0.671,1.891,0.671
90,2,-7.523,-10.601,1.603,3.078,1.603
91,1,-2.021,-2.139,-0.249,0.118,-0.249
92,1,-5.178,-7.902,4.728,2.724,4.728
93,1,33.724,47.524,-0.171,-13.8,-0.171
93,2,37.54,45.221,0.95,-7.681,0.95
94,1,136.963,181.001,0.117,-44.038,0.117
94,2,47.888,78.683,0.84,-30.795,0.84
95,1,119.673,256.096,5.263,-136.423,5.263
95,2,97.435,131.612,0.161,-34.176,0.161
97,1,99.359,140.018,3.395,-40.66,3.395
98,1,73.506,103.586,3.08,-30.08,3.08
100,1,-2.535,-2.832,-0.318,0.296,-0.318
