LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
4,1,-0.889,-1.097,1.915,0.208,1.915
4,2,-1.093,-2.083,3.624,0.99,3.624
5,1,-0.521,-0.567,0.184,0.046,0.184
5,2,-0.364,-0.386,0.46,0.021,0.46
6,1,-0.629,-0.666,0.247,0.037,0.247
6,2,-0.45,-0.634,9.033,0.184,9.033
7,1,-1.713,-2.114,4.116,0.401,4.116
8,1,-0.387,-0.41,0.326,0.023,0.326
9,1,-2.104,-2.473,4.811,0.369,4.811
12,1,-1.771,-1.875,-0.609,0.104,-0.609
13,1,-2.205,-2.592,2.7,0.387,2.7
14,1,-0.483,-0.751,6.46,0.268,6.46
14,2,31.809,33.668,6.303,-1.86,6.303
14,3,-1.258,-1.479,-0.075,0.221,-0.075
15,1,75.393,86.412,11.605,-11.019,11.605
16,1,-0.269,-0.3,-0.102,0.031,-0.102
17,1,38.753,45.55,0.495,-6.797,0.495
17,2,-1.612,-1.801,-0.569,0.189,-0.569
19,1,-1.699,-2.097,3.83,0.397,3.83
19,2,-1.903,-2.404,4.895,0.501,4.895
21,1,-0.867,-1.476,4.644,0.608,4.644
21,2,-0.739,-0.826,-0.202,0.086,-0.202
23,1,-0.479,-0.535,0.549,0.056,0.549
24,1,3.493,3.901,-0.254,-0.408,-0.254
25,1,-1.715,-1.816,-0.175,0.1,-0.175
27,1,-1.537,-1.626,-0.541,0.09,-0.541
31,1,-0.077,-0.1,-0.676,0.023,-0.676
31,2,2.914,3.254,0.183,-0.341,0.183
31,3,-1.501,-2.027,2.886,0.526,2.886
32,1,-0.703,-0.949,7.808,0.247,7.808
33,1,-1.135,-1.201,-0.566,0.066,-0.566
34,1,-1.559,-2.106,-1.444,0.547,-1.444
35,1,-1.908,-2.076,-0.565,0.167,-0.565
36,1,-1.638,-1.734,-0.565,0.096,-0.565
37,1,-1.685,-1.882,-0.381,0.197,-0.381
38,1,-1.685,-1.882,-0.381,0.197,-0.381
39,1,-0.63,-0.888,-0.461,0.258,-0.461
39,2,-0.744,-0.787,-0.542,0.043,-0.542
40,1,-0.432,-0.709,6.244,0.278,6.244
40,2,-1.666,-1.763,-0.172,0.097,-0.172
41,1,-1.873,-2.639,7.718,0.766,7.718
41,2,-1.982,-1.982,0.0,0.0,0.0
42,1,-2.683,-2.683,0.0,0.0,0.0
43,1,-0.735,-0.82,9.863,0.086,9.863
45,1,-0.068,-0.082,1.317,0.014,1.317
47,1,-0.612,-0.738,9.572,0.125,9.572
50,1,-0.576,-0.593,0.0,0.017,0.0
52,1,-0.533,-0.58,0.187,0.047,0.187
53,1,-0.397,-0.455,0.164,0.058,0.164
54,1,-0.535,-0.582,0.195,0.047,0.195
56,1,-0.759,-0.959,0.109,0.2,0.109
57,1,-0.474,-0.571,0.547,0.097,0.547
58,1,-0.513,-0.572,0.885,0.06,0.885
59,1,-1.583,-1.907,-0.479,0.324,-0.479
60,1,-2.953,-3.298,1.552,0.345,1.552
60,2,-0.385,-0.442,4.17,0.056,4.17
61,1,-0.319,-0.384,-0.351,0.065,-0.351
62,1,-0.01,-0.013,2.911,0.003,2.911
62,2,-0.516,-0.561,0.123,0.045,0.123
63,1,-0.421,-0.445,0.164,0.025,0.164
63,2,229.852,323.911,4.924,-94.06,4.924
65,1,-0.542,-0.574,0.117,0.032,0.117
66,1,102.885,132.959,6.298,-30.073,6.298
66,2,-0.522,-0.568,0.136,0.046,0.136
66,3,-1.034,-1.457,1.011,0.423,1.011
67,1,-0.538,-0.586,0.124,0.047,0.124
67,2,-1.06,-1.122,-0.21,0.062,-0.21
69,1,-0.549,-0.597,0.138,0.048,0.138
69,2,-0.498,-0.586,-0.366,0.087,-0.366
70,1,-1.398,-1.929,5.102,0.531,5.102
70,2,-0.508,-0.582,0.01,0.074,0.01
71,1,-0.475,-0.516,-0.352,0.042,-0.352
72,1,-0.508,-0.567,0.063,0.059,0.063
74,1,-0.522,-0.568,0.14,0.046,0.14
75,1,-0.532,-0.578,0.116,0.047,0.116
76,1,-0.932,-1.314,1.222,0.381,1.222
77,1,-0.28,-0.296,-0.162,0.016,-0.162
78,1,-0.486,-0.515,0.124,0.028,0.124
79,1,-0.532,-0.578,0.116,0.047,0.116
80,1,-1.06,-1.122,-0.21,0.062,-0.21
81,1,-1.61,-1.751,-0.115,0.141,-0.115
82,1,-2.071,-2.434,5.604,0.363,5.604
84,1,161.758,199.584,9.483,-37.826,9.483
86,1,-0.689,-0.689,0.0,0.0,0.0
87,1,-0.674,-0.674,0.0,0.0,0.0
89,1,-0.5,-0.5,0.0,0.0,0.0
90,1,-1.198,-1.583,1.536,0.385,1.536
90,2,-0.661,-0.661,0.0,0.0,0.0
91,1,-0.641,-0.679,-0.075,0.037,-0.075
92,1,-1.707,-1.707,0.0,0.0,0.0
92,2,127.114,179.131,1.816,-52.017,1.816
93,1,-2.121,-2.245,0.369,0.124,0.369
95,1,-0.637,-0.674,-0.075,0.037,-0.075
96,1,-0.587,-0.621,-0.038,0.034,-0.038
97,1,-1.597,-1.83,-0.092,0.233,-0.092
98,1,-1.596,-1.736,-0.534,0.14,-0.534
99,1,-1.073,-1.23,-0.179,0.157,-0.179
100,1,-0.93,-1.121,-0.148,0.19,-0.148
101,1,-0.894,-1.025,1.384,0.131,1.384
101,2,6.984,8.208,4.244,-1.225,4.244
102,1,-0.523,-0.66,2.079,0.137,2.079
103,1,-0.605,-0.659,-0.18,0.053,-0.18
104,1,-1.041,-1.376,-0.357,0.335,-0.357
105,1,-0.503,-0.561,1.548,0.059,1.548
106,1,-1.888,-2.44,1.402,0.552,1.402
108,1,-1.53,-1.62,-0.333,0.089,-0.333
109,1,-0.08,-0.087,-0.324,0.007,-0.324
110,1,-0.547,-0.675,3.491,0.128,3.491
111,1,-2.126,-2.374,0.635,0.249,0.635
111,2,-0.691,-0.893,2.226,0.202,2.226
114,1,-1.422,-1.588,0.35,0.166,0.35
114,2,-0.643,-0.68,1.602,0.038,1.602
115,1,-1.262,-1.41,-0.227,0.148,-0.227
120,1,-1.237,-1.309,-0.302,0.072,-0.302
121,1,-1.632,-2.11,0.078,0.477,0.078
122,1,-1.775,-1.879,-0.291,0.104,-0.291
122,2,31.241,45.853,3.569,-14.611,3.569
124,1,-2.167,-2.674,-0.643,0.507,-0.643
125,1,-0.787,-0.948,0.887,0.161,0.887
125,2,-1.125,-1.257,1.663,0.132,1.663
126,1,-1.253,-1.326,1.529,0.073,1.529
127,1,-1.304,-1.381,1.541,0.076,1.541
128,1,-1.8,-1.905,-0.305,0.105,-0.305
129,1,-0.541,-0.605,1.534,0.063,1.534
130,1,-1.855,-2.289,1.143,0.434,1.143
130,2,-0.118,-0.132,-0.514,0.014,-0.514
131,1,-1.132,-1.198,-0.302,0.066,-0.302
132,1,-0.637,-0.674,1.579,0.037,1.579
133,1,-0.527,-0.588,-0.426,0.062,-0.426
134,1,-0.815,-0.862,-0.352,0.048,-0.352
134,2,-2.213,-2.796,-0.038,0.582,-0.038
135,1,-0.794,-0.887,-0.244,0.093,-0.244
135,2,2.493,3.367,4.293,-0.874,4.293
136,1,44.926,50.179,-0.221,-5.253,-0.221
