LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
3,1,76.036,100.485,0.148,-24.448,0.148
3,2,74.912,83.671,5.723,-8.759,5.723
6,1,106.929,138.185,0.442,-31.255,0.442
7,1,145.388,162.387,-0.523,-16.999,-0.523
8,1,99.254,105.057,1.372,-5.802,1.372
9,1,50.146,50.146,0.0,0.0,0.0
9,2,107.81,126.718,0.034,-18.908,0.034
9,3,90.349,106.194,0.111,-15.845,0.111
10,1,109.739,125.777,2.022,-16.038,2.022
10,2,-2.766,-3.251,-0.588,0.485,-0.588
10,3,112.222,128.623,2.323,-16.401,2.323
10,4,-3.906,-7.559,-1.742,3.653,-1.742
11,1,156.267,197.376,7.566,-41.109,7.566
11,2,106.895,128.766,1.599,-21.872,1.599
13,1,61.09,71.804,-0.08,-10.714,-0.08
13,2,259.576,494.785,9.617,-235.209,9.617
14,1,138.978,187.726,-0.305,-48.748,-0.305
14,2,108.505,127.535,-0.302,-19.03,-0.302
14,3,101.861,113.77,-0.373,-11.91,-0.373
16,1,4.929,5.937,2.664,-1.008,2.664
17,1,133.871,157.349,0.365,-23.478,0.365
18,1,134.63,150.371,-1.161,-15.741,-1.161
19,1,162.704,172.216,-1.134,-9.512,-1.134
23,1,89.175,94.388,-0.473,-5.213,-0.473
24,1,112.578,125.74,4.02,-13.163,4.02
24,2,53.346,56.464,0.264,-3.119,0.264
25,1,113.536,153.359,-0.871,-39.824,-0.871
25,2,65.966,69.822,3.446,-3.856,3.446
25,3,45.865,48.546,-0.505,-2.681,-0.505
26,1,84.38,133.708,11.757,-49.328,11.757
26,2,179.106,189.576,-0.733,-10.471,-0.733
26,3,111.717,157.434,5.34,-45.717,5.34
27,1,0.0,0.0,-0.602,0.0,-0.602
28,1,85.329,97.8,1.117,-12.471,1.117
29,1,77.486,88.81,0.557,-11.325,0.557
29,2,106.885,125.631,0.04,-18.746,0.04
33,1,208.81,373.606,0.995,-164.795,0.995
33,2,97.257,114.314,0.319,-17.057,0.319
36,1,136.78,164.766,2.35,-27.986,2.35
36,2,92.335,111.228,2.595,-18.893,2.595
36,3,165.554,213.946,1.517,-48.392,1.517
36,4,95.713,134.88,5.564,-39.168,5.564
38,1,254.492,328.88,-0.345,-74.388,-0.345
39,1,67.308,81.08,2.347,-13.772,2.347
39,2,53.916,66.523,3.115,-12.608,3.115
40,1,112.927,136.032,0.125,-23.106,0.125
40,2,46.145,55.587,-0.272,-9.442,-0.272
40,3,36.77,47.518,1.556,-10.748,1.556
43,1,178.295,272.104,2.609,-93.808,2.609
44,1,74.869,105.508,-0.526,-30.638,-0.526
44,2,113.499,136.722,0.22,-23.223,0.22
44,3,82.994,87.845,-0.067,-4.852,-0.067
45,1,87.677,92.802,0.095,-5.126,0.095
45,2,104.853,126.307,5.524,-21.454,5.524
46,1,95.229,100.796,0.488,-5.567,0.488
