LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
1,1,-6.406,-8.278,0.368,1.872,0.368
1,2,-6.267,-9.198,0.078,2.931,0.078
2,1,-3.485,-5.318,-0.31,1.833,-0.31
9,1,-8.475,-15.906,-2.521,7.431,-2.521
10,1,-4.484,-7.106,0.814,2.622,0.814
11,1,-4.667,-5.486,-0.121,0.819,-0.121
13,1,-6.738,-9.496,-0.368,2.757,-0.368
15,1,-7.403,-11.731,-0.86,4.328,-0.86
16,1,-6.089,-8.225,-1.134,2.136,-1.134
19,1,-8.639,-10.154,-0.048,1.515,-0.048
19,2,1.154,1.626,4.269,-0.472,4.269
20,1,-4.96,-6.12,0.193,1.16,0.193
21,1,-7.447,-10.06,-0.221,2.612,-0.221
22,1,-2.303,-2.977,0.327,0.673,0.327
22,2,-8.214,-11.575,0.248,3.361,0.248
23,1,-7.026,-10.106,-0.952,3.08,-0.952
23,2,-6.721,-10.257,-0.942,3.536,-0.942
23,3,-6.0,-7.403,-0.017,1.403,-0.017
26,1,-7.122,-10.661,-1.811,3.539,-1.811
26,2,-4.969,-6.422,-0.452,1.453,-0.452
26,3,-7.53,-10.172,1.035,2.641,1.035
29,1,-4.586,-5.926,-0.345,1.34,-0.345
29,2,-7.338,-10.127,-0.152,2.788,-0.152
30,1,-0.334,-0.334,0.0,0.0,0.0
31,1,-8.47,-10.451,0.391,1.981,0.391
31,2,-4.239,-6.593,0.038,2.354,0.038
31,3,-4.521,-5.842,-0.426,1.321,-0.426
32,1,-4.938,-6.382,-0.453,1.443,-0.453
32,2,-5.052,-5.938,-0.109,0.886,-0.109
33,1,-4.839,-7.527,2.068,2.688,2.068
33,2,-5.022,-6.49,-0.371,1.468,-0.371
38,1,-4.71,-6.087,-0.758,1.377,-0.758
38,2,-4.266,-5.513,-0.441,1.247,-0.441
40,1,-4.707,-6.083,-0.464,1.376,-0.464
41,1,-4.395,-5.679,-0.438,1.285,-0.438
41,2,-8.101,-12.363,0.083,4.262,0.083
44,1,-4.952,-6.4,-0.336,1.448,-0.336
44,2,-7.492,-11.434,-0.324,3.942,-0.324
45,1,38.111,49.25,-0.619,-11.14,-0.619
45,2,-7.979,-11.711,-1.247,3.732,-1.247
45,3,-6.689,-11.381,-1.884,4.692,-1.884
45,4,-7.162,-13.443,3.955,6.281,3.955
48,1,-4.482,-5.792,-0.213,1.31,-0.213
50,1,-8.114,-10.485,0.262,2.372,0.262
50,2,-5.158,-8.022,0.136,2.864,0.136
51,1,-7.764,-9.579,0.496,1.815,0.496
51,2,-7.863,-13.839,-0.891,5.976,-0.891
52,1,-4.937,-5.802,0.457,0.866,0.457
52,2,-9.358,-13.461,1.613,4.103,1.613
52,3,-7.716,-10.198,-0.814,2.481,-0.814
53,1,-5.683,-7.344,-0.091,1.661,-0.091
54,1,25.464,49.283,52.393,-23.818,52.393
55,1,-4.857,-5.709,-0.26,0.852,-0.26
59,1,-6.746,-7.337,-0.028,0.592,-0.028
60,1,-7.894,-9.74,0.247,1.846,0.247
60,2,-6.323,-6.323,0.0,0.0,0.0
61,1,-6.452,-8.338,-0.442,1.886,-0.442
61,2,-4.58,-4.848,-0.064,0.268,-0.064
62,1,-5.288,-7.297,0.161,2.009,0.161
62,2,-5.703,-7.87,-0.591,2.167,-0.591
63,1,-4.692,-6.063,-0.436,1.371,-0.436
64,1,-7.48,-7.917,-0.061,0.437,-0.061
64,2,-2.695,-4.112,-1.103,1.418,-1.103
65,1,-4.659,-5.885,-0.388,1.226,-0.388
67,1,-4.053,-4.409,0.065,0.355,0.065
67,2,-7.552,-8.215,0.264,0.662,0.264
68,1,-3.587,-3.691,0.0,0.105,0.0
70,1,-6.677,-8.238,-1.303,1.561,-1.303
72,1,-8.645,-13.193,-1.42,4.548,-1.42
72,2,-4.695,-6.616,-0.029,1.921,-0.029
72,3,9.995,14.085,2.518,-4.09,2.518
75,1,-6.573,-10.224,-1.226,3.65,-1.226
75,2,-2.354,-3.18,-0.395,0.826,-0.395
75,3,-8.409,-10.375,1.466,1.966,1.466
77,1,-6.829,-8.027,-0.461,1.198,-0.461
77,2,-5.601,-7.565,-0.929,1.965,-0.929
80,1,-8.526,-11.516,-0.433,2.99,-0.433
80,2,-4.562,-6.429,-0.409,1.867,-0.409
81,1,-5.929,-8.702,-0.616,2.773,-0.616
81,2,-9.68,-12.51,-0.986,2.83,-0.986
81,3,-7.762,-10.031,-1.011,2.269,-1.011
82,1,-5.414,-8.104,3.021,2.69,3.021
82,2,-7.011,-9.265,-0.632,2.254,-0.632
82,3,-7.633,-14.326,1.635,6.693,1.635
84,1,-6.497,-8.396,-0.875,1.899,-0.875
86,1,117.43,213.539,22.626,-96.109,22.626
87,1,-7.331,-9.045,-0.09,1.714,-0.09
87,2,-7.981,-9.847,0.43,1.866,0.43
90,1,-4.674,-5.22,-0.166,0.546,-0.166
91,1,-4.029,-4.265,-0.11,0.236,-0.11
92,1,-4.292,-4.793,-0.136,0.502,-0.136
92,2,-7.354,-11.868,-0.549,4.514,-0.549
93,1,-7.542,-8.644,0.192,1.102,0.192
93,2,-5.805,-6.823,-0.194,1.018,-0.194
94,1,-4.113,-4.354,-0.103,0.24,-0.103
94,2,-4.341,-5.864,-0.509,1.523,-0.509
94,3,-1.583,-1.999,-0.492,0.416,-0.492
96,1,-7.848,-11.288,-0.299,3.441,-0.299
96,2,-7.048,-12.816,1.876,5.768,1.876
96,3,-4.325,-4.831,-0.179,0.506,-0.179
98,1,-4.382,-4.638,-0.121,0.256,-0.121
99,1,-4.058,-4.295,-0.21,0.237,-0.21
100,1,-5.223,-5.528,-0.046,0.305,-0.046
101,1,-3.607,-3.817,-0.088,0.211,-0.088
101,2,-7.772,-9.363,-0.703,1.59,-0.703
