LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
1,1,-6.588,-7.936,-0.51,1.348,-0.51
3,1,-7.765,-8.9,0.983,1.135,0.983
5,1,-5.998,-10.031,-0.603,4.032,-0.603
5,2,-4.89,-8.749,0.346,3.859,0.346
8,1,-6.37,-7.859,-0.361,1.49,-0.361
11,1,-6.211,-9.115,0.749,2.905,0.749
12,1,-6.865,-10.076,-0.862,3.211,-0.862
16,1,-8.667,-10.693,0.523,2.027,0.523
18,1,-4.017,-5.426,-0.343,1.409,-0.343
20,1,-7.749,-7.975,0.0,0.226,0.0
20,2,-8.655,-10.173,-0.065,1.518,-0.065
20,3,-4.151,-6.942,2.378,2.791,2.378
20,4,-5.697,-9.86,-0.563,4.163,-0.563
23,1,-4.08,-7.061,2.367,2.981,2.367
24,1,-7.515,-7.735,0.0,0.22,0.0
24,2,-3.781,-6.102,6.653,2.321,6.653
26,1,-8.272,-8.272,0.0,0.0,0.0
26,2,-7.827,-12.632,-1.05,4.805,-1.05
27,1,-8.41,-8.41,0.0,0.0,0.0
28,1,-7.17,-11.152,-1.364,3.982,-1.364
30,1,-6.937,-12.006,-1.381,5.069,-1.381
31,1,-8.812,-10.1,-0.915,1.288,-0.915
31,2,-3.78,-6.763,-2.466,2.983,-2.466
33,1,-5.998,-10.381,0.442,4.383,0.442
35,1,-7.679,-9.025,-0.4,1.347,-0.4
35,2,75.568,84.403,0.779,-8.835,0.779
37,1,-7.566,-7.566,0.0,0.0,0.0
38,1,-8.091,-9.037,-0.147,0.946,-0.147
38,2,-7.443,-7.879,1.085,0.435,1.085
39,1,-7.994,-8.228,0.0,0.234,0.0
39,2,-8.42,-8.42,0.0,0.0,0.0
40,1,-7.074,-7.488,0.0,0.414,0.0
40,2,29.292,30.148,0.0,-0.856,0.0
42,1,-6.985,-7.802,-0.015,0.817,-0.015
42,2,-7.356,-8.431,-0.133,1.075,-0.133
44,1,-6.99,-8.828,-0.424,1.839,-0.424
45,1,-5.629,-7.933,-0.401,2.304,-0.401
46,1,149.45,210.607,0.246,-61.158,0.246
46,2,-7.935,-8.167,0.0,0.232,0.0
50,1,-6.788,-8.177,-0.628,1.389,-0.628
50,2,-5.912,-7.295,0.004,1.383,0.004
51,1,-6.638,-8.191,-0.21,1.552,-0.21
51,2,1.468,1.468,0.0,0.0,0.0
52,1,-4.519,-4.783,-0.034,0.264,-0.034
55,1,-4.43,-5.337,-0.139,0.906,-0.139
56,1,-6.281,-7.933,-0.464,1.652,-0.464
60,1,-6.211,-10.386,-1.405,4.175,-1.405
60,2,-7.441,-8.311,-0.086,0.87,-0.086
63,1,-5.834,-6.175,-0.042,0.341,-0.042
