filename,affinity_qvina
ligand_1002.log,-8.3
ligand_1070.log,-7.1
ligand_1349.log,-2.9
ligand_1150.log,-4.6
ligand_1424.log,-8.5
ligand_1486.log,-0.4
ligand_1205.log,-7.6
ligand_127.log,-5.2
ligand_1069.log,-6.8
ligand_1001.log,-6.5
ligand_119.log,-3.7
ligand_1416.log,-8.9
ligand_1068.log,-0.8
ligand_1008.log,-6.1
ligand_1422.log,1.2
ligand_1145.log,-5.6
ligand_1277.log,-5.3
ligand_1006.log,-6.9
ligand_1341.log,-5.3
ligand_1212.log,-2.5
ligand_1488.log,-3.2
ligand_141.log,-8.7
ligand_1281.log,-7.1
ligand_1003.log,-8.5
ligand_106.log,4.2
ligand_1421.log,-2.3
ligand_1005.log,-8.9
ligand_1152.log,-0.3
ligand_1217.log,-2.6
ligand_1280.log,-7.1
ligand_1000.log,-4.6
ligand_134.log,-5.0
ligand_1214.log,-7.0
ligand_1140.log,-9.1
ligand_1489.log,-4.5
ligand_1282.log,4.5
ligand_1423.log,-4.0
ligand_1007.log,-8.7
ligand_1078.log,-8.0
ligand_1286.log,-3.9
ligand_1414.log,-8.0
ligand_1139.log,-7.2
ligand_1213.log,-8.8
ligand_1004.log,-8.8
ligand_1420.log,-3.1
ligand_1352.log,-6.4
ligand_1009.log,4.9
ligand_1073.log,-7.6
ligand_1485.log,0.9
ligand_1211.log,-9.1
ligand_1283.log,-8.7
ligand_1146.log,-5.2
ligand_1224.log,-4.9
ligand_1147.log,-6.1
ligand_1210.log,-8.3
ligand_1080.log,0.2
ligand_1347.log,-5.6
ligand_1289.log,5.0
ligand_1431.log,8.0
ligand_1498.log,60.8
ligand_1220.log,-8.4
ligand_1143.log,-2.5
ligand_1072.log,-4.1
ligand_1010.log,0.5
ligand_1215.log,-3.7
ligand_1295.log,-0.7
ligand_1077.log,-8.2
ligand_1354.log,-6.3
ligand_1144.log,-7.7
ligand_1074.log,10.2
ligand_1223.log,-3.3
ligand_1428.log,-7.1
ligand_1284.log,-6.1
ligand_107.log,2.7
ligand_1141.log,-3.7
ligand_1285.log,0.6
ligand_1216.log,-7.9
ligand_1429.log,-3.0
ligand_1353.log,-4.5
ligand_100.log,-3.1
ligand_1142.log,1.1
ligand_1495.log,-3.5
ligand_1297.log,4.7
ligand_1221.log,-2.1
ligand_1151.log,-2.7
ligand_1427.log,-3.7
ligand_1079.log,4.8
ligand_1350.log,0.0
ligand_1020.log,-7.5
ligand_114.log,-3.8
ligand_1293.log,-5.6
ligand_1487.log,-4.3
ligand_1430.log,-3.7
ligand_121.log,2.5
ligand_1084.log,-7.0
ligand_1292.log,-7.8
ligand_1090.log,-8.2
ligand_1355.log,-0.9
ligand_1148.log,-1.4
ligand_142.log,-7.1
ligand_1093.log,-6.5
ligand_1012.log,-3.4
ligand_1494.log,-3.8
ligand_1219.log,0.9
ligand_128.log,-5.1
ligand_1149.log,-1.9
ligand_1435.log,-6.5
ligand_1218.log,-4.4
ligand_1364.log,19.2
ligand_1086.log,-5.6
ligand_1153.log,4.5
ligand_1083.log,-6.5
ligand_1439.log,3.8
ligand_1222.log,-6.8
ligand_1021.log,-4.4
ligand_1288.log,-5.2
ligand_1491.log,-0.2
ligand_1225.log,-4.9
ligand_1158.log,-7.1
ligand_1094.log,1.1
ligand_1436.log,-0.8
ligand_1014.log,-8.4
ligand_1287.log,-2.9
ligand_1160.log,1.7
ligand_1228.log,-7.1
ligand_1082.log,-8.0
ligand_1360.log,-7.0
ligand_143.log,-7.2
ligand_1492.log,-4.8
ligand_1164.log,-6.7
ligand_1238.log,6.1
ligand_1081.log,-0.7
ligand_135.log,-4.2
ligand_1437.log,-4.9
ligand_1154.log,1.0
ligand_1290.log,-8.8
ligand_1237.log,-6.4
ligand_1236.log,-4.6
ligand_1095.log,-6.3
ligand_1438.log,-3.7
ligand_1011.log,-1.6
ligand_1087.log,-2.6
ligand_1165.log,-7.5
ligand_1291.log,-6.2
ligand_1493.log,2.1
ligand_1231.log,-1.0
ligand_1434.log,-1.9
ligand_1362.log,-8.4
ligand_115.log,-2.2
ligand_1232.log,-6.5
ligand_1085.log,10.9
ligand_1294.log,17.4
ligand_1015.log,-5.4
ligand_1226.log,0.8
ligand_1440.log,2.6
ligand_14.log,-3.7
ligand_1356.log,-1.0
ligand_1162.log,-6.5
ligand_1089.log,-5.3
ligand_1155.log,-7.7
ligand_1441.log,2.5
ligand_1022.log,-7.8
ligand_1157.log,11.5
ligand_149.log,-3.6
ligand_122.log,-0.2
ligand_1296.log,-7.8
ligand_1092.log,-3.6
ligand_1361.log,-6.3
ligand_1159.log,-5.0
ligand_1442.log,0.7
ligand_1167.log,-3.5
ligand_1301.log,-2.4
ligand_1091.log,-1.6
ligand_1358.log,-5.7
ligand_1013.log,-3.7
ligand_1490.log,-4.7
ligand_1239.log,2.9
ligand_1088.log,-6.6
ligand_1452.log,-4.7
ligand_1300.log,-6.3
ligand_1357.log,-1.8
ligand_1163.log,3.8
ligand_1298.log,-8.6
ligand_1227.log,-7.4
ligand_1161.log,-6.0
ligand_108.log,-8.2
ligand_1018.log,4.9
ligand_1455.log,-5.0
ligand_1299.log,13.8
ligand_1359.log,0.8
ligand_1096.log,2.8
ligand_1156.log,-6.9
ligand_1230.log,1.3
ligand_1500.log,34.2
ligand_1097.log,-7.7
ligand_1366.log,-3.5
ligand_1234.log,-3.3
ligand_1443.log,2.3
ligand_1016.log,1.4
ligand_1308.log,-6.9
ligand_1166.log,-6.7
ligand_1104.log,-4.7
ligand_1302.log,-7.1
ligand_1363.log,-8.1
ligand_1235.log,1.3
ligand_1365.log,-8.8
ligand_1175.log,-5.3
ligand_1445.log,-5.8
ligand_1177.log,-3.9
ligand_1233.log,-5.1
ligand_129.log,-5.2
ligand_1017.log,8.4
ligand_1367.log,-8.6
ligand_1502.log,60.8
ligand_1242.log,-3.4
ligand_1368.log,-7.0
ligand_1446.log,-5.2
ligand_1105.log,2.2
ligand_1172.log,0.0
ligand_1369.log,-7.0
ligand_130.log,-4.2
ligand_101.log,-3.3
ligand_116.log,-3.6
ligand_1249.log,8.7
ligand_1100.log,-6.4
ligand_136.log,-10.0
ligand_1370.log,-10.6
ligand_1453.log,-4.0
ligand_1374.log,-9.9
ligand_1244.log,-5.9
ligand_1106.log,-5.3
ligand_1371.log,-9.3
ligand_1307.log,-7.5
ligand_1501.log,82.3
ligand_1372.log,-4.2
ligand_1170.log,-8.2
ligand_1019.log,0.1
ligand_1109.log,-7.2
ligand_1448.log,0.7
ligand_1168.log,-6.1
ligand_1241.log,5.4
ligand_137.log,-2.7
ligand_1304.log,-2.0
ligand_1099.log,0.6
ligand_1447.log,-4.8
ligand_1303.log,-0.1
ligand_123.log,0.4
ligand_1026.log,3.5
ligand_1103.log,-2.9
ligand_1169.log,-5.5
ligand_1377.log,-8.8
ligand_1107.log,-7.0
ligand_1378.log,-9.3
ligand_144.log,-6.5
ligand_109.log,-4.1
ligand_1309.log,-2.4
ligand_1379.log,-2.2
ligand_1240.log,-7.7
ligand_1450.log,-4.9
ligand_1023.log,-6.0
ligand_1180.log,-9.4
ligand_1306.log,-8.4
ligand_1514.log,-5.4
ligand_1246.log,-8.1
ligand_1174.log,-7.7
ligand_12.log,-6.9
ligand_1252.log,1.5
ligand_1451.log,-3.9
ligand_1102.log,-0.4
ligand_1506.log,0.6
ligand_1027.log,-6.9
ligand_1173.log,0.3
ligand_1305.log,-6.1
ligand_1383.log,-9.0
ligand_1243.log,-2.5
ligand_1101.log,-7.7
ligand_1310.log,7.8
ligand_1507.log,0.8
ligand_1376.log,-7.1
ligand_1098.log,-3.7
ligand_1454.log,-5.2
ligand_1380.log,-1.4
ligand_1171.log,-7.0
ligand_1311.log,-4.8
ligand_1247.log,-4.9
ligand_1108.log,-6.7
ligand_1025.log,-8.0
ligand_1509.log,1.9
ligand_1176.log,4.9
ligand_124.log,-0.9
ligand_1444.log,-8.3
ligand_10.log,-8.1
ligand_1325.log,-10.1
ligand_1449.log,-6.3
ligand_1510.log,-0.5
ligand_1381.log,-10.0
ligand_1024.log,-8.1
ligand_1178.log,-6.4
ligand_1112.log,-7.5
ligand_1316.log,0.1
ligand_1382.log,-9.1
ligand_1248.log,1.9
ligand_1181.log,1.3
ligand_1511.log,-5.7
ligand_1456.log,-0.5
ligand_1110.log,-7.0
ligand_1375.log,-8.5
ligand_1251.log,-6.5
ligand_1179.log,-8.3
ligand_1324.log,-4.2
ligand_1373.log,-2.9
ligand_1505.log,2.7
ligand_1034.log,-3.2
ligand_1119.log,4.2
ligand_1250.log,-8.7
ligand_1457.log,1.0
ligand_117.log,-3.6
ligand_1388.log,-7.9
ligand_1314.log,-0.7
ligand_1253.log,-8.0
ligand_1123.log,-5.5
ligand_1385.log,-9.7
ligand_1503.log,48.9
ligand_1245.log,9.4
ligand_1393.log,-9.6
ligand_1313.log,-0.3
ligand_1033.log,-5.4
ligand_1460.log,0.0
ligand_1114.log,-6.9
ligand_1187.log,-7.4
ligand_1392.log,-9.2
ligand_1268.log,-7.7
ligand_1391.log,-9.5
ligand_1256.log,-9.0
ligand_1028.log,-6.2
ligand_145.log,-1.7
ligand_1183.log,-4.3
ligand_1118.log,-4.2
ligand_1390.log,-9.5
ligand_1312.log,9.1
ligand_1513.log,-5.5
ligand_1260.log,-4.6
ligand_1386.log,-8.9
ligand_111.log,-4.2
ligand_1031.log,7.0
ligand_1322.log,3.2
ligand_1192.log,-7.8
ligand_1504.log,5.8
ligand_1458.log,1.7
ligand_1387.log,-9.3
ligand_1189.log,-7.7
ligand_1257.log,0.1
ligand_1319.log,-7.5
ligand_1389.log,-9.6
ligand_1036.log,-5.0
ligand_110.log,-5.8
ligand_150.log,-1.0
ligand_1190.log,-5.4
ligand_1254.log,0.6
ligand_1384.log,-8.2
ligand_1459.log,3.6
ligand_1323.log,-7.8
ligand_1395.log,-10.0
