filename,affinity_qvina
ligand_104.log,-7.2
ligand_156.log,-8.9
ligand_118.log,47.4
ligand_133.log,-10.2
ligand_162.log,-10.2
ligand_13.log,-9.9
ligand_105.log,-7.2
ligand_173.log,-9.8
ligand_142.log,-3.6
ligand_153.log,-0.6
ligand_166.log,-5.6
ligand_103.log,-2.9
ligand_140.log,0.8
ligand_168.log,-6.0
ligand_100.log,-3.0
ligand_101.log,-4.5
ligand_114.log,44.2
ligand_159.log,-7.1
ligand_183.log,11.0
ligand_138.log,-4.1
ligand_161.log,-10.1
ligand_146.log,-3.3
ligand_134.log,-9.7
ligand_169.log,-6.6
ligand_123.log,2.1
ligand_121.log,0.3
ligand_12.log,-1.5
ligand_143.log,-3.2
ligand_155.log,-1.1
ligand_160.log,-9.4
ligand_119.log,-0.5
ligand_131.log,-9.7
ligand_170.log,-9.4
ligand_115.log,38.7
ligand_144.log,-3.5
ligand_106.log,-6.9
ligand_180.log,-9.6
ligand_165.log,-6.0
ligand_137.log,-7.4
ligand_128.log,-1.6
ligand_10.log,-3.6
ligand_151.log,1.6
ligand_17.log,-9.4
ligand_141.log,1.9
ligand_184.log,5.0
ligand_145.log,-1.5
ligand_120.log,1.2
ligand_167.log,-6.7
ligand_108.log,2.8
ligand_116.log,42.2
ligand_152.log,-0.2
ligand_135.log,-2.3
ligand_125.log,1.4
ligand_171.log,-8.7
ligand_149.log,-4.9
ligand_102.log,-3.7
ligand_172.log,-8.3
ligand_188.log,9.9
ligand_181.log,-9.7
ligand_190.log,-7.8
ligand_117.log,41.8
ligand_136.log,1.1
ligand_154.log,-2.9
ligand_174.log,-8.4
ligand_147.log,3.7
ligand_191.log,-3.9
ligand_122.log,0.7
ligand_178.log,-3.9
ligand_186.log,11.2
ligand_18.log,-7.9
ligand_130.log,-9.9
ligand_179.log,-6.1
ligand_193.log,-8.2
ligand_157.log,-9.6
ligand_124.log,-0.3
ligand_199.log,-0.7
ligand_207.log,-1.3
ligand_14.log,-10.7
ligand_150.log,-2.7
ligand_175.log,-8.8
ligand_158.log,-8.8
ligand_197.log,-0.0
ligand_176.log,-5.8
ligand_148.log,-4.7
ligand_198.log,-0.3
ligand_127.log,0.1
ligand_11.log,-2.8
ligand_20.log,-0.8
ligand_177.log,-9.2
ligand_163.log,-9.2
ligand_196.log,-1.5
ligand_15.log,-8.2
ligand_189.log,18.6
ligand_204.log,-6.6
ligand_129.log,-4.8
ligand_206.log,-7.5
ligand_226.log,4.9
ligand_229.log,-2.9
ligand_192.log,-6.9
ligand_212.log,-6.7
ligand_126.log,-4.2
ligand_205.log,-5.2
ligand_19.log,-1.9
ligand_194.log,-1.4
ligand_216.log,-3.2
ligand_202.log,-0.7
ligand_139.log,-2.5
ligand_244.log,-9.3
ligand_200.log,1.0
ligand_23.log,2.2
ligand_24.log,-5.3
ligand_195.log,-1.4
ligand_21.log,-0.8
ligand_245.log,-8.8
ligand_219.log,-5.7
ligand_203.log,2.1
ligand_249.log,-4.9
ligand_239.log,3.0
ligand_260.log,-5.8
ligand_243.log,4.9
ligand_201.log,1.7
ligand_22.log,-3.8
ligand_218.log,-2.7
ligand_256.log,-4.2
ligand_225.log,-3.0
ligand_213.log,-7.7
ligand_1.log,-5.0
ligand_261.log,-4.7
ligand_217.log,0.8
ligand_214.log,6.0
ligand_251.log,-8.6
ligand_240.log,-0.4
ligand_265.log,-4.4
ligand_232.log,4.5
ligand_274.log,5.8
ligand_250.log,-0.0
ligand_222.log,4.1
ligand_263.log,-5.1
ligand_268.log,-4.5
ligand_221.log,-1.6
ligand_257.log,-5.2
ligand_241.log,3.7
ligand_235.log,-2.3
ligand_267.log,-5.6
ligand_215.log,-1.0
ligand_223.log,2.6
ligand_253.log,-9.0
ligand_270.log,-4.4
ligand_255.log,-7.5
ligand_266.log,-4.2
ligand_264.log,-5.5
ligand_237.log,-1.4
ligand_285.log,10.3
ligand_231.log,3.1
ligand_254.log,-7.2
ligand_297.log,3.1
ligand_259.log,-5.6
ligand_269.log,-4.6
ligand_220.log,-0.3
ligand_272.log,-4.3
ligand_248.log,-7.1
ligand_275.log,12.5
ligand_276.log,4.0
ligand_246.log,-4.3
ligand_26.log,-3.7
ligand_252.log,-8.6
ligand_233.log,-3.6
ligand_291.log,10.7
ligand_292.log,1.5
ligand_258.log,7.0
ligand_271.log,-4.7
ligand_288.log,8.6
ligand_230.log,2.1
ligand_284.log,6.2
ligand_234.log,2.5
ligand_25.log,5.2
ligand_273.log,2.1
ligand_279.log,12.3
ligand_298.log,8.0
ligand_290.log,14.6
ligand_289.log,5.5
ligand_227.log,14.8
ligand_247.log,-9.5
ligand_262.log,-3.6
ligand_300.log,66.4
ligand_242.log,16.4
ligand_309.log,-3.2
ligand_278.log,4.4
ligand_306.log,24.5
ligand_286.log,-1.3
ligand_228.log,1.9
ligand_326.log,6.6
ligand_27.log,-1.2
ligand_293.log,3.6
ligand_236.log,-3.5
ligand_313.log,2.4
ligand_280.log,3.6
ligand_277.log,5.8
ligand_294.log,13.5
ligand_224.log,-0.6
ligand_324.log,7.6
ligand_295.log,7.2
ligand_282.log,-1.1
ligand_308.log,7.7
ligand_312.log,1.4
ligand_283.log,5.0
ligand_238.log,0.4
ligand_322.log,1.0
ligand_325.log,-1.6
ligand_29.log,16.0
ligand_281.log,8.2
ligand_37.log,8.9
ligand_57.log,-4.0
ligand_316.log,1.3
ligand_301.log,37.4
ligand_310.log,0.4
ligand_330.log,-1.8
ligand_43.log,-1.1
ligand_287.log,6.1
ligand_52.log,-4.9
ligand_332.log,-0.2
ligand_31.log,-2.0
ligand_307.log,0.8
ligand_42.log,-5.4
ligand_2.log,-1.7
ligand_331.log,-2.6
ligand_34.log,-3.3
ligand_55.log,-3.5
ligand_319.log,10.8
ligand_28.log,-4.2
ligand_60.log,6.5
ligand_35.log,-2.3
ligand_45.log,6.1
ligand_296.log,6.0
ligand_311.log,6.3
ligand_328.log,12.1
ligand_54.log,-5.1
ligand_320.log,-0.7
ligand_44.log,0.7
ligand_5.log,-5.7
ligand_36.log,4.0
ligand_51.log,4.7
ligand_314.log,0.6
ligand_318.log,6.0
ligand_305.log,43.7
ligand_33.log,-2.7
ligand_39.log,-3.5
ligand_64.log,-1.8
ligand_49.log,1.1
ligand_32.log,-4.3
ligand_315.log,10.4
ligand_56.log,-2.1
ligand_38.log,-4.2
ligand_327.log,6.5
ligand_41.log,-4.4
ligand_69.log,2.2
ligand_317.log,6.0
ligand_73.log,5.7
ligand_62.log,-3.7
ligand_3.log,-8.7
ligand_46.log,-4.5
ligand_40.log,11.7
ligand_65.log,-1.6
ligand_329.log,2.9
ligand_333.log,28.3
ligand_30.log,-2.1
ligand_63.log,-1.4
ligand_70.log,4.0
ligand_47.log,9.2
ligand_82.log,4.7
ligand_4.log,-5.5
ligand_67.log,8.2
ligand_321.log,-2.9
ligand_323.log,7.4
ligand_76.log,-1.6
ligand_61.log,-0.6
ligand_75.log,-2.9
ligand_48.log,6.3
ligand_50.log,7.8
ligand_85.log,-6.5
ligand_71.log,-4.3
ligand_8.log,-8.3
ligand_91.log,2.3
ligand_53.log,-0.5
ligand_86.log,-9.6
ligand_78.log,-1.3
ligand_58.log,-1.9
ligand_83.log,-8.3
ligand_74.log,0.8
ligand_81.log,0.4
ligand_93.log,1.0
ligand_6.log,-6.9
ligand_59.log,19.2
ligand_72.log,-1.9
ligand_97.log,4.8
ligand_92.log,-2.7
ligand_66.log,-0.8
ligand_77.log,13.2
ligand_95.log,2.2
ligand_80.log,-5.9
ligand_79.log,-4.5
ligand_68.log,4.7
ligand_98.log,8.5
ligand_88.log,6.2
ligand_7.log,-4.4
ligand_94.log,2.8
ligand_87.log,-10.2
ligand_84.log,-7.4
ligand_89.log,4.2
ligand_96.log,3.4
ligand_90.log,1.0
ligand_9.log,-4.2
ligand_99.log,4.3
