filename,affinity_qvina
ligand_1002.log,-7.6
ligand_1125.log,-4.7
ligand_1294.log,-8.2
ligand_1413.log,-9.6
ligand_1772.log,-7.4
ligand_1676.log,-9.2
ligand_1952.log,4.5
ligand_1537.log,-10.6
ligand_1419.log,-7.9
ligand_1778.log,-8.9
ligand_1001.log,-10.4
ligand_1683.log,-5.7
ligand_1943.log,-7.8
ligand_1300.log,-8.7
ligand_1540.log,-7.8
ligand_141.log,-9.5
ligand_1771.log,-9.4
ligand_167.log,-8.2
ligand_1139.log,-9.1
ligand_1534.log,-8.5
ligand_128.log,-7.7
ligand_1940.log,-8.7
ligand_1421.log,-4.6
ligand_1000.log,-7.4
ligand_1298.log,-6.8
ligand_1137.log,-5.2
ligand_153.log,-6.6
ligand_1677.log,-6.4
ligand_1768.log,16.7
ligand_1007.log,-8.1
ligand_1941.log,-2.6
ligand_1422.log,-5.2
ligand_1292.log,-8.0
ligand_1774.log,-7.9
ligand_1680.log,-4.6
ligand_1028.log,-10.8
ligand_1536.log,-9.3
ligand_112.log,-6.1
ligand_1939.log,-4.2
ligand_1146.log,-7.4
ligand_1775.log,-8.4
ligand_1678.log,-4.9
ligand_1423.log,-8.8
ligand_1944.log,-4.1
ligand_1327.log,-10.6
ligand_176.log,-7.7
ligand_1141.log,-9.0
ligand_1425.log,-9.2
ligand_1542.log,-7.7
ligand_1682.log,-7.1
ligand_1003.log,-8.5
ligand_1777.log,-9.6
ligand_1951.log,-0.2
ligand_1543.log,-7.4
ligand_1424.log,-7.1
ligand_1679.log,0.7
ligand_1544.log,-7.9
ligand_1148.log,-8.6
ligand_1328.log,-9.1
ligand_1029.log,-9.9
ligand_1549.log,11.4
ligand_177.log,-6.3
ligand_1427.log,-8.0
ligand_1149.log,-8.3
ligand_1782.log,-3.7
ligand_1694.log,5.4
ligand_1016.log,-9.3
ligand_1142.log,-8.8
ligand_1950.log,-10.1
ligand_1558.log,-10.7
ligand_142.log,-4.3
ligand_1316.log,-10.4
ligand_1780.log,-9.9
ligand_1688.log,-5.4
ligand_1155.log,-8.7
ligand_1433.log,-9.0
ligand_1030.log,-6.4
ligand_1949.log,-2.9
ligand_1548.log,1.3
ligand_1803.log,-6.6
ligand_1697.log,-7.0
ligand_1319.log,-9.9
ligand_143.log,-7.9
ligand_1154.log,-8.8
ligand_1008.log,-9.8
ligand_155.log,-9.2
ligand_1948.log,-7.8
ligand_1426.log,-6.4
ligand_1689.log,-6.1
ligand_1789.log,-9.1
ligand_1153.log,-9.3
ligand_1547.log,-5.2
ligand_1302.log,-9.4
ligand_1437.log,-9.7
ligand_1015.log,-8.8
ligand_1686.log,-8.1
ligand_1147.log,-9.4
ligand_1956.log,-9.1
ligand_1320.log,-9.1
ligand_1699.log,-1.8
ligand_1151.log,-8.6
ligand_154.log,-6.6
ligand_1017.log,-7.9
ligand_1429.log,-9.2
ligand_178.log,-5.9
ligand_1315.log,-4.9
ligand_1150.log,-8.3
ligand_1957.log,-9.3
ligand_1786.log,-9.4
ligand_1019.log,-9.4
ligand_1687.log,-9.2
ligand_1428.log,-9.2
ligand_1144.log,-7.3
ligand_1559.log,-10.1
ligand_1323.log,-5.1
ligand_1700.log,-3.1
ligand_1801.log,-4.8
ligand_1435.log,-9.1
ligand_1958.log,-3.8
ligand_1145.log,-4.7
ligand_1006.log,-7.0
ligand_1004.log,-8.6
ligand_1552.log,-8.5
ligand_1690.log,-6.9
ligand_1798.log,-5.4
ligand_1326.log,-9.1
ligand_1434.log,-9.4
ligand_1963.log,-10.0
ligand_114.log,-6.2
ligand_1009.log,-0.8
ligand_1152.log,-8.8
ligand_1691.log,1.9
ligand_1797.log,-7.1
ligand_1553.log,8.7
ligand_1953.log,-9.4
ligand_1032.log,-8.3
ligand_1430.log,-9.4
ligand_1143.log,-10.1
ligand_1701.log,-2.9
ligand_1325.log,-11.3
ligand_179.log,-6.1
ligand_1554.log,-7.3
ligand_1005.log,-3.4
ligand_1795.log,-9.0
ligand_1033.log,-8.1
ligand_115.log,-4.9
ligand_1432.log,-3.5
ligand_1967.log,-8.1
ligand_1698.log,-1.1
ligand_1036.log,-8.6
ligand_1190.log,-8.7
ligand_1555.log,-10.4
ligand_1303.log,4.7
ligand_1788.log,-7.7
ligand_1062.log,-9.4
ligand_1966.log,-8.3
ligand_1431.log,-8.2
ligand_1696.log,-1.1
ligand_1322.log,-7.7
ligand_1178.log,-7.1
ligand_1550.log,-6.8
ligand_1965.log,-9.4
ligand_1065.log,-9.8
ligand_1436.log,-9.8
ligand_1693.log,8.1
ligand_1794.log,-9.4
ligand_1324.log,-10.5
ligand_1556.log,-1.7
ligand_1189.log,-6.7
ligand_1955.log,-8.8
ligand_1695.log,-7.0
ligand_1063.log,-11.2
ligand_1442.log,-8.0
ligand_1799.log,-5.1
ligand_1321.log,-9.0
ligand_1551.log,-7.3
ligand_1177.log,-7.1
ligand_1692.log,2.1
ligand_1962.log,-8.1
ligand_1443.log,-5.5
ligand_1317.log,-10.3
ligand_1800.log,-4.0
ligand_1064.log,-10.3
ligand_1705.log,3.3
ligand_1565.log,-7.1
ligand_1954.log,-4.8
ligand_118.log,-7.8
ligand_1793.log,-10.1
ligand_1450.log,-8.3
ligand_1318.log,-7.5
ligand_1704.log,-4.9
ligand_1057.log,-10.4
ligand_1961.log,-7.6
ligand_1453.log,-7.7
ligand_1196.log,-7.0
ligand_1561.log,2.3
ligand_1812.log,-7.6
ligand_195.log,-7.7
ligand_1336.log,-7.5
ligand_1703.log,-6.7
ligand_1198.log,-9.9
ligand_1059.log,-10.0
ligand_1562.log,-8.0
ligand_1454.log,-7.8
ligand_1330.log,-8.0
ligand_1197.log,-9.6
ligand_1808.log,-7.7
ligand_1702.log,8.2
ligand_1960.log,-7.4
ligand_1456.log,-7.8
ligand_1574.log,-5.5
ligand_1061.log,-9.7
ligand_1195.log,-8.0
ligand_1333.log,-9.2
ligand_1709.log,-8.7
ligand_1964.log,-9.4
ligand_1807.log,-5.7
ligand_1452.log,-7.3
ligand_1203.log,-8.7
ligand_1564.log,30.8
ligand_1329.log,-8.1
ligand_1034.log,-8.6
ligand_1706.log,-3.4
ligand_1959.log,-8.3
ligand_1804.log,-3.9
ligand_1441.log,-7.9
ligand_1058.log,-10.1
ligand_1199.log,-8.7
ligand_1575.log,-8.5
ligand_1347.log,3.2
ligand_1713.log,4.3
ligand_1806.log,-7.5
ligand_1968.log,-8.6
ligand_1457.log,-8.8
ligand_1193.log,-5.0
ligand_1578.log,-0.8
ligand_1344.log,-8.7
ligand_1055.log,-9.0
ligand_1710.log,10.7
ligand_1458.log,-8.0
ligand_1805.log,-5.6
ligand_1972.log,-8.8
ligand_1038.log,-9.6
ligand_1568.log,-8.6
ligand_1350.log,-8.4
ligand_1191.log,-9.2
ligand_1460.log,-8.2
ligand_1707.log,-6.1
ligand_198.log,-4.7
ligand_1338.log,-9.7
ligand_157.log,-5.8
ligand_1809.log,-7.9
ligand_1708.log,-0.1
ligand_1035.log,-7.7
ligand_1455.log,-7.8
ligand_119.log,-7.2
ligand_1567.log,-9.3
ligand_1060.log,-10.3
ligand_1971.log,-8.6
ligand_1811.log,-6.5
ligand_1451.log,-8.0
ligand_1194.log,-8.1
ligand_1345.log,-8.9
ligand_1712.log,25.7
ligand_1236.log,-7.6
ligand_1821.log,-4.9
ligand_1571.log,-8.1
ligand_1969.log,-9.4
ligand_1056.log,-8.4
ligand_1459.log,-9.2
ligand_1337.log,-6.1
ligand_1213.log,-9.6
ligand_1711.log,84.9
ligand_1335.log,-6.1
ligand_1070.log,-9.9
ligand_1973.log,-8.7
ligand_1573.log,-8.2
ligand_144.log,-9.0
ligand_1815.log,21.4
ligand_1715.log,-6.3
ligand_1206.log,-1.3
ligand_1332.log,-8.2
ligand_1988.log,10.8
ligand_1079.log,-10.2
ligand_1461.log,-8.1
ligand_1576.log,-10.5
ligand_1714.log,11.1
ligand_1813.log,-6.6
ligand_1351.log,-5.5
ligand_1210.log,-9.6
ligand_1462.log,-8.0
ligand_1716.log,-6.3
ligand_197.log,-5.8
ligand_1820.log,-6.6
ligand_1072.log,-8.9
ligand_1587.log,-9.0
ligand_1208.log,-9.3
ligand_1331.log,-8.8
ligand_1717.log,-7.7
ligand_1463.log,-8.7
ligand_1970.log,-9.2
ligand_1080.log,-8.6
ligand_180.log,-6.4
ligand_1601.log,-7.9
ligand_1348.log,-5.9
ligand_1732.log,-6.2
ligand_1814.log,-7.7
ligand_1204.log,-9.6
ligand_1467.log,-8.3
ligand_1990.log,2.1
ligand_1735.log,-8.0
ligand_1078.log,-8.8
ligand_1590.log,-5.8
ligand_1349.log,-8.3
ligand_1810.log,-7.2
ligand_1465.log,-6.3
ligand_1731.log,-8.4
ligand_1237.log,-6.0
ligand_1354.log,-8.1
ligand_1066.log,-9.7
ligand_1466.log,-8.7
ligand_1984.log,-7.9
ligand_181.log,-5.7
ligand_1592.log,-7.8
ligand_1724.log,-8.5
ligand_1824.log,-8.6
ligand_1464.log,-8.5
ligand_121.log,-6.7
ligand_1989.log,4.2
ligand_1352.log,-9.5
ligand_1077.log,-8.6
ligand_1729.log,-8.2
ligand_146.log,-8.5
ligand_1207.log,-9.1
ligand_1828.log,1.1
ligand_1616.log,-8.4
ligand_1718.log,-7.5
ligand_1075.log,-9.5
ligand_1985.log,-7.6
ligand_1356.log,-8.8
ligand_1472.log,-6.6
ligand_158.log,-7.7
ligand_1822.log,-7.8
ligand_196.log,-6.1
ligand_1205.log,-8.9
ligand_1725.log,-7.2
