filename,affinity_qvina
ligand_15.log,9.5
ligand_33.log,-0.4
ligand_26.log,-1.7
ligand_3.log,-6.7
ligand_1.log,-8.9
ligand_19.log,-7.8
ligand_11.log,-5.7
ligand_23.log,-5.9
ligand_12.log,-6.7
ligand_30.log,-8.3
ligand_34.log,2.4
ligand_2.log,-6.0
ligand_13.log,-6.6
ligand_20.log,-8.0
ligand_35.log,-5.8
ligand_14.log,16.0
ligand_37.log,-7.1
ligand_10.log,-4.0
ligand_40.log,-9.9
ligand_36.log,-3.9
ligand_100.log,-7.0
ligand_31.log,-8.6
ligand_27.log,-7.7
ligand_18.log,-8.0
ligand_38.log,0.8
ligand_101.log,-7.0
ligand_44.log,-5.9
ligand_48.log,-5.7
ligand_52.log,-7.3
ligand_55.log,24.7
ligand_45.log,-7.8
ligand_59.log,-8.4
ligand_49.log,-8.7
ligand_56.log,-7.3
ligand_32.log,-8.9
ligand_41.log,-0.6
ligand_39.log,-2.3
ligand_53.log,-10.1
ligand_46.log,-6.7
ligand_6.log,-6.4
ligand_60.log,-8.7
ligand_54.log,-9.5
ligand_57.log,-8.6
ligand_47.log,-7.1
ligand_62.log,-9.2
ligand_5.log,-1.6
ligand_58.log,-9.3
ligand_61.log,-8.5
ligand_50.log,-7.6
ligand_66.log,-9.3
ligand_63.log,-8.9
ligand_7.log,-3.4
ligand_73.log,-8.3
ligand_77.log,-10.4
ligand_42.log,-7.3
ligand_70.log,-8.9
ligand_4.log,-6.9
ligand_67.log,-7.9
ligand_43.log,-5.4
ligand_74.log,-7.6
ligand_64.log,1.5
ligand_80.log,-1.2
ligand_9.log,-6.4
ligand_71.log,-7.3
ligand_68.log,-7.2
ligand_75.log,-6.6
ligand_65.log,-8.2
ligand_78.log,-7.8
ligand_88.log,-6.6
ligand_72.log,-7.4
ligand_91.log,-6.5
ligand_81.log,4.2
ligand_69.log,-8.3
ligand_92.log,-5.6
ligand_95.log,-8.1
ligand_99.log,-1.2
ligand_79.log,1.0
ligand_89.log,-7.4
ligand_76.log,-6.5
ligand_82.log,-5.9
ligand_93.log,-8.3
ligand_96.log,-6.8
ligand_8.log,-6.8
ligand_90.log,-7.6
ligand_97.log,-7.4
ligand_94.log,-7.0
ligand_98.log,-6.8
