filename,affinity_qvina
ligand_1087.log,66.3
ligand_1125.log,49.1
ligand_1007.log,65.2
ligand_1180.log,15.2
ligand_1033.log,69.7
ligand_126.log,44.3
ligand_1221.log,30.4
ligand_1318.log,39.5
ligand_1051.log,20.4
ligand_117.log,55.8
ligand_1268.log,56.1
ligand_1227.log,31.3
ligand_104.log,23.0
ligand_1014.log,72.1
ligand_1082.log,61.3
ligand_1310.log,32.1
ligand_1176.log,9.9
ligand_1136.log,59.1
ligand_1004.log,63.6
ligand_1222.log,33.0
ligand_1173.log,79.9
ligand_1265.log,46.1
ligand_1048.log,23.8
ligand_108.log,48.1
ligand_1319.log,42.8
ligand_121.log,59.7
ligand_1134.log,47.1
ligand_1058.log,58.6
ligand_1001.log,73.3
ligand_1088.log,75.8
ligand_1182.log,39.9
ligand_1053.log,17.4
ligand_1273.log,58.3
ligand_1220.log,13.1
ligand_1316.log,41.6
ligand_1055.log,84.7
ligand_1138.log,48.2
ligand_1006.log,51.9
ligand_1090.log,63.0
ligand_1181.log,15.4
ligand_1044.log,17.5
ligand_1241.log,70.6
ligand_1139.log,59.7
ligand_1313.log,49.2
ligand_1046.log,20.8
ligand_1190.log,6.7
ligand_1009.log,59.2
ligand_1267.log,42.3
ligand_1107.log,53.3
ligand_1140.log,61.6
ligand_1195.log,16.0
ligand_1047.log,36.0
ligand_122.log,20.7
ligand_1000.log,62.4
ligand_1314.log,23.1
ligand_1142.log,64.4
ligand_1229.log,35.9
ligand_1184.log,7.1
ligand_1272.log,42.8
ligand_1098.log,83.4
ligand_1054.log,47.9
ligand_1188.log,4.3
ligand_1145.log,59.2
ligand_1311.log,34.8
ligand_1052.log,16.5
ligand_1238.log,16.6
ligand_100.log,33.9
ligand_113.log,39.7
ligand_1192.log,12.2
ligand_1276.log,58.4
ligand_1050.log,17.9
ligand_1232.log,23.8
ligand_1005.log,46.3
ligand_1091.log,63.8
ligand_1191.log,11.0
ligand_1141.log,79.1
ligand_1320.log,41.9
ligand_1045.log,25.2
ligand_1185.log,1.1
ligand_1231.log,17.8
ligand_1148.log,46.4
ligand_1280.log,67.3
ligand_1049.log,23.9
ligand_1093.log,73.8
ligand_1002.log,58.3
ligand_1187.log,11.0
ligand_131.log,47.9
ligand_1147.log,43.7
ligand_1237.log,23.5
ligand_105.log,66.6
ligand_1183.log,7.5
ligand_1321.log,55.5
ligand_1011.log,47.4
ligand_1235.log,15.0
ligand_1063.log,82.6
ligand_1150.log,42.3
ligand_1089.log,76.4
ligand_1186.log,4.4
ligand_1285.log,47.3
ligand_1059.log,65.3
ligand_1233.log,8.3
ligand_114.log,58.7
ligand_1003.log,41.8
ligand_118.log,46.0
ligand_1060.log,64.9
ligand_1144.log,52.3
ligand_1230.log,13.0
ligand_1061.log,59.0
ligand_1092.log,68.2
ligand_1193.log,9.7
ligand_1322.log,43.9
ligand_1283.log,47.6
ligand_1010.log,53.0
ligand_1146.log,40.5
ligand_1242.log,87.2
ligand_1064.log,80.5
ligand_1194.log,13.6
ligand_1151.log,72.5
ligand_109.log,34.1
ligand_1067.log,47.3
ligand_1018.log,83.1
ligand_1189.log,11.3
ligand_132.log,43.3
ligand_1236.log,38.0
ligand_1101.log,72.9
