filename,affinity_qvina
ligand_245.log,73.6
ligand_256.log,59.4
ligand_274.log,38.2
ligand_230.log,71.3
ligand_271.log,54.6
ligand_250.log,59.9
ligand_272.log,38.8
ligand_244.log,69.5
ligand_275.log,58.3
ligand_249.log,65.4
ligand_240.log,66.2
ligand_253.log,48.0
ligand_265.log,81.6
ligand_277.log,44.6
ligand_231.log,78.7
ligand_255.log,81.8
ligand_261.log,47.1
ligand_234.log,81.1
ligand_276.log,16.3
ligand_236.log,62.1
ligand_267.log,74.1
ligand_254.log,35.0
ligand_279.log,37.1
ligand_243.log,63.9
ligand_251.log,58.0
ligand_235.log,67.8
ligand_278.log,45.8
ligand_262.log,39.9
ligand_280.log,54.4
ligand_242.log,63.3
ligand_248.log,75.8
ligand_268.log,90.3
ligand_257.log,59.4
ligand_237.log,66.8
ligand_266.log,45.7
ligand_283.log,37.2
ligand_238.log,61.9
ligand_264.log,80.6
ligand_259.log,48.6
ligand_241.log,57.7
ligand_269.log,18.4
ligand_284.log,40.7
ligand_252.log,49.9
ligand_273.log,35.8
ligand_233.log,71.4
ligand_263.log,38.2
ligand_239.log,46.7
ligand_282.log,35.1
ligand_260.log,51.7
ligand_291.log,39.9
ligand_270.log,16.4
ligand_232.log,69.1
ligand_246.log,79.5
ligand_294.log,71.3
ligand_258.log,69.6
ligand_281.log,51.3
ligand_297.log,48.2
ligand_247.log,62.6
ligand_314.log,55.7
ligand_293.log,71.3
ligand_318.log,57.0
ligand_305.log,69.9
ligand_288.log,73.0
ligand_329.log,82.7
ligand_325.log,57.4
ligand_316.log,53.4
ligand_295.log,63.3
ligand_327.log,60.0
ligand_306.log,60.2
ligand_287.log,17.3
ligand_313.log,51.3
ligand_319.log,63.5
ligand_336.log,61.0
ligand_289.log,33.9
ligand_299.log,45.4
ligand_309.log,59.6
ligand_332.log,52.9
ligand_311.log,62.0
ligand_286.log,26.3
ligand_322.log,55.8
ligand_300.log,56.5
ligand_331.log,54.9
ligand_292.log,48.2
ligand_310.log,69.3
ligand_317.log,52.0
ligand_323.log,42.2
ligand_337.log,92.3
ligand_298.log,53.7
ligand_285.log,56.1
ligand_302.log,53.3
ligand_320.log,58.6
ligand_290.log,38.9
ligand_339.log,89.8
ligand_315.log,38.7
ligand_304.log,42.4
ligand_303.log,58.8
ligand_324.log,42.4
ligand_335.log,92.7
ligand_334.log,77.5
ligand_326.log,49.1
ligand_296.log,46.2
ligand_333.log,61.6
ligand_321.log,47.8
ligand_330.log,81.4
ligand_340.log,88.2
ligand_307.log,71.9
ligand_308.log,51.3
ligand_355.log,57.4
ligand_328.log,77.7
ligand_338.log,92.7
ligand_312.log,55.4
ligand_301.log,49.8
ligand_362.log,55.4
ligand_378.log,77.9
ligand_341.log,90.2
ligand_360.log,69.0
ligand_373.log,65.0
ligand_387.log,44.6
ligand_361.log,76.5
ligand_342.log,94.8
ligand_381.log,53.5
ligand_391.log,64.0
ligand_345.log,87.0
ligand_392.log,68.1
ligand_364.log,112.7
ligand_357.log,55.2
ligand_363.log,70.7
ligand_382.log,64.7
ligand_388.log,111.2
ligand_371.log,45.7
ligand_368.log,56.2
ligand_353.log,95.0
ligand_359.log,49.3
ligand_395.log,77.3
ligand_374.log,64.4
ligand_428.log,65.0
ligand_365.log,48.7
ligand_354.log,87.3
ligand_386.log,49.4
ligand_379.log,56.1
ligand_377.log,77.8
ligand_343.log,108.3
ligand_394.log,75.8
ligand_346.log,89.8
ligand_367.log,36.9
ligand_393.log,82.3
ligand_384.log,67.6
ligand_358.log,62.1
ligand_369.log,49.0
ligand_372.log,50.6
ligand_356.log,54.4
ligand_390.log,86.8
ligand_366.log,51.3
ligand_376.log,58.4
ligand_383.log,62.9
ligand_434.log,65.4
ligand_350.log,99.3
ligand_370.log,33.8
ligand_375.log,58.0
ligand_385.log,50.6
ligand_447.log,54.5
ligand_430.log,80.3
ligand_435.log,78.9
ligand_475.log,36.5
ligand_455.log,31.1
ligand_438.log,68.9
ligand_432.log,84.6
ligand_431.log,77.9
ligand_450.log,83.7
ligand_474.log,50.7
ligand_472.log,70.7
ligand_448.log,1.4
ligand_444.log,72.3
ligand_473.log,38.8
ligand_437.log,62.2
ligand_484.log,55.1
ligand_452.log,58.4
ligand_471.log,60.0
ligand_436.log,63.1
ligand_479.log,45.5
ligand_451.log,75.2
ligand_446.log,58.3
ligand_478.log,18.1
ligand_445.log,24.7
ligand_433.log,86.6
ligand_481.log,58.9
ligand_483.log,60.0
ligand_456.log,171.1
ligand_442.log,77.2
ligand_477.log,81.3
ligand_453.log,30.8
ligand_454.log,20.4
ligand_476.log,54.8
