filename,affinity_qvina
ligand_1140.log,-7.5
ligand_1338.log,-5.8
ligand_1393.log,-8.7
ligand_1272.log,-8.6
ligand_1073.log,-7.4
ligand_1449.log,-8.1
ligand_1002.log,-7.5
ligand_1204.log,-7.6
ligand_132.log,-7.4
ligand_1132.log,-8.1
ligand_1007.log,-7.3
ligand_1263.log,-7.4
ligand_1389.log,-9.5
ligand_1075.log,-7.3
ligand_1137.log,-7.8
ligand_1455.log,-7.4
ligand_1208.log,-9.7
ligand_1005.log,-8.2
ligand_1266.log,-7.4
ligand_1076.log,-7.7
ligand_1141.log,-8.9
ligand_1394.log,-8.5
ligand_1267.log,-9.1
ligand_1000.log,-7.6
ligand_1340.log,-6.4
ligand_1205.log,-8.5
ligand_1397.log,-8.1
ligand_1067.log,-8.4
ligand_1265.log,-9.1
ligand_1448.log,-8.8
ligand_1331.log,-10.3
ligand_1135.log,-7.7
ligand_1006.log,-8.1
ligand_1390.log,-9.0
ligand_1206.log,-9.1
ligand_1071.log,-7.5
ligand_1136.log,-8.0
ligand_1270.log,-8.7
ligand_1003.log,-7.2
ligand_1134.log,-7.9
ligand_138.log,-8.2
ligand_1077.log,-6.7
ligand_1207.log,-8.9
ligand_144.log,-7.7
ligand_1138.log,-7.8
ligand_1269.log,-6.7
ligand_1004.log,-7.4
ligand_1324.log,-7.5
ligand_113.log,-5.6
ligand_1078.log,-7.9
ligand_120.log,-8.0
ligand_1001.log,-7.5
ligand_1131.log,-8.2
ligand_1070.log,-7.4
ligand_139.log,-8.3
ligand_1450.log,-8.1
ligand_1156.log,-9.8
ligand_1013.log,-7.0
ligand_1274.log,-8.0
ligand_1079.log,-6.7
ligand_1326.log,-9.5
ligand_1152.log,-9.6
ligand_126.log,-8.6
ligand_1220.log,-7.7
ligand_1017.log,-6.2
ligand_1451.log,-8.2
ligand_1083.log,-7.6
ligand_1210.log,-8.1
ligand_1142.log,-8.8
ligand_1024.log,-7.9
ligand_1391.log,-9.2
ligand_1460.log,-7.9
ligand_1081.log,-7.9
ligand_1214.log,-7.7
ligand_1328.log,-8.2
ligand_1146.log,-10.4
ligand_1008.log,-7.5
ligand_1273.log,-8.2
ligand_1392.log,-8.5
