filename,affinity_qvina
ligand_108.log,-9.6
ligand_107.log,-8.5
ligand_177.log,-8.1
ligand_157.log,-9.9
ligand_149.log,-9.0
ligand_192.log,-8.1
ligand_12.log,-7.9
ligand_120.log,-7.7
ligand_11.log,-8.4
ligand_114.log,-9.9
ligand_148.log,-7.4
ligand_173.log,-8.3
ligand_105.log,-9.2
ligand_167.log,-9.2
ligand_184.log,-7.2
ligand_110.log,-6.7
ligand_146.log,-10.3
ligand_117.log,-10.2
ligand_100.log,-9.2
ligand_174.log,-8.4
ligand_140.log,-5.4
ligand_185.log,-8.0
ligand_113.log,-9.3
ligand_169.log,-6.7
ligand_124.log,-7.6
ligand_142.log,-6.6
ligand_125.log,-8.4
ligand_134.log,-5.7
ligand_109.log,-8.7
ligand_119.log,-8.5
ligand_150.log,-8.3
ligand_116.log,-9.2
ligand_189.log,-7.0
ligand_132.log,-8.6
ligand_168.log,-7.5
ligand_166.log,-9.1
ligand_103.log,-9.0
ligand_122.log,-7.8
ligand_155.log,-10.9
ligand_106.log,-9.0
ligand_121.log,-8.9
ligand_130.log,-8.2
ligand_131.log,-9.6
ligand_163.log,-8.4
ligand_112.log,-9.4
ligand_118.log,-8.2
ligand_187.log,-7.8
ligand_175.log,-8.7
ligand_129.log,-8.2
ligand_138.log,-5.4
ligand_133.log,-6.2
ligand_102.log,-8.4
ligand_136.log,-6.9
ligand_162.log,-8.4
ligand_128.log,-7.6
ligand_191.log,-6.8
ligand_178.log,-8.3
ligand_158.log,-6.7
ligand_137.log,-5.5
ligand_197.log,-8.1
ligand_143.log,-5.6
ligand_115.log,-10.4
ligand_135.log,-7.3
ligand_171.log,-7.6
ligand_144.log,-6.1
ligand_153.log,-8.5
ligand_179.log,-9.1
ligand_18.log,-8.3
ligand_141.log,-6.5
ligand_123.log,-8.7
ligand_207.log,-8.9
ligand_145.log,-9.8
ligand_127.log,-8.5
ligand_139.log,-6.0
ligand_170.log,-7.8
ligand_154.log,-8.9
ligand_205.log,-9.0
ligand_126.log,-7.9
ligand_182.log,-7.1
ligand_195.log,-7.8
ligand_206.log,-8.8
ligand_217.log,-9.6
ligand_176.log,-7.8
ligand_203.log,-9.0
ligand_152.log,-9.6
